time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.9,95,0.502,0.49
1985-06-21T01:00,,22.9,96,0.501,0.491
1985-06-21T02:00,,22.8,98,0.503,0.491
1985-06-21T03:00,,23.8,96,0.502,0.492
1985-06-21T04:00,,24.8,92,0.502,0.492
1985-06-21T05:00,,25.1,89,0.503,0.492
1985-06-21T06:00,,26.3,83,0.503,0.492
1985-06-21T07:00,,25.4,91,0.515,0.493
1985-06-21T08:00,,26.3,85,0.468,0.501
1985-06-21T09:00,,25.6,88,0.433,0.483
1985-06-21T10:00,,25.4,86,0.461,0.456
1985-06-21T11:00,,24.7,92,0.448,0.466
1985-06-21T12:00,,24.7,92,0.452,0.465
1985-06-21T13:00,,23.2,93,0.487,0.465
1985-06-21T14:00,,23.1,95,0.489,0.466
1985-06-21T15:00,,22.7,98,0.493,0.466
1985-06-21T16:00,,22.8,98,0.493,0.467
1985-06-21T17:00,,22.7,100,0.494,0.467
1985-06-21T18:00,,22.6,100,0.498,0.468
1985-06-21T19:00,,22.7,98,0.504,0.469
1985-06-21T20:00,,23.1,93,0.502,0.47
1985-06-21T21:00,,22.8,98,0.502,0.471
1985-06-21T22:00,,22.8,98,0.504,0.472
1985-06-21T23:00,,22.8,98,0.512,0.474
1985-06-22T00:00,,22.6,98,0.512,0.478
1985-06-22T01:00,,22.7,98,0.498,0.48
1985-06-22T02:00,,23.0,98,0.496,0.478
1985-06-22T03:00,,24.1,95,0.494,0.478
1985-06-22T04:00,,25.0,91,0.498,0.479
1985-06-22T05:00,,24.3,92,0.515,0.481
1985-06-22T06:00,,24.9,93,0.455,0.504
1985-06-22T07:00,,24.7,94,0.471,0.498
1985-06-22T08:00,,25.2,90,0.474,0.487
1985-06-22T09:00,,24.8,91,0.484,0.487
1985-06-22T10:00,,24.9,92,0.489,0.487
1985-06-22T11:00,,24.2,95,0.505,0.488
1985-06-22T12:00,,23.9,95,0.47,0.499
1985-06-22T13:00,,23.4,96,0.451,0.485
1985-06-22T14:00,,23.4,94,0.455,0.46
1985-06-22T15:00,,23.2,96,0.463,0.461
1985-06-22T16:00,,22.8,99,0.475,0.462
1985-06-22T17:00,,22.7,99,0.48,0.463
1985-06-22T18:00,,22.6,100,0.484,0.463
1985-06-22T19:00,,22.5,100,0.492,0.464
1985-06-22T20:00,,22.8,98,0.495,0.465
1985-06-22T21:00,,22.6,100,0.509,0.466
1985-06-22T22:00,,22.4,100,0.49,0.476
1985-06-22T23:00,,22.3,100,0.493,0.476
1985-06-23T00:00,,22.2,100,0.497,0.476
1985-06-23T01:00,,22.3,100,0.502,0.478
1985-06-23T02:00,,22.5,100,0.505,0.48
1985-06-23T03:00,,22.9,100,0.51,0.482
1985-06-23T04:00,,22.6,100,0.517,0.486
1985-06-23T05:00,,23.1,100,0.455,0.508
1985-06-23T06:00,,22.6,100,0.469,0.501
1985-06-23T07:00,,23.1,100,0.503,0.491
1985-06-23T08:00,,23.3,100,0.469,0.502
1985-06-23T09:00,,22.9,100,0.453,0.488
1985-06-23T10:00,,23.0,100,0.479,0.461
1985-06-23T11:00,,23.0,100,0.496,0.47
1985-06-23T12:00,,22.8,100,0.516,0.475
1985-06-23T13:00,,22.6,100,0.469,0.497
1985-06-23T14:00,,22.5,100,0.48,0.498
1985-06-23T15:00,,22.5,100,0.489,0.492
1985-06-23T16:00,,22.5,100,0.5,0.483
1985-06-23T17:00,,22.6,100,0.465,0.499
1985-06-23T18:00,,22.5,100,0.439,0.484
1985-06-23T19:00,,22.6,100,0.453,0.455
1985-06-23T20:00,,22.5,100,0.474,0.456
1985-06-23T21:00,,22.5,100,0.483,0.46
1985-06-23T22:00,,22.4,100,0.492,0.461
1985-06-23T23:00,,22.3,100,0.504,0.463
