time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.0,98,0.5,0.486
1985-06-21T01:00,,23.0,98,0.502,0.487
1985-06-21T02:00,,23.4,97,0.501,0.487
1985-06-21T03:00,,24.3,92,0.501,0.488
1985-06-21T04:00,,25.2,90,0.501,0.488
1985-06-21T05:00,,25.4,88,0.52,0.489
1985-06-21T06:00,,25.7,88,0.454,0.515
1985-06-21T07:00,,26.0,84,0.413,0.493
1985-06-21T08:00,,25.9,86,0.442,0.49
1985-06-21T09:00,,26.5,84,0.447,0.488
1985-06-21T10:00,,26.2,82,0.453,0.486
1985-06-21T11:00,,25.7,83,0.46,0.485
1985-06-21T12:00,,24.8,87,0.463,0.484
1985-06-21T13:00,,24.3,90,0.465,0.483
1985-06-21T14:00,,23.9,93,0.467,0.482
1985-06-21T15:00,,23.7,94,0.468,0.482
1985-06-21T16:00,,23.7,94,0.469,0.481
1985-06-21T17:00,,23.4,96,0.473,0.48
1985-06-21T18:00,,23.3,97,0.474,0.48
1985-06-21T19:00,,23.2,96,0.479,0.48
1985-06-21T20:00,,23.2,97,0.48,0.479
1985-06-21T21:00,,23.1,97,0.481,0.479
1985-06-21T22:00,,23.2,97,0.483,0.479
1985-06-21T23:00,,23.3,97,0.487,0.479
1985-06-22T00:00,,23.2,98,0.494,0.479
1985-06-22T01:00,,23.3,98,0.503,0.479
1985-06-22T02:00,,23.8,97,0.495,0.485
1985-06-22T03:00,,24.1,95,0.492,0.481
1985-06-22T04:00,,24.1,96,0.499,0.475
1985-06-22T05:00,,24.9,89,0.485,0.488
1985-06-22T06:00,,24.7,92,0.47,0.499
1985-06-22T07:00,,25.6,91,0.476,0.498
1985-06-22T08:00,,26.7,81,0.484,0.497
1985-06-22T09:00,,25.6,85,0.495,0.496
1985-06-22T10:00,,26.0,83,0.502,0.496
1985-06-22T11:00,,24.4,91,0.52,0.5
1985-06-22T12:00,,24.0,96,0.451,0.515
1985-06-22T13:00,,23.8,94,0.414,0.494
1985-06-22T14:00,,23.5,96,0.421,0.459
1985-06-22T15:00,,23.5,96,0.427,0.458
1985-06-22T16:00,,23.4,97,0.437,0.458
1985-06-22T17:00,,23.3,98,0.446,0.458
1985-06-22T18:00,,23.3,97,0.451,0.458
1985-06-22T19:00,,23.3,98,0.455,0.458
1985-06-22T20:00,,23.4,97,0.463,0.458
1985-06-22T21:00,,23.5,96,0.475,0.458
1985-06-22T22:00,,23.4,96,0.487,0.459
1985-06-22T23:00,,23.4,96,0.479,0.464
1985-06-23T00:00,,23.3,96,0.487,0.464
1985-06-23T01:00,,23.4,96,0.495,0.465
1985-06-23T02:00,,23.3,97,0.505,0.466
1985-06-23T03:00,,23.2,97,0.517,0.469
1985-06-23T04:00,,23.6,96,0.488,0.483
1985-06-23T05:00,,23.6,96,0.488,0.486
1985-06-23T06:00,,23.8,97,0.484,0.484
1985-06-23T07:00,,24.4,92,0.508,0.478
1985-06-23T08:00,,24.3,96,0.465,0.501
1985-06-23T09:00,,24.3,96,0.47,0.494
1985-06-23T10:00,,24.3,95,0.493,0.486
1985-06-23T11:00,,23.8,95,0.507,0.492
1985-06-23T12:00,,23.6,96,0.454,0.503
1985-06-23T13:00,,23.4,96,0.493,0.48
1985-06-23T14:00,,23.2,97,0.5,0.483
1985-06-23T15:00,,23.3,96,0.466,0.493
1985-06-23T16:00,,23.3,97,0.493,0.484
1985-06-23T17:00,,23.2,97,0.519,0.485
1985-06-23T18:00,,23.3,96,0.482,0.509
1985-06-23T19:00,,23.3,96,0.476,0.504
1985-06-23T20:00,,23.3,96,0.476,0.49
1985-06-23T21:00,,23.2,96,0.489,0.476
1985-06-23T22:00,,23.1,97,0.483,0.477
1985-06-23T23:00,,23.2,97,0.494,0.484
