time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.6,98,0.463,0.457
1985-06-21T01:00,,22.6,98,0.466,0.458
1985-06-21T02:00,,23.3,94,0.467,0.458
1985-06-21T03:00,,24.0,93,0.469,0.459
1985-06-21T04:00,,25.0,89,0.476,0.459
1985-06-21T05:00,,25.1,88,0.514,0.46
1985-06-21T06:00,,24.7,91,0.507,0.47
1985-06-21T07:00,,25.3,86,0.444,0.493
1985-06-21T08:00,,25.9,83,0.448,0.487
1985-06-21T09:00,,25.2,87,0.465,0.486
1985-06-21T10:00,,26.0,83,0.466,0.485
1985-06-21T11:00,,24.8,87,0.488,0.485
1985-06-21T12:00,,24.7,89,0.493,0.485
1985-06-21T13:00,,23.7,92,0.502,0.485
1985-06-21T14:00,,23.4,93,0.496,0.486
1985-06-21T15:00,,23.3,94,0.49,0.484
1985-06-21T16:00,,23.5,92,0.493,0.479
1985-06-21T17:00,,22.7,98,0.496,0.48
1985-06-21T18:00,,22.8,98,0.497,0.481
1985-06-21T19:00,,22.7,98,0.501,0.482
1985-06-21T20:00,,22.8,98,0.5,0.483
1985-06-21T21:00,,23.3,94,0.499,0.484
1985-06-21T22:00,,22.8,98,0.503,0.485
1985-06-21T23:00,,23.0,98,0.512,0.487
1985-06-22T00:00,,23.0,99,0.51,0.495
1985-06-22T01:00,,22.8,98,0.471,0.51
1985-06-22T02:00,,23.1,99,0.427,0.491
1985-06-22T03:00,,23.2,99,0.446,0.458
1985-06-22T04:00,,24.5,91,0.451,0.458
1985-06-22T05:00,,24.9,88,0.484,0.459
1985-06-22T06:00,,24.2,92,0.508,0.465
1985-06-22T07:00,,25.5,88,0.43,0.486
1985-06-22T08:00,,26.0,84,0.437,0.48
1985-06-22T09:00,,25.8,83,0.453,0.479
1985-06-22T10:00,,24.5,89,0.507,0.479
1985-06-22T11:00,,24.0,96,0.511,0.483
1985-06-22T12:00,,23.8,93,0.451,0.502
1985-06-22T13:00,,23.8,94,0.464,0.496
1985-06-22T14:00,,23.2,99,0.476,0.495
1985-06-22T15:00,,23.2,99,0.493,0.495
1985-06-22T16:00,,23.0,99,0.508,0.496
1985-06-22T17:00,,23.0,99,0.515,0.497
1985-06-22T18:00,,23.0,99,0.511,0.5
1985-06-22T19:00,,23.1,99,0.518,0.501
1985-06-22T20:00,,23.1,99,0.509,0.508
1985-06-22T21:00,,23.0,99,0.515,0.509
1985-06-22T22:00,,23.0,99,0.472,0.513
1985-06-22T23:00,,23.0,99,0.433,0.494
1985-06-23T00:00,,23.0,98,0.445,0.461
1985-06-23T01:00,,23.0,98,0.457,0.463
1985-06-23T02:00,,22.9,98,0.463,0.464
1985-06-23T03:00,,23.1,98,0.479,0.463
1985-06-23T04:00,,23.1,98,0.499,0.464
1985-06-23T05:00,,23.3,98,0.512,0.466
1985-06-23T06:00,,23.3,99,0.514,0.472
1985-06-23T07:00,,24.4,91,0.515,0.479
1985-06-23T08:00,,23.8,97,0.468,0.508
1985-06-23T09:00,,24.3,92,0.508,0.501
1985-06-23T10:00,,24.0,93,0.49,0.511
1985-06-23T11:00,,23.5,98,0.457,0.503
1985-06-23T12:00,,23.1,99,0.501,0.473
1985-06-23T13:00,,22.9,99,0.511,0.472
1985-06-23T14:00,,22.9,99,0.464,0.502
1985-06-23T15:00,,22.9,98,0.498,0.5
1985-06-23T16:00,,22.9,99,0.51,0.498
1985-06-23T17:00,,23.0,98,0.471,0.511
1985-06-23T18:00,,23.0,99,0.448,0.494
1985-06-23T19:00,,22.7,99,0.48,0.497
1985-06-23T20:00,,22.7,99,0.513,0.5
1985-06-23T21:00,,22.9,99,0.474,0.515
1985-06-23T22:00,,23.0,99,0.439,0.496
1985-06-23T23:00,,23.0,98,0.47,0.493
