time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.2,99,0.51,0.506
1985-06-21T01:00,,22.1,99,0.51,0.506
1985-06-21T02:00,,22.7,96,0.51,0.506
1985-06-21T03:00,,23.3,94,0.509,0.506
1985-06-21T04:00,,24.0,92,0.508,0.506
1985-06-21T05:00,,25.0,88,0.507,0.506
1985-06-21T06:00,,26.0,79,0.505,0.505
1985-06-21T07:00,,26.1,83,0.504,0.505
1985-06-21T08:00,,26.6,80,0.503,0.504
1985-06-21T09:00,,25.5,80,0.51,0.504
1985-06-21T10:00,,24.7,85,0.511,0.505
1985-06-21T11:00,,24.5,88,0.509,0.505
1985-06-21T12:00,,23.6,89,0.512,0.505
1985-06-21T13:00,,23.0,93,0.51,0.506
1985-06-21T14:00,,22.8,94,0.511,0.506
1985-06-21T15:00,,22.7,95,0.512,0.507
1985-06-21T16:00,,22.6,95,0.513,0.507
1985-06-21T17:00,,22.3,98,0.515,0.508
1985-06-21T18:00,,22.3,99,0.514,0.509
1985-06-21T19:00,,22.2,98,0.514,0.509
1985-06-21T20:00,,22.2,98,0.515,0.51
1985-06-21T21:00,,22.1,99,0.512,0.511
1985-06-21T22:00,,22.2,99,0.517,0.511
1985-06-21T23:00,,22.3,99,0.497,0.513
1985-06-22T00:00,,22.4,99,0.48,0.506
1985-06-22T01:00,,22.4,99,0.489,0.492
1985-06-22T02:00,,22.9,95,0.449,0.497
1985-06-22T03:00,,23.2,94,0.413,0.479
1985-06-22T04:00,,24.3,90,0.425,0.456
1985-06-22T05:00,,23.8,90,0.465,0.456
1985-06-22T06:00,,24.4,91,0.477,0.456
1985-06-22T07:00,,25.1,86,0.519,0.457
1985-06-22T08:00,,24.9,86,0.481,0.477
1985-06-22T09:00,,24.4,89,0.501,0.48
1985-06-22T10:00,,24.0,89,0.474,0.496
1985-06-22T11:00,,23.1,98,0.479,0.496
1985-06-22T12:00,,23.1,98,0.484,0.493
1985-06-22T13:00,,22.7,98,0.497,0.487
1985-06-22T14:00,,22.4,98,0.487,0.496
1985-06-22T15:00,,22.4,98,0.492,0.495
1985-06-22T16:00,,22.4,98,0.496,0.495
1985-06-22T17:00,,22.4,98,0.499,0.496
1985-06-22T18:00,,22.4,98,0.502,0.496
1985-06-22T19:00,,22.5,98,0.505,0.496
1985-06-22T20:00,,22.4,99,0.51,0.497
1985-06-22T21:00,,22.3,98,0.519,0.499
1985-06-22T22:00,,22.2,98,0.464,0.511
1985-06-22T23:00,,22.2,98,0.422,0.49
1985-06-23T00:00,,22.1,98,0.435,0.454
1985-06-23T01:00,,22.1,98,0.447,0.454
1985-06-23T02:00,,22.2,98,0.466,0.455
1985-06-23T03:00,,22.2,99,0.471,0.459
1985-06-23T04:00,,23.0,98,0.478,0.459
1985-06-23T05:00,,23.1,98,0.493,0.46
1985-06-23T06:00,,22.9,98,0.519,0.461
1985-06-23T07:00,,22.7,98,0.456,0.491
1985-06-23T08:00,,23.0,99,0.473,0.492
1985-06-23T09:00,,23.1,98,0.489,0.489
1985-06-23T10:00,,22.5,98,0.512,0.483
1985-06-23T11:00,,22.5,99,0.461,0.508
1985-06-23T12:00,,22.7,99,0.482,0.504
1985-06-23T13:00,,22.5,98,0.5,0.504
1985-06-23T14:00,,22.5,98,0.511,0.505
1985-06-23T15:00,,22.4,99,0.519,0.506
1985-06-23T16:00,,22.4,98,0.486,0.511
1985-06-23T17:00,,22.4,99,0.46,0.499
1985-06-23T18:00,,22.3,99,0.471,0.478
1985-06-23T19:00,,22.2,98,0.476,0.479
1985-06-23T20:00,,22.2,98,0.48,0.479
1985-06-23T21:00,,22.2,98,0.485,0.479
1985-06-23T22:00,,22.2,98,0.498,0.48
1985-06-23T23:00,,22.2,99,0.478,0.485
