time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.3,99,0.508,0.502
1985-06-21T01:00,,22.1,99,0.512,0.503
1985-06-21T02:00,,22.4,100,0.51,0.503
1985-06-21T03:00,,23.3,97,0.508,0.504
1985-06-21T04:00,,24.3,94,0.508,0.504
1985-06-21T05:00,,25.2,88,0.509,0.504
1985-06-21T06:00,,25.0,88,0.516,0.505
1985-06-21T07:00,,24.9,88,0.52,0.508
1985-06-21T08:00,,26.2,84,0.45,0.519
1985-06-21T09:00,,25.0,88,0.406,0.493
1985-06-21T10:00,,24.7,88,0.423,0.491
1985-06-21T11:00,,24.3,91,0.434,0.49
1985-06-21T12:00,,24.0,94,0.442,0.489
1985-06-21T13:00,,22.9,94,0.47,0.488
1985-06-21T14:00,,22.4,100,0.476,0.488
1985-06-21T15:00,,22.5,100,0.479,0.488
1985-06-21T16:00,,22.5,100,0.481,0.488
1985-06-21T17:00,,22.7,100,0.483,0.487
1985-06-21T18:00,,22.4,100,0.494,0.487
1985-06-21T19:00,,22.3,100,0.502,0.488
1985-06-21T20:00,,22.4,100,0.503,0.488
1985-06-21T21:00,,22.3,100,0.506,0.489
1985-06-21T22:00,,22.3,100,0.507,0.49
1985-06-21T23:00,,22.4,100,0.511,0.492
1985-06-22T00:00,,22.3,100,0.517,0.494
1985-06-22T01:00,,22.4,100,0.507,0.498
1985-06-22T02:00,,22.6,100,0.504,0.498
1985-06-22T03:00,,23.6,97,0.504,0.499
1985-06-22T04:00,,23.9,99,0.515,0.5
1985-06-22T05:00,,24.0,95,0.465,0.518
1985-06-22T06:00,,23.9,93,0.433,0.498
1985-06-22T07:00,,24.7,90,0.471,0.497
1985-06-22T08:00,,24.9,91,0.497,0.498
1985-06-22T09:00,,24.1,94,0.516,0.498
1985-06-22T10:00,,24.0,94,0.519,0.504
1985-06-22T11:00,,23.3,100,0.466,0.519
1985-06-22T12:00,,23.1,99,0.419,0.497
1985-06-22T13:00,,22.7,99,0.443,0.493
1985-06-22T14:00,,22.6,100,0.468,0.491
1985-06-22T15:00,,22.6,100,0.479,0.49
1985-06-22T16:00,,22.6,100,0.488,0.489
1985-06-22T17:00,,22.6,100,0.497,0.488
1985-06-22T18:00,,22.4,100,0.505,0.488
1985-06-22T19:00,,22.4,100,0.509,0.489
1985-06-22T20:00,,22.3,100,0.513,0.49
1985-06-22T21:00,,22.3,100,0.52,0.492
1985-06-22T22:00,,22.3,100,0.454,0.518
1985-06-22T23:00,,22.3,100,0.477,0.51
1985-06-23T00:00,,22.3,100,0.492,0.51
1985-06-23T01:00,,22.1,100,0.505,0.509
1985-06-23T02:00,,22.2,100,0.516,0.509
1985-06-23T03:00,,22.6,100,0.463,0.518
1985-06-23T04:00,,22.9,100,0.418,0.495
1985-06-23T05:00,,23.0,100,0.438,0.456
1985-06-23T06:00,,22.5,99,0.462,0.457
1985-06-23T07:00,,22.7,100,0.504,0.457
1985-06-23T08:00,,22.9,99,0.519,0.46
1985-06-23T09:00,,22.7,99,0.45,0.492
1985-06-23T10:00,,22.7,100,0.483,0.491
1985-06-23T11:00,,22.8,100,0.513,0.489
1985-06-23T12:00,,22.8,99,0.517,0.495
1985-06-23T13:00,,22.6,99,0.475,0.516
1985-06-23T14:00,,22.4,100,0.428,0.495
1985-06-23T15:00,,22.4,100,0.451,0.494
1985-06-23T16:00,,22.4,100,0.472,0.494
1985-06-23T17:00,,22.3,100,0.496,0.493
1985-06-23T18:00,,22.3,100,0.507,0.495
1985-06-23T19:00,,22.3,99,0.512,0.495
1985-06-23T20:00,,22.2,100,0.454,0.518
1985-06-23T21:00,,22.2,100,0.409,0.491
1985-06-23T22:00,,22.2,99,0.43,0.49
1985-06-23T23:00,,22.2,100,0.457,0.489
