time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.4,95,0.491,0.454
1985-06-21T01:00,,23.5,95,0.494,0.455
1985-06-21T02:00,,23.7,96,0.493,0.456
1985-06-21T03:00,,24.3,95,0.493,0.457
1985-06-21T04:00,,25.1,91,0.497,0.458
1985-06-21T05:00,,26.1,88,0.513,0.459
1985-06-21T06:00,,26.2,86,0.52,0.466
1985-06-21T07:00,,26.4,87,0.435,0.495
1985-06-21T08:00,,26.2,85,0.455,0.493
1985-06-21T09:00,,26.8,86,0.46,0.492
1985-06-21T10:00,,26.4,85,0.467,0.491
1985-06-21T11:00,,25.4,87,0.482,0.491
1985-06-21T12:00,,25.3,88,0.484,0.49
1985-06-21T13:00,,24.4,92,0.497,0.49
1985-06-21T14:00,,24.1,92,0.5,0.49
1985-06-21T15:00,,23.8,95,0.502,0.49
1985-06-21T16:00,,23.8,94,0.505,0.491
1985-06-21T17:00,,23.6,94,0.506,0.491
1985-06-21T18:00,,23.6,96,0.506,0.492
1985-06-21T19:00,,23.6,96,0.505,0.493
1985-06-21T20:00,,23.7,96,0.505,0.493
1985-06-21T21:00,,23.7,96,0.506,0.494
1985-06-21T22:00,,23.7,97,0.513,0.495
1985-06-21T23:00,,23.7,96,0.52,0.499
1985-06-22T00:00,,23.8,96,0.462,0.52
1985-06-22T01:00,,23.8,96,0.417,0.497
1985-06-22T02:00,,24.1,94,0.433,0.469
1985-06-22T03:00,,24.3,94,0.463,0.469
1985-06-22T04:00,,24.8,94,0.473,0.468
1985-06-22T05:00,,25.1,92,0.484,0.468
1985-06-22T06:00,,25.2,90,0.505,0.469
1985-06-22T07:00,,26.1,88,0.5,0.47
1985-06-22T08:00,,25.9,90,0.507,0.47
1985-06-22T09:00,,25.9,88,0.481,0.476
1985-06-22T10:00,,25.8,87,0.484,0.476
1985-06-22T11:00,,25.0,92,0.492,0.477
1985-06-22T12:00,,24.2,95,0.515,0.479
1985-06-22T13:00,,24.0,95,0.47,0.498
1985-06-22T14:00,,23.8,96,0.478,0.498
1985-06-22T15:00,,23.6,96,0.488,0.497
1985-06-22T16:00,,23.6,97,0.495,0.498
1985-06-22T17:00,,23.7,97,0.505,0.498
1985-06-22T18:00,,23.7,97,0.491,0.5
1985-06-22T19:00,,23.6,98,0.479,0.493
1985-06-22T20:00,,23.6,98,0.484,0.481
1985-06-22T21:00,,23.6,98,0.491,0.483
1985-06-22T22:00,,23.8,95,0.495,0.487
1985-06-22T23:00,,23.5,97,0.494,0.491
1985-06-23T00:00,,23.7,94,0.497,0.494
1985-06-23T01:00,,23.6,95,0.504,0.495
1985-06-23T02:00,,23.7,95,0.48,0.497
1985-06-23T03:00,,23.8,96,0.46,0.485
1985-06-23T04:00,,23.8,96,0.446,0.471
1985-06-23T05:00,,23.9,97,0.458,0.468
1985-06-23T06:00,,24.0,95,0.48,0.464
1985-06-23T07:00,,24.6,93,0.519,0.466
1985-06-23T08:00,,24.8,92,0.472,0.499
1985-06-23T09:00,,23.8,94,0.492,0.497
1985-06-23T10:00,,23.9,97,0.51,0.49
1985-06-23T11:00,,23.6,96,0.494,0.5
1985-06-23T12:00,,23.6,97,0.452,0.503
1985-06-23T13:00,,23.7,97,0.507,0.476
1985-06-23T14:00,,23.7,96,0.507,0.482
1985-06-23T15:00,,23.6,95,0.467,0.5
1985-06-23T16:00,,23.4,97,0.506,0.49
1985-06-23T17:00,,23.5,97,0.495,0.5
1985-06-23T18:00,,23.6,96,0.453,0.5
1985-06-23T19:00,,23.5,97,0.497,0.476
1985-06-23T20:00,,23.6,96,0.513,0.476
1985-06-23T21:00,,23.4,97,0.461,0.501
1985-06-23T22:00,,23.5,96,0.483,0.495
1985-06-23T23:00,,23.2,97,0.499,0.486
