time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.6,96,0.484,0.482
1985-06-21T01:00,,22.6,96,0.488,0.482
1985-06-21T02:00,,23.0,95,0.489,0.482
1985-06-21T03:00,,24.1,91,0.488,0.482
1985-06-21T04:00,,24.3,88,0.489,0.482
1985-06-21T05:00,,25.5,85,0.492,0.482
1985-06-21T06:00,,24.8,89,0.509,0.482
1985-06-21T07:00,,25.4,87,0.502,0.485
1985-06-21T08:00,,26.4,82,0.499,0.485
1985-06-21T09:00,,25.9,83,0.501,0.485
1985-06-21T10:00,,26.1,83,0.499,0.486
1985-06-21T11:00,,25.6,78,0.502,0.486
1985-06-21T12:00,,24.6,84,0.503,0.486
1985-06-21T13:00,,24.1,87,0.502,0.487
1985-06-21T14:00,,23.3,90,0.505,0.487
1985-06-21T15:00,,23.1,91,0.503,0.488
1985-06-21T16:00,,23.0,92,0.504,0.488
1985-06-21T17:00,,22.6,94,0.508,0.489
1985-06-21T18:00,,22.7,94,0.507,0.49
1985-06-21T19:00,,22.7,95,0.507,0.491
1985-06-21T20:00,,22.8,94,0.507,0.492
1985-06-21T21:00,,22.8,94,0.506,0.492
1985-06-21T22:00,,22.9,94,0.51,0.493
1985-06-21T23:00,,22.8,94,0.518,0.495
1985-06-22T00:00,,22.9,93,0.483,0.502
1985-06-22T01:00,,23.1,92,0.457,0.49
1985-06-22T02:00,,23.2,94,0.464,0.491
1985-06-22T03:00,,24.0,94,0.471,0.49
1985-06-22T04:00,,24.5,91,0.477,0.49
1985-06-22T05:00,,25.1,85,0.489,0.49
1985-06-22T06:00,,24.6,85,0.499,0.499
1985-06-22T07:00,,25.5,85,0.478,0.493
1985-06-22T08:00,,25.4,86,0.482,0.494
1985-06-22T09:00,,25.2,84,0.494,0.495
1985-06-22T10:00,,25.3,84,0.455,0.508
1985-06-22T11:00,,24.4,86,0.431,0.492
1985-06-22T12:00,,23.8,93,0.443,0.466
1985-06-22T13:00,,23.3,95,0.459,0.465
1985-06-22T14:00,,23.1,95,0.464,0.465
1985-06-22T15:00,,22.9,96,0.475,0.466
1985-06-22T16:00,,22.8,96,0.48,0.467
1985-06-22T17:00,,22.9,96,0.486,0.468
1985-06-22T18:00,,22.8,96,0.49,0.469
1985-06-22T19:00,,22.6,97,0.492,0.469
1985-06-22T20:00,,22.6,97,0.497,0.47
1985-06-22T21:00,,22.6,97,0.504,0.471
1985-06-22T22:00,,22.7,97,0.514,0.474
1985-06-22T23:00,,22.7,97,0.493,0.483
1985-06-23T00:00,,22.6,97,0.47,0.476
1985-06-23T01:00,,22.7,96,0.481,0.461
1985-06-23T02:00,,22.9,96,0.49,0.465
1985-06-23T03:00,,23.2,97,0.5,0.469
1985-06-23T04:00,,23.3,94,0.512,0.474
1985-06-23T05:00,,23.4,93,0.477,0.492
1985-06-23T06:00,,23.4,95,0.495,0.492
1985-06-23T07:00,,23.9,94,0.52,0.497
1985-06-23T08:00,,23.7,95,0.472,0.515
1985-06-23T09:00,,23.1,95,0.48,0.506
1985-06-23T10:00,,22.8,96,0.504,0.486
1985-06-23T11:00,,23.0,95,0.49,0.486
1985-06-23T12:00,,22.8,96,0.468,0.489
1985-06-23T13:00,,23.0,93,0.51,0.488
1985-06-23T14:00,,22.7,95,0.497,0.502
1985-06-23T15:00,,22.4,96,0.495,0.511
1985-06-23T16:00,,22.0,97,0.473,0.503
1985-06-23T17:00,,21.8,98,0.488,0.484
1985-06-23T18:00,,21.8,98,0.489,0.478
1985-06-23T19:00,,22.7,95,0.461,0.481
1985-06-23T20:00,,22.7,95,0.492,0.481
1985-06-23T21:00,,22.4,96,0.517,0.482
1985-06-23T22:00,,22.1,98,0.496,0.498
1985-06-23T23:00,,22.0,98,0.496,0.511
