time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.1,98,0.494,0.491
1985-06-21T01:00,,22.2,97,0.496,0.491
1985-06-21T02:00,,22.6,96,0.496,0.491
1985-06-21T03:00,,23.2,94,0.496,0.491
1985-06-21T04:00,,24.2,92,0.495,0.491
1985-06-21T05:00,,25.5,85,0.495,0.491
1985-06-21T06:00,,25.6,86,0.495,0.491
1985-06-21T07:00,,25.6,87,0.511,0.491
1985-06-21T08:00,,26.4,85,0.506,0.493
1985-06-21T09:00,,27.2,77,0.503,0.493
1985-06-21T10:00,,26.9,78,0.501,0.493
1985-06-21T11:00,,26.3,79,0.5,0.493
1985-06-21T12:00,,24.9,85,0.501,0.493
1985-06-21T13:00,,23.9,88,0.499,0.493
1985-06-21T14:00,,23.4,91,0.498,0.493
1985-06-21T15:00,,23.0,93,0.497,0.493
1985-06-21T16:00,,23.0,92,0.496,0.494
1985-06-21T17:00,,22.8,94,0.495,0.494
1985-06-21T18:00,,22.7,93,0.495,0.494
1985-06-21T19:00,,22.8,96,0.495,0.493
1985-06-21T20:00,,22.7,96,0.494,0.493
1985-06-21T21:00,,22.8,95,0.494,0.493
1985-06-21T22:00,,22.9,94,0.494,0.493
1985-06-21T23:00,,22.6,96,0.495,0.493
1985-06-22T00:00,,22.5,98,0.498,0.493
1985-06-22T01:00,,22.5,98,0.5,0.494
1985-06-22T02:00,,22.6,98,0.504,0.494
1985-06-22T03:00,,23.3,99,0.502,0.495
1985-06-22T04:00,,24.2,96,0.504,0.495
1985-06-22T05:00,,25.1,93,0.504,0.496
1985-06-22T06:00,,25.5,81,0.508,0.496
1985-06-22T07:00,,25.6,86,0.511,0.498
1985-06-22T08:00,,25.9,81,0.518,0.501
1985-06-22T09:00,,25.8,79,0.465,0.515
1985-06-22T10:00,,25.2,82,0.434,0.495
1985-06-22T11:00,,24.2,85,0.444,0.494
1985-06-22T12:00,,23.9,89,0.448,0.492
1985-06-22T13:00,,23.5,92,0.451,0.491
1985-06-22T14:00,,23.2,93,0.455,0.49
1985-06-22T15:00,,23.1,94,0.46,0.49
1985-06-22T16:00,,22.8,96,0.465,0.489
1985-06-22T17:00,,22.7,96,0.466,0.488
1985-06-22T18:00,,22.6,97,0.468,0.488
1985-06-22T19:00,,22.5,97,0.47,0.487
1985-06-22T20:00,,22.4,98,0.472,0.487
1985-06-22T21:00,,22.3,99,0.477,0.486
1985-06-22T22:00,,22.4,99,0.48,0.486
1985-06-22T23:00,,22.4,99,0.486,0.486
1985-06-23T00:00,,22.5,97,0.489,0.486
1985-06-23T01:00,,22.6,96,0.492,0.486
1985-06-23T02:00,,22.6,98,0.5,0.486
1985-06-23T03:00,,22.7,97,0.509,0.487
1985-06-23T04:00,,23.2,97,0.516,0.489
1985-06-23T05:00,,23.7,95,0.514,0.493
1985-06-23T06:00,,23.1,94,0.518,0.496
1985-06-23T07:00,,24.0,97,0.52,0.503
1985-06-23T08:00,,23.5,94,0.478,0.52
1985-06-23T09:00,,23.0,96,0.429,0.498
1985-06-23T10:00,,22.8,96,0.469,0.496
1985-06-23T11:00,,22.8,97,0.504,0.496
1985-06-23T12:00,,22.5,99,0.52,0.496
1985-06-23T13:00,,22.3,99,0.474,0.518
1985-06-23T14:00,,22.3,98,0.433,0.501
1985-06-23T15:00,,22.4,97,0.458,0.471
1985-06-23T16:00,,22.3,97,0.492,0.471
1985-06-23T17:00,,22.0,99,0.516,0.473
1985-06-23T18:00,,21.8,99,0.459,0.499
1985-06-23T19:00,,22.0,99,0.463,0.493
1985-06-23T20:00,,22.0,99,0.473,0.495
1985-06-23T21:00,,22.1,99,0.485,0.491
1985-06-23T22:00,,22.2,99,0.5,0.492
1985-06-23T23:00,,21.9,99,0.485,0.51
