time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,19.7,100,0.507,0.49
1985-06-21T01:00,,19.7,100,0.51,0.492
1985-06-21T02:00,,19.7,100,0.512,0.493
1985-06-21T03:00,,20.4,98,0.509,0.495
1985-06-21T04:00,,21.4,94,0.51,0.496
1985-06-21T05:00,,21.9,89,0.51,0.498
1985-06-21T06:00,,22.9,85,0.511,0.499
1985-06-21T07:00,,23.0,83,0.519,0.5
1985-06-21T08:00,,22.9,88,0.464,0.517
1985-06-21T09:00,,22.9,81,0.436,0.497
1985-06-21T10:00,,22.1,85,0.443,0.496
1985-06-21T11:00,,21.4,89,0.447,0.495
1985-06-21T12:00,,20.8,90,0.46,0.494
1985-06-21T13:00,,20.0,98,0.467,0.494
1985-06-21T14:00,,19.7,100,0.476,0.494
1985-06-21T15:00,,19.8,100,0.486,0.494
1985-06-21T16:00,,19.7,100,0.493,0.494
1985-06-21T17:00,,19.9,100,0.505,0.495
1985-06-21T18:00,,19.8,100,0.49,0.499
1985-06-21T19:00,,19.6,100,0.466,0.489
1985-06-21T20:00,,19.7,100,0.471,0.49
1985-06-21T21:00,,19.7,100,0.473,0.49
1985-06-21T22:00,,19.8,100,0.479,0.491
1985-06-21T23:00,,19.8,100,0.484,0.492
1985-06-22T00:00,,19.9,100,0.492,0.494
1985-06-22T01:00,,19.9,100,0.47,0.506
1985-06-22T02:00,,19.8,99,0.446,0.49
1985-06-22T03:00,,20.1,99,0.456,0.489
1985-06-22T04:00,,21.0,97,0.467,0.489
1985-06-22T05:00,,21.2,93,0.493,0.49
1985-06-22T06:00,,21.1,98,0.487,0.502
1985-06-22T07:00,,21.9,95,0.496,0.498
1985-06-22T08:00,,21.5,91,0.486,0.514
1985-06-22T09:00,,21.4,92,0.452,0.501
1985-06-22T10:00,,20.8,99,0.457,0.496
1985-06-22T11:00,,20.6,99,0.481,0.5
1985-06-22T12:00,,20.2,100,0.49,0.495
1985-06-22T13:00,,20.1,100,0.466,0.509
1985-06-22T14:00,,20.1,99,0.453,0.495
1985-06-22T15:00,,19.9,99,0.461,0.499
1985-06-22T16:00,,19.9,100,0.486,0.498
1985-06-22T17:00,,19.8,100,0.499,0.498
1985-06-22T18:00,,19.9,100,0.509,0.499
1985-06-22T19:00,,19.9,100,0.514,0.5
1985-06-22T20:00,,19.9,100,0.516,0.503
1985-06-22T21:00,,19.9,100,0.52,0.506
1985-06-22T22:00,,19.8,100,0.463,0.52
1985-06-22T23:00,,19.7,99,0.419,0.497
1985-06-23T00:00,,19.7,100,0.441,0.477
1985-06-23T01:00,,19.5,100,0.463,0.476
1985-06-23T02:00,,19.6,100,0.497,0.475
1985-06-23T03:00,,19.6,100,0.515,0.476
1985-06-23T04:00,,20.2,99,0.483,0.494
1985-06-23T05:00,,20.4,99,0.46,0.483
1985-06-23T06:00,,20.1,99,0.484,0.463
1985-06-23T07:00,,20.0,99,0.491,0.478
1985-06-23T08:00,,20.2,100,0.517,0.481
1985-06-23T09:00,,20.3,100,0.489,0.504
1985-06-23T10:00,,19.9,99,0.501,0.508
1985-06-23T11:00,,19.8,100,0.485,0.505
1985-06-23T12:00,,20.1,100,0.476,0.51
1985-06-23T13:00,,20.1,99,0.462,0.497
1985-06-23T14:00,,19.9,100,0.49,0.497
1985-06-23T15:00,,19.9,100,0.494,0.502
1985-06-23T16:00,,19.8,100,0.483,0.5
1985-06-23T17:00,,19.9,100,0.445,0.508
1985-06-23T18:00,,19.8,100,0.437,0.494
1985-06-23T19:00,,19.8,100,0.465,0.493
1985-06-23T20:00,,19.7,100,0.488,0.493
1985-06-23T21:00,,19.8,100,0.51,0.494
1985-06-23T22:00,,19.7,100,0.506,0.501
1985-06-23T23:00,,19.6,100,0.466,0.51
