time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.6,95,0.482,0.473
1985-06-21T01:00,,22.6,96,0.481,0.474
1985-06-21T02:00,,22.9,96,0.48,0.474
1985-06-21T03:00,,23.3,94,0.48,0.475
1985-06-21T04:00,,24.0,91,0.478,0.475
1985-06-21T05:00,,24.8,88,0.477,0.475
1985-06-21T06:00,,25.6,83,0.475,0.475
1985-06-21T07:00,,25.5,91,0.475,0.474
1985-06-21T08:00,,26.1,83,0.473,0.474
1985-06-21T09:00,,24.9,86,0.474,0.473
1985-06-21T10:00,,24.6,88,0.475,0.473
1985-06-21T11:00,,24.4,91,0.474,0.473
1985-06-21T12:00,,24.0,88,0.473,0.473
1985-06-21T13:00,,23.3,90,0.474,0.473
1985-06-21T14:00,,23.1,92,0.475,0.473
1985-06-21T15:00,,22.9,94,0.477,0.473
1985-06-21T16:00,,22.8,94,0.479,0.474
1985-06-21T17:00,,22.8,94,0.479,0.474
1985-06-21T18:00,,22.8,95,0.477,0.475
1985-06-21T19:00,,22.8,95,0.479,0.475
1985-06-21T20:00,,22.5,95,0.482,0.475
1985-06-21T21:00,,22.5,96,0.481,0.477
1985-06-21T22:00,,22.7,95,0.484,0.477
1985-06-21T23:00,,22.5,96,0.486,0.479
1985-06-22T00:00,,22.8,94,0.484,0.481
1985-06-22T01:00,,22.5,96,0.488,0.481
1985-06-22T02:00,,22.9,93,0.446,0.484
1985-06-22T03:00,,23.1,92,0.406,0.467
1985-06-22T04:00,,23.9,91,0.414,0.436
1985-06-22T05:00,,24.2,89,0.428,0.437
1985-06-22T06:00,,24.3,91,0.439,0.439
1985-06-22T07:00,,24.7,86,0.457,0.436
1985-06-22T08:00,,24.6,90,0.468,0.437
1985-06-22T09:00,,24.4,88,0.488,0.439
1985-06-22T10:00,,24.1,89,0.435,0.463
1985-06-22T11:00,,23.3,96,0.444,0.463
1985-06-22T12:00,,23.3,96,0.451,0.462
1985-06-22T13:00,,22.8,97,0.46,0.462
1985-06-22T14:00,,22.8,96,0.477,0.463
1985-06-22T15:00,,22.8,94,0.482,0.465
1985-06-22T16:00,,22.8,94,0.472,0.465
1985-06-22T17:00,,23.0,94,0.473,0.461
1985-06-22T18:00,,22.9,95,0.473,0.462
1985-06-22T19:00,,23.0,95,0.475,0.463
1985-06-22T20:00,,22.6,96,0.479,0.465
1985-06-22T21:00,,22.8,96,0.485,0.468
1985-06-22T22:00,,22.7,96,0.443,0.482
1985-06-22T23:00,,22.6,97,0.411,0.464
1985-06-23T00:00,,22.7,96,0.425,0.434
1985-06-23T01:00,,22.7,94,0.442,0.435
1985-06-23T02:00,,22.6,95,0.457,0.438
1985-06-23T03:00,,22.7,96,0.471,0.438
1985-06-23T04:00,,23.5,93,0.467,0.443
1985-06-23T05:00,,23.5,94,0.484,0.444
1985-06-23T06:00,,23.4,92,0.495,0.451
1985-06-23T07:00,,23.4,93,0.439,0.477
1985-06-23T08:00,,23.1,95,0.456,0.474
1985-06-23T09:00,,23.3,93,0.48,0.468
1985-06-23T10:00,,23.1,94,0.493,0.47
1985-06-23T11:00,,23.1,94,0.452,0.486
1985-06-23T12:00,,23.4,94,0.405,0.473
1985-06-23T13:00,,22.9,96,0.448,0.443
1985-06-23T14:00,,22.9,96,0.465,0.444
1985-06-23T15:00,,22.8,97,0.465,0.447
1985-06-23T16:00,,22.8,96,0.474,0.447
1985-06-23T17:00,,22.9,94,0.484,0.448
1985-06-23T18:00,,22.8,94,0.485,0.451
1985-06-23T19:00,,22.6,96,0.486,0.453
1985-06-23T20:00,,22.7,95,0.487,0.456
1985-06-23T21:00,,22.4,95,0.487,0.46
1985-06-23T22:00,,22.7,94,0.427,0.478
1985-06-23T23:00,,22.5,95,0.456,0.471
