time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.3,96,0.486,0.46
1985-06-21T01:00,,23.3,96,0.493,0.461
1985-06-21T02:00,,23.7,94,0.493,0.462
1985-06-21T03:00,,24.4,91,0.495,0.463
1985-06-21T04:00,,24.8,92,0.497,0.464
1985-06-21T05:00,,25.6,87,0.496,0.465
1985-06-21T06:00,,25.3,87,0.515,0.466
1985-06-21T07:00,,26.0,89,0.504,0.472
1985-06-21T08:00,,26.6,88,0.503,0.473
1985-06-21T09:00,,26.2,83,0.502,0.474
1985-06-21T10:00,,25.5,87,0.509,0.475
1985-06-21T11:00,,26.3,83,0.504,0.477
1985-06-21T12:00,,24.5,90,0.52,0.479
1985-06-21T13:00,,24.2,92,0.453,0.502
1985-06-21T14:00,,23.8,94,0.46,0.5
1985-06-21T15:00,,23.6,94,0.469,0.499
1985-06-21T16:00,,23.7,93,0.475,0.498
1985-06-21T17:00,,23.5,94,0.48,0.497
1985-06-21T18:00,,23.4,94,0.485,0.497
1985-06-21T19:00,,23.4,96,0.495,0.496
1985-06-21T20:00,,23.6,94,0.496,0.496
1985-06-21T21:00,,23.6,96,0.499,0.496
1985-06-21T22:00,,23.5,96,0.505,0.497
1985-06-21T23:00,,23.4,94,0.518,0.497
1985-06-22T00:00,,23.3,96,0.51,0.502
1985-06-22T01:00,,23.6,93,0.512,0.503
1985-06-22T02:00,,23.7,94,0.514,0.504
1985-06-22T03:00,,24.3,95,0.51,0.505
1985-06-22T04:00,,24.7,92,0.52,0.506
1985-06-22T05:00,,25.0,92,0.461,0.52
1985-06-22T06:00,,24.8,91,0.438,0.501
1985-06-22T07:00,,26.2,86,0.452,0.458
1985-06-22T08:00,,25.3,89,0.499,0.458
1985-06-22T09:00,,25.9,86,0.506,0.459
1985-06-22T10:00,,25.2,89,0.52,0.463
1985-06-22T11:00,,25.0,90,0.445,0.494
1985-06-22T12:00,,24.1,94,0.461,0.493
1985-06-22T13:00,,23.9,94,0.476,0.492
1985-06-22T14:00,,23.7,95,0.484,0.491
1985-06-22T15:00,,23.7,94,0.497,0.49
1985-06-22T16:00,,23.6,95,0.508,0.49
1985-06-22T17:00,,23.6,95,0.511,0.491
1985-06-22T18:00,,23.6,94,0.51,0.492
1985-06-22T19:00,,23.4,96,0.51,0.493
1985-06-22T20:00,,23.5,96,0.51,0.494
1985-06-22T21:00,,23.5,95,0.515,0.495
1985-06-22T22:00,,23.5,94,0.516,0.498
1985-06-22T23:00,,23.3,95,0.516,0.501
1985-06-23T00:00,,23.4,95,0.515,0.504
1985-06-23T01:00,,23.5,96,0.515,0.506
1985-06-23T02:00,,23.6,96,0.519,0.507
1985-06-23T03:00,,23.8,97,0.503,0.512
1985-06-23T04:00,,23.9,96,0.498,0.508
1985-06-23T05:00,,24.0,95,0.456,0.506
1985-06-23T06:00,,24.0,95,0.423,0.487
1985-06-23T07:00,,24.2,94,0.473,0.454
1985-06-23T08:00,,24.0,94,0.503,0.455
1985-06-23T09:00,,23.6,96,0.506,0.464
1985-06-23T10:00,,23.7,96,0.462,0.492
1985-06-23T11:00,,23.5,94,0.502,0.491
1985-06-23T12:00,,23.2,97,0.509,0.497
1985-06-23T13:00,,23.2,96,0.457,0.516
1985-06-23T14:00,,23.4,95,0.434,0.49
1985-06-23T15:00,,23.4,95,0.47,0.456
1985-06-23T16:00,,23.4,95,0.501,0.457
1985-06-23T17:00,,23.2,96,0.505,0.465
1985-06-23T18:00,,23.1,96,0.459,0.487
1985-06-23T19:00,,22.9,97,0.484,0.487
1985-06-23T20:00,,23.2,96,0.494,0.491
1985-06-23T21:00,,23.2,96,0.501,0.496
1985-06-23T22:00,,23.1,97,0.496,0.497
1985-06-23T23:00,,23.1,97,0.467,0.503
