time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,19.7,99,0.469,0.466
1985-06-21T01:00,,19.8,99,0.471,0.466
1985-06-21T02:00,,20.1,99,0.471,0.466
1985-06-21T03:00,,20.6,94,0.473,0.466
1985-06-21T04:00,,21.7,94,0.476,0.466
1985-06-21T05:00,,23.0,87,0.487,0.466
1985-06-21T06:00,,23.5,84,0.504,0.467
1985-06-21T07:00,,22.8,87,0.505,0.47
1985-06-21T08:00,,23.1,85,0.509,0.471
1985-06-21T09:00,,24.4,83,0.493,0.476
1985-06-21T10:00,,23.6,86,0.497,0.476
1985-06-21T11:00,,22.6,88,0.502,0.477
1985-06-21T12:00,,21.9,88,0.5,0.479
1985-06-21T13:00,,21.0,93,0.497,0.479
1985-06-21T14:00,,20.6,96,0.495,0.48
1985-06-21T15:00,,20.3,98,0.494,0.48
1985-06-21T16:00,,20.3,98,0.494,0.481
1985-06-21T17:00,,19.9,99,0.493,0.481
1985-06-21T18:00,,20.1,98,0.492,0.481
1985-06-21T19:00,,20.1,99,0.492,0.481
1985-06-21T20:00,,20.1,99,0.491,0.481
1985-06-21T21:00,,20.0,99,0.491,0.482
1985-06-21T22:00,,20.0,99,0.491,0.482
1985-06-21T23:00,,20.0,99,0.492,0.482
1985-06-22T00:00,,20.0,99,0.494,0.482
1985-06-22T01:00,,20.0,99,0.495,0.482
1985-06-22T02:00,,20.5,98,0.498,0.483
1985-06-22T03:00,,21.1,98,0.51,0.483
1985-06-22T04:00,,21.4,92,0.514,0.486
1985-06-22T05:00,,22.2,93,0.51,0.489
1985-06-22T06:00,,22.5,89,0.513,0.491
1985-06-22T07:00,,23.1,87,0.508,0.493
1985-06-22T08:00,,23.3,86,0.515,0.494
1985-06-22T09:00,,23.2,85,0.509,0.498
1985-06-22T10:00,,22.7,85,0.509,0.498
1985-06-22T11:00,,22.0,88,0.509,0.499
1985-06-22T12:00,,20.6,95,0.52,0.501
1985-06-22T13:00,,20.1,99,0.459,0.52
1985-06-22T14:00,,20.0,100,0.411,0.495
1985-06-22T15:00,,20.0,99,0.421,0.492
1985-06-22T16:00,,19.9,99,0.433,0.491
1985-06-22T17:00,,19.9,99,0.44,0.489
1985-06-22T18:00,,19.9,99,0.447,0.488
1985-06-22T19:00,,19.9,100,0.45,0.487
1985-06-22T20:00,,19.9,100,0.456,0.486
1985-06-22T21:00,,19.9,100,0.463,0.485
1985-06-22T22:00,,19.9,99,0.474,0.484
1985-06-22T23:00,,19.8,100,0.479,0.485
1985-06-23T00:00,,19.9,99,0.485,0.483
1985-06-23T01:00,,19.8,99,0.491,0.48
1985-06-23T02:00,,20.2,98,0.504,0.481
1985-06-23T03:00,,20.6,99,0.507,0.485
1985-06-23T04:00,,20.7,98,0.512,0.487
1985-06-23T05:00,,20.9,98,0.471,0.503
1985-06-23T06:00,,20.8,98,0.491,0.498
1985-06-23T07:00,,21.9,95,0.516,0.499
1985-06-23T08:00,,21.6,94,0.495,0.512
1985-06-23T09:00,,21.1,98,0.474,0.516
1985-06-23T10:00,,20.8,100,0.459,0.503
1985-06-23T11:00,,20.5,99,0.48,0.479
1985-06-23T12:00,,20.2,99,0.495,0.481
1985-06-23T13:00,,20.2,99,0.49,0.477
1985-06-23T14:00,,20.1,98,0.457,0.484
1985-06-23T15:00,,19.9,98,0.495,0.483
1985-06-23T16:00,,19.9,99,0.516,0.481
1985-06-23T17:00,,19.9,100,0.483,0.5
1985-06-23T18:00,,20.0,99,0.463,0.488
1985-06-23T19:00,,19.9,99,0.466,0.475
1985-06-23T20:00,,19.9,99,0.508,0.475
1985-06-23T21:00,,19.8,100,0.519,0.481
1985-06-23T22:00,,20.0,99,0.477,0.504
1985-06-23T23:00,,19.8,99,0.477,0.506
