time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,8.7,98,0.357,0.387
1985-07-16T01:00,,9.0,97,0.357,0.387
1985-07-16T02:00,,9.2,95,0.359,0.387
1985-07-16T03:00,,9.5,90,0.36,0.387
1985-07-16T04:00,,9.6,89,0.362,0.388
1985-07-16T05:00,,9.4,91,0.364,0.388
1985-07-16T06:00,,9.4,93,0.366,0.388
1985-07-16T07:00,,9.5,91,0.368,0.388
1985-07-16T08:00,,9.5,91,0.37,0.388
1985-07-16T09:00,,9.1,96,0.373,0.389
1985-07-16T10:00,,9.1,95,0.375,0.389
1985-07-16T11:00,,9.5,96,0.377,0.39
1985-07-16T12:00,,9.0,95,0.377,0.391
1985-07-16T13:00,,8.6,96,0.376,0.391
1985-07-16T14:00,,8.4,96,0.375,0.392
1985-07-16T15:00,,8.1,97,0.374,0.393
1985-07-16T16:00,,7.9,97,0.373,0.393
1985-07-16T17:00,,7.6,97,0.373,0.394
1985-07-16T18:00,,7.5,97,0.372,0.394
1985-07-16T19:00,,7.8,97,0.371,0.394
1985-07-16T20:00,,7.5,98,0.371,0.394
1985-07-16T21:00,,7.4,98,0.37,0.395
1985-07-16T22:00,,7.2,98,0.37,0.395
1985-07-16T23:00,,7.2,97,0.37,0.395
1985-07-17T00:00,,7.0,98,0.369,0.395
1985-07-17T01:00,,7.1,98,0.369,0.396
1985-07-17T02:00,,7.3,97,0.37,0.396
1985-07-17T03:00,,7.7,94,0.371,0.396
1985-07-17T04:00,,8.5,91,0.374,0.396
1985-07-17T05:00,,8.6,92,0.376,0.397
1985-07-17T06:00,,9.2,91,0.379,0.397
1985-07-17T07:00,,10.9,95,0.383,0.398
1985-07-17T08:00,,10.5,97,0.385,0.399
1985-07-17T09:00,,10.2,95,0.384,0.401
1985-07-17T10:00,,9.8,95,0.384,0.402
1985-07-17T11:00,,10.3,90,0.382,0.403
1985-07-17T12:00,,9.8,90,0.38,0.404
1985-07-17T13:00,,9.8,90,0.378,0.405
1985-07-17T14:00,,9.4,91,0.377,0.405
1985-07-17T15:00,,8.9,93,0.376,0.405
1985-07-17T16:00,,8.5,95,0.375,0.406
1985-07-17T17:00,,8.2,96,0.375,0.406
1985-07-17T18:00,,7.8,97,0.374,0.406
1985-07-17T19:00,,7.8,98,0.374,0.406
1985-07-17T20:00,,7.4,98,0.373,0.406
1985-07-17T21:00,,7.3,98,0.373,0.406
1985-07-17T22:00,,7.3,98,0.372,0.406
1985-07-17T23:00,,7.1,98,0.372,0.406
1985-07-18T00:00,,7.1,98,0.371,0.406
1985-07-18T01:00,,7.2,97,0.371,0.406
1985-07-18T02:00,,7.6,95,0.371,0.406
1985-07-18T03:00,,8.1,93,0.372,0.406
1985-07-18T04:00,,8.5,92,0.373,0.406
1985-07-18T05:00,,9.1,89,0.375,0.406
1985-07-18T06:00,,9.5,87,0.376,0.407
1985-07-18T07:00,,9.6,91,0.379,0.407
1985-07-18T08:00,,9.5,90,0.38,0.407
1985-07-18T09:00,,9.2,92,0.38,0.408
1985-07-18T10:00,,9.2,92,0.381,0.408
1985-07-18T11:00,,9.0,92,0.38,0.409
1985-07-18T12:00,,8.5,94,0.38,0.409
1985-07-18T13:00,,8.1,95,0.379,0.409
1985-07-18T14:00,,7.7,96,0.378,0.409
1985-07-18T15:00,,7.5,96,0.377,0.41
1985-07-18T16:00,,7.2,96,0.376,0.41
1985-07-18T17:00,,7.1,96,0.375,0.41
1985-07-18T18:00,,7.0,96,0.375,0.41
1985-07-18T19:00,,6.7,95,0.374,0.41
1985-07-18T20:00,,6.5,96,0.373,0.41
1985-07-18T21:00,,6.3,96,0.373,0.41
1985-07-18T22:00,,6.1,96,0.372,0.41
1985-07-18T23:00,,5.9,96,0.372,0.41
