time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,-6.2,85,0.051,0.136
1985-07-16T01:00,,-5.8,87,0.051,0.136
1985-07-16T02:00,,-4.4,77,0.051,0.136
1985-07-16T03:00,,-2.8,66,0.051,0.136
1985-07-16T04:00,,-1.7,64,0.051,0.136
1985-07-16T05:00,,-0.5,63,0.051,0.136
1985-07-16T06:00,,0.2,62,0.05,0.136
1985-07-16T07:00,,2.7,48,0.051,0.136
1985-07-16T08:00,,3.0,51,0.051,0.136
1985-07-16T09:00,,2.8,55,0.051,0.136
1985-07-16T10:00,,1.7,63,0.055,0.136
1985-07-16T11:00,,0.5,70,0.055,0.136
1985-07-16T12:00,,-0.7,81,0.056,0.136
1985-07-16T13:00,,-1.7,90,0.057,0.136
1985-07-16T14:00,,-2.2,94,0.057,0.136
1985-07-16T15:00,,-2.9,99,0.057,0.136
1985-07-16T16:00,,-3.3,99,0.057,0.136
1985-07-16T17:00,,-3.5,99,0.057,0.136
1985-07-16T18:00,,-3.9,99,0.058,0.136
1985-07-16T19:00,,-4.3,99,0.058,0.136
1985-07-16T20:00,,-4.6,99,0.058,0.136
1985-07-16T21:00,,-5.0,99,0.058,0.136
1985-07-16T22:00,,-5.0,99,0.058,0.136
1985-07-16T23:00,,-5.3,99,0.058,0.136
1985-07-17T00:00,,-5.0,99,0.058,0.136
1985-07-17T01:00,,-4.5,98,0.058,0.136
1985-07-17T02:00,,-3.6,89,0.059,0.136
1985-07-17T03:00,,-2.6,81,0.061,0.136
1985-07-17T04:00,,-1.4,71,0.066,0.136
1985-07-17T05:00,,-0.4,64,0.069,0.136
1985-07-17T06:00,,0.8,59,0.075,0.136
1985-07-17T07:00,,0.8,63,0.077,0.136
1985-07-17T08:00,,1.6,66,0.078,0.136
1985-07-17T09:00,,2.4,66,0.079,0.136
1985-07-17T10:00,,2.4,68,0.08,0.136
1985-07-17T11:00,,1.0,73,0.085,0.136
1985-07-17T12:00,,1.0,70,0.085,0.136
1985-07-17T13:00,,0.3,72,0.085,0.136
1985-07-17T14:00,,-0.9,79,0.085,0.136
1985-07-17T15:00,,-2.0,87,0.085,0.136
1985-07-17T16:00,,-2.7,91,0.085,0.136
1985-07-17T17:00,,-3.2,94,0.085,0.136
1985-07-17T18:00,,-4.2,99,0.085,0.136
1985-07-17T19:00,,-4.1,98,0.085,0.136
1985-07-17T20:00,,-4.7,99,0.085,0.136
1985-07-17T21:00,,-5.1,99,0.085,0.136
1985-07-17T22:00,,-5.4,98,0.085,0.136
1985-07-17T23:00,,-5.5,98,0.085,0.136
1985-07-18T00:00,,-5.9,99,0.085,0.136
1985-07-18T01:00,,-5.2,97,0.085,0.136
1985-07-18T02:00,,-4.0,93,0.086,0.136
1985-07-18T03:00,,-2.5,86,0.086,0.136
1985-07-18T04:00,,-1.3,82,0.088,0.136
1985-07-18T05:00,,-0.2,84,0.092,0.136
1985-07-18T06:00,,1.1,84,0.095,0.136
1985-07-18T07:00,,1.7,77,0.095,0.136
1985-07-18T08:00,,1.8,82,0.095,0.136
1985-07-18T09:00,,1.8,83,0.095,0.136
1985-07-18T10:00,,1.5,86,0.095,0.136
1985-07-18T11:00,,1.1,85,0.095,0.136
1985-07-18T12:00,,0.5,86,0.095,0.135
1985-07-18T13:00,,-0.4,87,0.095,0.135
1985-07-18T14:00,,-1.6,89,0.096,0.135
1985-07-18T15:00,,-2.2,95,0.097,0.135
1985-07-18T16:00,,-2.6,95,0.097,0.135
1985-07-18T17:00,,-2.9,97,0.097,0.135
1985-07-18T18:00,,-3.6,100,0.097,0.135
1985-07-18T19:00,,-3.8,97,0.097,0.135
1985-07-18T20:00,,-4.0,98,0.097,0.135
1985-07-18T21:00,,-3.9,99,0.097,0.135
1985-07-18T22:00,,-4.2,99,0.097,0.135
1985-07-18T23:00,,-4.3,99,0.097,0.135
