time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,26.1,45,0.134,0.15
1986-06-13T01:00,,27.1,52,0.134,0.15
1986-06-13T02:00,,31.7,34,0.134,0.15
1986-06-13T03:00,,34.4,29,0.134,0.15
1986-06-13T04:00,,36.6,25,0.134,0.15
1986-06-13T05:00,,38.1,22,0.134,0.15
1986-06-13T06:00,,38.8,20,0.134,0.15
1986-06-13T07:00,,39.2,20,0.134,0.15
1986-06-13T08:00,,39.2,20,0.134,0.15
1986-06-13T09:00,,39.3,20,0.134,0.15
1986-06-13T10:00,,38.6,20,0.134,0.15
1986-06-13T11:00,,38.3,21,0.134,0.15
1986-06-13T12:00,,37.3,22,0.134,0.15
1986-06-13T13:00,,35.8,25,0.134,0.15
1986-06-13T14:00,,34.3,28,0.134,0.15
1986-06-13T15:00,,32.9,31,0.134,0.15
1986-06-13T16:00,,31.7,36,0.134,0.15
1986-06-13T17:00,,30.7,39,0.134,0.15
1986-06-13T18:00,,30.0,42,0.134,0.15
1986-06-13T19:00,,28.7,49,0.134,0.15
1986-06-13T20:00,,28.3,50,0.134,0.15
1986-06-13T21:00,,27.8,52,0.134,0.15
1986-06-13T22:00,,27.2,54,0.134,0.15
1986-06-13T23:00,,26.9,55,0.134,0.15
1986-06-14T00:00,,26.3,57,0.134,0.15
1986-06-14T01:00,,27.2,57,0.134,0.15
1986-06-14T02:00,,30.2,46,0.134,0.15
1986-06-14T03:00,,32.2,40,0.134,0.15
1986-06-14T04:00,,34.4,34,0.134,0.15
1986-06-14T05:00,,36.3,29,0.134,0.15
1986-06-14T06:00,,36.9,26,0.134,0.15
1986-06-14T07:00,,37.3,24,0.134,0.15
1986-06-14T08:00,,37.7,23,0.134,0.15
1986-06-14T09:00,,37.7,23,0.134,0.15
1986-06-14T10:00,,37.4,23,0.134,0.15
1986-06-14T11:00,,36.7,24,0.134,0.15
1986-06-14T12:00,,35.8,26,0.134,0.15
1986-06-14T13:00,,34.7,29,0.134,0.15
1986-06-14T14:00,,33.3,32,0.134,0.15
1986-06-14T15:00,,32.2,36,0.134,0.15
1986-06-14T16:00,,31.2,40,0.134,0.15
1986-06-14T17:00,,30.1,44,0.134,0.15
1986-06-14T18:00,,29.1,47,0.134,0.15
1986-06-14T19:00,,28.4,49,0.134,0.15
1986-06-14T20:00,,27.8,51,0.134,0.15
1986-06-14T21:00,,27.2,54,0.134,0.15
1986-06-14T22:00,,26.6,57,0.134,0.15
1986-06-14T23:00,,26.0,60,0.134,0.15
1986-06-15T00:00,,25.6,62,0.134,0.15
1986-06-15T01:00,,27.0,60,0.134,0.15
1986-06-15T02:00,,29.7,50,0.134,0.15
1986-06-15T03:00,,31.8,44,0.134,0.15
1986-06-15T04:00,,33.2,39,0.134,0.15
1986-06-15T05:00,,34.4,35,0.134,0.15
1986-06-15T06:00,,35.2,34,0.134,0.15
1986-06-15T07:00,,35.4,33,0.134,0.15
1986-06-15T08:00,,36.0,32,0.134,0.15
1986-06-15T09:00,,36.1,32,0.134,0.15
1986-06-15T10:00,,36.0,32,0.134,0.15
1986-06-15T11:00,,35.1,34,0.134,0.15
1986-06-15T12:00,,33.8,38,0.134,0.15
1986-06-15T13:00,,32.4,43,0.134,0.15
1986-06-15T14:00,,31.3,47,0.134,0.15
1986-06-15T15:00,,30.6,50,0.134,0.15
1986-06-15T16:00,,29.9,53,0.134,0.15
1986-06-15T17:00,,29.4,55,0.134,0.15
1986-06-15T18:00,,28.9,56,0.134,0.15
1986-06-15T19:00,,28.8,53,0.134,0.15
1986-06-15T20:00,,28.4,57,0.134,0.15
1986-06-15T21:00,,27.9,61,0.134,0.15
1986-06-15T22:00,,27.5,63,0.134,0.15
1986-06-15T23:00,,27.1,66,0.134,0.15
