time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,32.9,35,0.137,0.151
1986-06-13T01:00,,33.5,36,0.137,0.151
1986-06-13T02:00,,35.4,35,0.137,0.151
1986-06-13T03:00,,37.5,32,0.137,0.151
1986-06-13T04:00,,39.3,29,0.137,0.151
1986-06-13T05:00,,40.9,27,0.137,0.151
1986-06-13T06:00,,42.0,25,0.137,0.151
1986-06-13T07:00,,42.7,22,0.137,0.151
1986-06-13T08:00,,43.3,20,0.137,0.151
1986-06-13T09:00,,43.6,20,0.137,0.151
1986-06-13T10:00,,43.4,20,0.137,0.151
1986-06-13T11:00,,43.0,21,0.137,0.151
1986-06-13T12:00,,42.3,22,0.137,0.151
1986-06-13T13:00,,41.2,24,0.137,0.151
1986-06-13T14:00,,39.8,26,0.137,0.151
1986-06-13T15:00,,38.5,28,0.137,0.151
1986-06-13T16:00,,37.5,30,0.137,0.151
1986-06-13T17:00,,36.8,31,0.137,0.151
1986-06-13T18:00,,36.2,32,0.137,0.151
1986-06-13T19:00,,35.2,33,0.137,0.151
1986-06-13T20:00,,34.1,36,0.138,0.151
1986-06-13T21:00,,33.4,39,0.138,0.151
1986-06-13T22:00,,32.7,41,0.138,0.151
1986-06-13T23:00,,32.2,42,0.138,0.151
1986-06-14T00:00,,32.0,42,0.138,0.151
1986-06-14T01:00,,32.8,41,0.138,0.151
1986-06-14T02:00,,35.1,36,0.138,0.151
1986-06-14T03:00,,37.5,31,0.138,0.151
1986-06-14T04:00,,39.3,28,0.138,0.151
1986-06-14T05:00,,40.9,26,0.138,0.151
1986-06-14T06:00,,42.2,24,0.138,0.151
1986-06-14T07:00,,40.3,32,0.138,0.151
1986-06-14T08:00,,41.0,30,0.138,0.151
1986-06-14T09:00,,41.3,29,0.138,0.151
1986-06-14T10:00,,41.4,29,0.139,0.151
1986-06-14T11:00,,41.1,29,0.139,0.151
1986-06-14T12:00,,39.8,30,0.139,0.151
1986-06-14T13:00,,39.2,31,0.139,0.151
1986-06-14T14:00,,38.2,34,0.139,0.151
1986-06-14T15:00,,37.1,36,0.139,0.151
1986-06-14T16:00,,36.0,40,0.139,0.151
1986-06-14T17:00,,35.1,42,0.139,0.151
1986-06-14T18:00,,34.3,44,0.139,0.151
1986-06-14T19:00,,33.5,50,0.139,0.151
1986-06-14T20:00,,33.0,51,0.139,0.151
1986-06-14T21:00,,32.6,53,0.139,0.151
1986-06-14T22:00,,32.3,54,0.139,0.151
1986-06-14T23:00,,31.9,57,0.139,0.151
1986-06-15T00:00,,31.5,59,0.139,0.151
1986-06-15T01:00,,31.9,58,0.139,0.151
1986-06-15T02:00,,33.5,54,0.139,0.151
1986-06-15T03:00,,35.3,48,0.139,0.151
1986-06-15T04:00,,37.0,43,0.139,0.151
1986-06-15T05:00,,38.4,39,0.139,0.151
1986-06-15T06:00,,39.7,35,0.139,0.151
1986-06-15T07:00,,41.0,30,0.139,0.151
1986-06-15T08:00,,41.8,26,0.139,0.151
1986-06-15T09:00,,42.1,24,0.138,0.151
1986-06-15T10:00,,42.4,22,0.138,0.151
1986-06-15T11:00,,42.1,21,0.138,0.151
1986-06-15T12:00,,41.6,22,0.138,0.151
1986-06-15T13:00,,40.3,26,0.138,0.151
1986-06-15T14:00,,38.9,29,0.138,0.151
1986-06-15T15:00,,37.3,33,0.138,0.151
1986-06-15T16:00,,35.8,36,0.138,0.151
1986-06-15T17:00,,34.9,38,0.138,0.151
1986-06-15T18:00,,34.1,40,0.138,0.151
1986-06-15T19:00,,33.8,45,0.138,0.151
1986-06-15T20:00,,33.3,48,0.138,0.151
1986-06-15T21:00,,33.0,51,0.138,0.151
1986-06-15T22:00,,32.6,54,0.138,0.151
1986-06-15T23:00,,32.2,56,0.138,0.151
