time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.7,34,0.252,0.278
1986-06-13T01:00,,31.6,33,0.252,0.278
1986-06-13T02:00,,34.2,30,0.252,0.278
1986-06-13T03:00,,36.9,27,0.252,0.278
1986-06-13T04:00,,38.6,28,0.252,0.278
1986-06-13T05:00,,40.1,26,0.252,0.278
1986-06-13T06:00,,41.4,23,0.252,0.278
1986-06-13T07:00,,42.1,21,0.252,0.278
1986-06-13T08:00,,42.7,19,0.252,0.277
1986-06-13T09:00,,42.9,18,0.252,0.277
1986-06-13T10:00,,42.8,18,0.252,0.277
1986-06-13T11:00,,42.5,18,0.252,0.277
1986-06-13T12:00,,41.4,19,0.252,0.277
1986-06-13T13:00,,40.0,22,0.252,0.277
1986-06-13T14:00,,38.3,24,0.252,0.277
1986-06-13T15:00,,36.9,27,0.252,0.277
1986-06-13T16:00,,35.4,31,0.252,0.277
1986-06-13T17:00,,35.6,29,0.252,0.277
1986-06-13T18:00,,35.2,30,0.252,0.277
1986-06-13T19:00,,32.9,38,0.252,0.277
1986-06-13T20:00,,32.5,40,0.252,0.277
1986-06-13T21:00,,32.1,41,0.252,0.277
1986-06-13T22:00,,31.8,42,0.252,0.277
1986-06-13T23:00,,31.5,42,0.252,0.277
1986-06-14T00:00,,31.1,42,0.252,0.277
1986-06-14T01:00,,31.6,41,0.252,0.277
1986-06-14T02:00,,34.0,35,0.252,0.277
1986-06-14T03:00,,37.0,29,0.252,0.277
1986-06-14T04:00,,39.6,25,0.252,0.277
1986-06-14T05:00,,41.0,23,0.252,0.277
1986-06-14T06:00,,41.9,22,0.252,0.277
1986-06-14T07:00,,40.9,26,0.252,0.277
1986-06-14T08:00,,40.8,27,0.252,0.277
1986-06-14T09:00,,40.9,27,0.252,0.277
1986-06-14T10:00,,40.7,28,0.252,0.277
1986-06-14T11:00,,39.9,29,0.253,0.277
1986-06-14T12:00,,39.5,29,0.253,0.277
1986-06-14T13:00,,38.3,32,0.253,0.277
1986-06-14T14:00,,37.2,35,0.253,0.277
1986-06-14T15:00,,36.2,37,0.253,0.277
1986-06-14T16:00,,35.3,40,0.253,0.277
1986-06-14T17:00,,34.5,42,0.253,0.277
1986-06-14T18:00,,33.7,44,0.253,0.277
1986-06-14T19:00,,32.7,49,0.253,0.277
1986-06-14T20:00,,32.0,51,0.253,0.277
1986-06-14T21:00,,31.5,53,0.253,0.277
1986-06-14T22:00,,31.2,54,0.253,0.277
1986-06-14T23:00,,30.7,56,0.253,0.277
1986-06-15T00:00,,30.4,57,0.253,0.277
1986-06-15T01:00,,31.2,55,0.253,0.277
1986-06-15T02:00,,33.0,48,0.253,0.277
1986-06-15T03:00,,35.0,42,0.253,0.277
1986-06-15T04:00,,37.0,37,0.253,0.277
1986-06-15T05:00,,38.5,33,0.253,0.277
1986-06-15T06:00,,39.4,31,0.253,0.277
1986-06-15T07:00,,40.0,29,0.253,0.277
1986-06-15T08:00,,40.6,27,0.253,0.277
1986-06-15T09:00,,41.2,26,0.253,0.277
1986-06-15T10:00,,41.3,25,0.253,0.277
1986-06-15T11:00,,41.1,25,0.253,0.277
1986-06-15T12:00,,40.4,25,0.253,0.277
1986-06-15T13:00,,38.9,29,0.253,0.277
1986-06-15T14:00,,37.2,32,0.253,0.277
1986-06-15T15:00,,36.1,36,0.253,0.277
1986-06-15T16:00,,35.2,39,0.253,0.277
1986-06-15T17:00,,34.4,41,0.253,0.277
1986-06-15T18:00,,33.7,44,0.253,0.277
1986-06-15T19:00,,33.2,45,0.253,0.277
1986-06-15T20:00,,32.6,46,0.253,0.277
1986-06-15T21:00,,32.2,47,0.253,0.277
1986-06-15T22:00,,31.7,49,0.253,0.277
1986-06-15T23:00,,31.2,50,0.253,0.277
