time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.7,30,0.245,0.277
1986-06-13T01:00,,32.2,30,0.245,0.277
1986-06-13T02:00,,34.3,28,0.245,0.277
1986-06-13T03:00,,36.6,28,0.245,0.277
1986-06-13T04:00,,38.3,27,0.245,0.277
1986-06-13T05:00,,40.0,24,0.245,0.277
1986-06-13T06:00,,41.0,22,0.245,0.277
1986-06-13T07:00,,41.6,20,0.245,0.277
1986-06-13T08:00,,42.3,19,0.245,0.277
1986-06-13T09:00,,42.4,19,0.245,0.277
1986-06-13T10:00,,42.3,18,0.245,0.277
1986-06-13T11:00,,41.6,19,0.245,0.277
1986-06-13T12:00,,40.5,20,0.245,0.277
1986-06-13T13:00,,39.0,22,0.245,0.277
1986-06-13T14:00,,37.7,24,0.245,0.277
1986-06-13T15:00,,36.4,27,0.245,0.277
1986-06-13T16:00,,35.0,30,0.245,0.277
1986-06-13T17:00,,34.0,32,0.245,0.277
1986-06-13T18:00,,32.9,34,0.245,0.277
1986-06-13T19:00,,31.6,38,0.245,0.277
1986-06-13T20:00,,31.1,39,0.245,0.277
1986-06-13T21:00,,30.8,41,0.245,0.277
1986-06-13T22:00,,30.7,43,0.245,0.277
1986-06-13T23:00,,30.6,45,0.245,0.277
1986-06-14T00:00,,30.3,47,0.245,0.277
1986-06-14T01:00,,30.9,48,0.245,0.277
1986-06-14T02:00,,33.1,43,0.245,0.277
1986-06-14T03:00,,35.1,38,0.245,0.277
1986-06-14T04:00,,37.4,32,0.245,0.277
1986-06-14T05:00,,39.5,27,0.245,0.277
1986-06-14T06:00,,41.1,23,0.245,0.277
1986-06-14T07:00,,41.3,22,0.245,0.277
1986-06-14T08:00,,41.7,22,0.245,0.277
1986-06-14T09:00,,41.6,22,0.245,0.277
1986-06-14T10:00,,41.0,24,0.246,0.277
1986-06-14T11:00,,40.5,25,0.246,0.277
1986-06-14T12:00,,37.2,33,0.261,0.277
1986-06-14T13:00,,36.3,35,0.261,0.277
1986-06-14T14:00,,35.4,37,0.261,0.277
1986-06-14T15:00,,34.6,40,0.261,0.277
1986-06-14T16:00,,33.7,46,0.261,0.277
1986-06-14T17:00,,33.5,44,0.261,0.277
1986-06-14T18:00,,32.8,47,0.26,0.277
1986-06-14T19:00,,30.9,54,0.26,0.277
1986-06-14T20:00,,30.5,56,0.26,0.277
1986-06-14T21:00,,30.2,56,0.26,0.277
1986-06-14T22:00,,30.1,56,0.26,0.277
1986-06-14T23:00,,29.9,57,0.26,0.277
1986-06-15T00:00,,29.4,60,0.261,0.277
1986-06-15T01:00,,28.6,66,0.262,0.277
1986-06-15T02:00,,30.0,60,0.261,0.277
1986-06-15T03:00,,32.3,52,0.261,0.277
1986-06-15T04:00,,34.8,44,0.261,0.277
1986-06-15T05:00,,36.9,37,0.26,0.277
1986-06-15T06:00,,38.2,34,0.26,0.277
1986-06-15T07:00,,39.2,30,0.259,0.277
1986-06-15T08:00,,40.0,28,0.259,0.277
1986-06-15T09:00,,40.3,28,0.258,0.277
1986-06-15T10:00,,40.5,27,0.258,0.277
1986-06-15T11:00,,40.2,27,0.257,0.277
1986-06-15T12:00,,39.4,28,0.257,0.277
1986-06-15T13:00,,38.2,31,0.257,0.277
1986-06-15T14:00,,36.6,34,0.257,0.277
1986-06-15T15:00,,35.4,37,0.256,0.277
1986-06-15T16:00,,34.4,40,0.256,0.277
1986-06-15T17:00,,33.5,43,0.256,0.277
1986-06-15T18:00,,32.7,45,0.256,0.277
1986-06-15T19:00,,32.3,44,0.256,0.277
1986-06-15T20:00,,31.9,46,0.256,0.277
1986-06-15T21:00,,31.3,48,0.256,0.277
1986-06-15T22:00,,30.8,49,0.256,0.277
1986-06-15T23:00,,30.3,51,0.256,0.277
