time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,33.7,36,0.121,0.133
1986-06-13T01:00,,34.3,37,0.121,0.133
1986-06-13T02:00,,36.0,36,0.121,0.133
1986-06-13T03:00,,38.0,32,0.121,0.133
1986-06-13T04:00,,39.7,30,0.121,0.133
1986-06-13T05:00,,41.4,26,0.121,0.133
1986-06-13T06:00,,42.1,23,0.121,0.133
1986-06-13T07:00,,42.9,22,0.121,0.133
1986-06-13T08:00,,43.4,21,0.121,0.133
1986-06-13T09:00,,43.7,20,0.121,0.133
1986-06-13T10:00,,43.4,20,0.121,0.133
1986-06-13T11:00,,43.1,20,0.121,0.133
1986-06-13T12:00,,42.3,21,0.121,0.133
1986-06-13T13:00,,41.0,23,0.121,0.133
1986-06-13T14:00,,39.7,26,0.121,0.133
1986-06-13T15:00,,38.4,28,0.121,0.133
1986-06-13T16:00,,37.2,29,0.121,0.133
1986-06-13T17:00,,36.5,31,0.121,0.133
1986-06-13T18:00,,35.9,32,0.121,0.133
1986-06-13T19:00,,35.0,33,0.121,0.133
1986-06-13T20:00,,34.1,36,0.121,0.133
1986-06-13T21:00,,33.4,38,0.121,0.133
1986-06-13T22:00,,32.9,39,0.121,0.133
1986-06-13T23:00,,32.5,39,0.121,0.133
1986-06-14T00:00,,32.4,39,0.121,0.133
1986-06-14T01:00,,33.2,38,0.121,0.133
1986-06-14T02:00,,35.5,33,0.121,0.133
1986-06-14T03:00,,37.7,30,0.121,0.133
1986-06-14T04:00,,39.6,28,0.121,0.133
1986-06-14T05:00,,41.0,26,0.121,0.133
1986-06-14T06:00,,42.1,25,0.122,0.133
1986-06-14T07:00,,41.0,28,0.122,0.133
1986-06-14T08:00,,41.5,27,0.122,0.133
1986-06-14T09:00,,41.8,27,0.122,0.133
1986-06-14T10:00,,41.9,27,0.122,0.133
1986-06-14T11:00,,41.6,27,0.122,0.133
1986-06-14T12:00,,39.8,30,0.123,0.133
1986-06-14T13:00,,38.9,32,0.123,0.133
1986-06-14T14:00,,37.9,34,0.123,0.133
1986-06-14T15:00,,36.9,36,0.123,0.133
1986-06-14T16:00,,35.8,40,0.123,0.133
1986-06-14T17:00,,35.0,41,0.123,0.133
1986-06-14T18:00,,34.5,42,0.123,0.133
1986-06-14T19:00,,33.4,46,0.123,0.133
1986-06-14T20:00,,32.8,48,0.123,0.133
1986-06-14T21:00,,32.4,48,0.123,0.133
1986-06-14T22:00,,32.3,49,0.123,0.133
1986-06-14T23:00,,31.8,51,0.123,0.133
1986-06-15T00:00,,31.4,52,0.123,0.133
1986-06-15T01:00,,32.0,52,0.123,0.133
1986-06-15T02:00,,34.0,45,0.123,0.133
1986-06-15T03:00,,36.1,39,0.123,0.133
1986-06-15T04:00,,37.8,36,0.123,0.133
1986-06-15T05:00,,39.3,33,0.122,0.133
1986-06-15T06:00,,40.6,30,0.122,0.133
1986-06-15T07:00,,41.7,27,0.122,0.133
1986-06-15T08:00,,42.5,24,0.122,0.133
1986-06-15T09:00,,42.8,22,0.122,0.133
1986-06-15T10:00,,42.7,21,0.122,0.133
1986-06-15T11:00,,42.3,20,0.122,0.133
1986-06-15T12:00,,41.9,20,0.122,0.133
1986-06-15T13:00,,40.5,24,0.122,0.133
1986-06-15T14:00,,39.1,27,0.122,0.133
1986-06-15T15:00,,37.7,30,0.122,0.133
1986-06-15T16:00,,36.4,33,0.122,0.133
1986-06-15T17:00,,35.4,35,0.122,0.133
1986-06-15T18:00,,34.3,37,0.122,0.133
1986-06-15T19:00,,34.1,39,0.122,0.133
1986-06-15T20:00,,33.4,41,0.122,0.133
1986-06-15T21:00,,32.9,43,0.122,0.133
1986-06-15T22:00,,32.3,46,0.122,0.133
1986-06-15T23:00,,31.9,50,0.122,0.133
