time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,33.6,38,0.134,0.15
1986-06-13T01:00,,34.0,38,0.134,0.15
1986-06-13T02:00,,35.5,36,0.134,0.15
1986-06-13T03:00,,37.2,34,0.134,0.15
1986-06-13T04:00,,39.0,31,0.134,0.15
1986-06-13T05:00,,40.7,26,0.134,0.15
1986-06-13T06:00,,41.8,23,0.134,0.15
1986-06-13T07:00,,42.6,22,0.134,0.15
1986-06-13T08:00,,42.8,21,0.134,0.15
1986-06-13T09:00,,43.4,20,0.134,0.15
1986-06-13T10:00,,43.2,19,0.134,0.15
1986-06-13T11:00,,42.8,20,0.134,0.15
1986-06-13T12:00,,41.7,21,0.134,0.15
1986-06-13T13:00,,40.6,22,0.134,0.15
1986-06-13T14:00,,39.2,24,0.134,0.15
1986-06-13T15:00,,37.9,26,0.134,0.15
1986-06-13T16:00,,36.8,28,0.134,0.15
1986-06-13T17:00,,36.1,31,0.134,0.15
1986-06-13T18:00,,35.5,32,0.134,0.15
1986-06-13T19:00,,34.6,33,0.135,0.15
1986-06-13T20:00,,33.6,37,0.135,0.15
1986-06-13T21:00,,33.0,39,0.135,0.15
1986-06-13T22:00,,32.7,39,0.136,0.15
1986-06-13T23:00,,32.6,39,0.136,0.15
1986-06-14T00:00,,32.7,38,0.136,0.15
1986-06-14T01:00,,33.4,37,0.136,0.15
1986-06-14T02:00,,35.1,34,0.135,0.15
1986-06-14T03:00,,36.8,32,0.135,0.15
1986-06-14T04:00,,38.4,30,0.135,0.15
1986-06-14T05:00,,40.0,28,0.135,0.15
1986-06-14T06:00,,41.4,26,0.135,0.15
1986-06-14T07:00,,40.6,27,0.136,0.15
1986-06-14T08:00,,41.3,26,0.136,0.15
1986-06-14T09:00,,41.7,25,0.136,0.15
1986-06-14T10:00,,41.8,25,0.136,0.15
1986-06-14T11:00,,41.4,25,0.136,0.15
1986-06-14T12:00,,39.7,27,0.136,0.15
1986-06-14T13:00,,38.8,29,0.136,0.15
1986-06-14T14:00,,37.7,32,0.136,0.15
1986-06-14T15:00,,36.6,34,0.136,0.15
1986-06-14T16:00,,36.1,36,0.136,0.15
1986-06-14T17:00,,34.8,39,0.136,0.15
1986-06-14T18:00,,34.3,40,0.136,0.15
1986-06-14T19:00,,33.2,44,0.136,0.15
1986-06-14T20:00,,32.8,44,0.136,0.15
1986-06-14T21:00,,32.5,45,0.136,0.15
1986-06-14T22:00,,32.3,46,0.136,0.15
1986-06-14T23:00,,31.9,47,0.136,0.15
1986-06-15T00:00,,31.7,48,0.136,0.15
1986-06-15T01:00,,32.2,48,0.136,0.15
1986-06-15T02:00,,34.0,43,0.136,0.15
1986-06-15T03:00,,36.1,39,0.135,0.15
1986-06-15T04:00,,37.9,35,0.135,0.15
1986-06-15T05:00,,39.6,31,0.135,0.15
1986-06-15T06:00,,40.9,27,0.135,0.15
1986-06-15T07:00,,41.6,24,0.135,0.15
1986-06-15T08:00,,42.2,21,0.135,0.15
1986-06-15T09:00,,42.6,20,0.135,0.15
1986-06-15T10:00,,42.6,19,0.135,0.15
1986-06-15T11:00,,42.4,19,0.135,0.15
1986-06-15T12:00,,41.8,19,0.135,0.15
1986-06-15T13:00,,40.4,22,0.135,0.15
1986-06-15T14:00,,39.0,24,0.135,0.15
1986-06-15T15:00,,37.7,27,0.135,0.15
1986-06-15T16:00,,36.3,31,0.135,0.15
1986-06-15T17:00,,35.8,32,0.135,0.15
1986-06-15T18:00,,34.9,34,0.135,0.15
1986-06-15T19:00,,33.0,38,0.135,0.15
1986-06-15T20:00,,32.3,40,0.135,0.15
1986-06-15T21:00,,32.0,41,0.135,0.15
1986-06-15T22:00,,31.3,43,0.135,0.15
1986-06-15T23:00,,31.1,45,0.135,0.15
