time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.8,39,0.235,0.276
1986-06-13T01:00,,30.3,41,0.235,0.276
1986-06-13T02:00,,33.1,33,0.235,0.276
1986-06-13T03:00,,35.8,26,0.235,0.276
1986-06-13T04:00,,38.5,23,0.235,0.276
1986-06-13T05:00,,40.4,21,0.235,0.276
1986-06-13T06:00,,41.3,20,0.235,0.276
1986-06-13T07:00,,41.8,18,0.235,0.276
1986-06-13T08:00,,42.2,18,0.235,0.276
1986-06-13T09:00,,42.6,17,0.235,0.276
1986-06-13T10:00,,42.3,17,0.235,0.276
1986-06-13T11:00,,41.7,17,0.235,0.276
1986-06-13T12:00,,40.6,19,0.235,0.276
1986-06-13T13:00,,39.2,21,0.235,0.276
1986-06-13T14:00,,37.5,23,0.235,0.276
1986-06-13T15:00,,35.9,26,0.235,0.276
1986-06-13T16:00,,34.2,31,0.235,0.276
1986-06-13T17:00,,33.3,32,0.235,0.276
1986-06-13T18:00,,31.9,36,0.235,0.276
1986-06-13T19:00,,31.3,41,0.235,0.276
1986-06-13T20:00,,30.8,43,0.235,0.276
1986-06-13T21:00,,30.3,45,0.235,0.276
1986-06-13T22:00,,29.8,45,0.235,0.276
1986-06-13T23:00,,29.8,44,0.235,0.276
1986-06-14T00:00,,29.5,45,0.235,0.276
1986-06-14T01:00,,30.3,46,0.235,0.276
1986-06-14T02:00,,32.5,44,0.235,0.276
1986-06-14T03:00,,34.3,40,0.235,0.276
1986-06-14T04:00,,36.8,34,0.235,0.276
1986-06-14T05:00,,39.0,29,0.235,0.276
1986-06-14T06:00,,40.5,25,0.235,0.276
1986-06-14T07:00,,40.4,26,0.235,0.276
1986-06-14T08:00,,41.2,23,0.235,0.276
1986-06-14T09:00,,41.3,22,0.236,0.276
1986-06-14T10:00,,40.7,23,0.236,0.276
1986-06-14T11:00,,39.8,24,0.238,0.276
1986-06-14T12:00,,38.0,28,0.238,0.276
1986-06-14T13:00,,36.5,32,0.238,0.276
1986-06-14T14:00,,35.4,36,0.238,0.276
1986-06-14T15:00,,34.5,38,0.238,0.276
1986-06-14T16:00,,33.6,43,0.238,0.276
1986-06-14T17:00,,32.8,46,0.238,0.276
1986-06-14T18:00,,32.1,48,0.237,0.276
1986-06-14T19:00,,31.2,51,0.237,0.276
1986-06-14T20:00,,30.4,54,0.237,0.276
1986-06-14T21:00,,29.7,58,0.237,0.276
1986-06-14T22:00,,29.3,60,0.237,0.276
1986-06-14T23:00,,28.8,62,0.237,0.276
1986-06-15T00:00,,28.5,63,0.237,0.276
1986-06-15T01:00,,29.5,60,0.237,0.276
1986-06-15T02:00,,31.4,53,0.237,0.276
1986-06-15T03:00,,33.0,48,0.237,0.276
1986-06-15T04:00,,34.7,43,0.237,0.276
1986-06-15T05:00,,36.5,38,0.237,0.276
1986-06-15T06:00,,37.8,35,0.237,0.276
1986-06-15T07:00,,38.6,33,0.237,0.276
1986-06-15T08:00,,39.2,31,0.237,0.276
1986-06-15T09:00,,39.5,31,0.237,0.276
1986-06-15T10:00,,39.4,31,0.236,0.276
1986-06-15T11:00,,38.8,32,0.237,0.276
1986-06-15T12:00,,37.9,33,0.237,0.276
1986-06-15T13:00,,36.7,36,0.237,0.276
1986-06-15T14:00,,35.5,40,0.237,0.276
1986-06-15T15:00,,34.4,43,0.237,0.276
1986-06-15T16:00,,33.5,46,0.237,0.276
1986-06-15T17:00,,32.7,48,0.237,0.276
1986-06-15T18:00,,32.1,49,0.237,0.276
1986-06-15T19:00,,31.7,50,0.237,0.276
1986-06-15T20:00,,31.2,52,0.237,0.276
1986-06-15T21:00,,30.7,54,0.237,0.276
1986-06-15T22:00,,30.3,55,0.236,0.276
1986-06-15T23:00,,29.8,57,0.236,0.276
