time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,33.4,39,0.137,0.151
1986-06-13T01:00,,33.7,40,0.137,0.151
1986-06-13T02:00,,35.3,38,0.137,0.151
1986-06-13T03:00,,37.1,35,0.137,0.151
1986-06-13T04:00,,38.9,32,0.137,0.151
1986-06-13T05:00,,40.6,28,0.137,0.151
1986-06-13T06:00,,41.9,25,0.137,0.151
1986-06-13T07:00,,42.7,23,0.137,0.151
1986-06-13T08:00,,43.1,22,0.137,0.151
1986-06-13T09:00,,43.4,21,0.137,0.151
1986-06-13T10:00,,43.2,21,0.137,0.151
1986-06-13T11:00,,42.8,21,0.137,0.151
1986-06-13T12:00,,42.0,22,0.137,0.151
1986-06-13T13:00,,40.8,24,0.137,0.151
1986-06-13T14:00,,38.8,27,0.137,0.151
1986-06-13T15:00,,37.6,29,0.137,0.151
1986-06-13T16:00,,36.6,31,0.137,0.151
1986-06-13T17:00,,35.8,33,0.137,0.151
1986-06-13T18:00,,35.7,33,0.137,0.151
1986-06-13T19:00,,34.0,35,0.137,0.151
1986-06-13T20:00,,33.5,38,0.138,0.151
1986-06-13T21:00,,32.7,42,0.139,0.151
1986-06-13T22:00,,32.5,43,0.139,0.151
1986-06-13T23:00,,32.4,42,0.139,0.151
1986-06-14T00:00,,32.2,41,0.139,0.151
1986-06-14T01:00,,32.6,41,0.139,0.151
1986-06-14T02:00,,34.4,38,0.139,0.151
1986-06-14T03:00,,36.2,35,0.139,0.151
1986-06-14T04:00,,38.1,32,0.139,0.151
1986-06-14T05:00,,39.9,30,0.139,0.151
1986-06-14T06:00,,41.4,27,0.139,0.151
1986-06-14T07:00,,40.3,28,0.139,0.151
1986-06-14T08:00,,41.1,27,0.139,0.15
1986-06-14T09:00,,41.6,26,0.139,0.15
1986-06-14T10:00,,41.5,26,0.139,0.15
1986-06-14T11:00,,40.9,26,0.139,0.15
1986-06-14T12:00,,40.3,27,0.139,0.15
1986-06-14T13:00,,39.6,29,0.139,0.15
1986-06-14T14:00,,38.6,31,0.139,0.15
1986-06-14T15:00,,37.2,35,0.139,0.15
1986-06-14T16:00,,36.2,38,0.139,0.15
1986-06-14T17:00,,35.4,39,0.139,0.15
1986-06-14T18:00,,34.7,40,0.139,0.15
1986-06-14T19:00,,33.6,45,0.139,0.15
1986-06-14T20:00,,33.3,45,0.139,0.15
1986-06-14T21:00,,32.9,46,0.139,0.15
1986-06-14T22:00,,32.6,46,0.139,0.15
1986-06-14T23:00,,32.3,47,0.139,0.15
1986-06-15T00:00,,31.9,48,0.139,0.15
1986-06-15T01:00,,32.1,49,0.139,0.15
1986-06-15T02:00,,34.1,44,0.139,0.15
1986-06-15T03:00,,36.0,39,0.139,0.15
1986-06-15T04:00,,37.7,35,0.139,0.15
1986-06-15T05:00,,39.4,31,0.138,0.15
1986-06-15T06:00,,40.7,27,0.138,0.15
1986-06-15T07:00,,41.3,24,0.138,0.15
1986-06-15T08:00,,42.1,22,0.138,0.15
1986-06-15T09:00,,42.9,20,0.138,0.15
1986-06-15T10:00,,43.0,19,0.138,0.15
1986-06-15T11:00,,42.8,19,0.138,0.15
1986-06-15T12:00,,41.9,20,0.138,0.15
1986-06-15T13:00,,40.4,24,0.138,0.15
1986-06-15T14:00,,39.0,27,0.138,0.15
1986-06-15T15:00,,37.8,29,0.138,0.15
1986-06-15T16:00,,36.3,34,0.138,0.15
1986-06-15T17:00,,36.4,33,0.138,0.15
1986-06-15T18:00,,35.6,34,0.138,0.15
1986-06-15T19:00,,32.9,41,0.138,0.15
1986-06-15T20:00,,32.1,43,0.138,0.15
1986-06-15T21:00,,31.8,44,0.138,0.15
1986-06-15T22:00,,31.5,45,0.138,0.15
1986-06-15T23:00,,31.3,47,0.138,0.15
