time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,33.0,35,0.116,0.133
1986-06-13T01:00,,33.6,37,0.116,0.133
1986-06-13T02:00,,35.5,36,0.116,0.133
1986-06-13T03:00,,37.5,33,0.116,0.133
1986-06-13T04:00,,39.4,30,0.116,0.133
1986-06-13T05:00,,41.2,25,0.116,0.133
1986-06-13T06:00,,42.1,21,0.116,0.133
1986-06-13T07:00,,42.5,21,0.116,0.133
1986-06-13T08:00,,43.1,20,0.116,0.133
1986-06-13T09:00,,43.4,19,0.116,0.133
1986-06-13T10:00,,43.4,19,0.116,0.133
1986-06-13T11:00,,42.9,19,0.116,0.133
1986-06-13T12:00,,42.1,20,0.116,0.133
1986-06-13T13:00,,40.9,22,0.116,0.133
1986-06-13T14:00,,39.2,24,0.116,0.133
1986-06-13T15:00,,37.9,26,0.116,0.133
1986-06-13T16:00,,36.8,29,0.116,0.133
1986-06-13T17:00,,35.6,32,0.116,0.133
1986-06-13T18:00,,34.6,34,0.116,0.133
1986-06-13T19:00,,33.5,35,0.116,0.133
1986-06-13T20:00,,32.6,38,0.116,0.133
1986-06-13T21:00,,31.8,40,0.116,0.133
1986-06-13T22:00,,31.5,41,0.116,0.133
1986-06-13T23:00,,31.3,42,0.116,0.133
1986-06-14T00:00,,31.3,41,0.116,0.133
1986-06-14T01:00,,32.3,39,0.116,0.133
1986-06-14T02:00,,35.3,33,0.116,0.133
1986-06-14T03:00,,37.7,29,0.116,0.133
1986-06-14T04:00,,39.5,27,0.116,0.133
1986-06-14T05:00,,41.0,25,0.116,0.133
1986-06-14T06:00,,42.0,24,0.116,0.133
1986-06-14T07:00,,41.1,26,0.117,0.133
1986-06-14T08:00,,41.6,25,0.117,0.133
1986-06-14T09:00,,41.8,25,0.117,0.133
1986-06-14T10:00,,41.8,26,0.117,0.133
1986-06-14T11:00,,41.4,26,0.117,0.133
1986-06-14T12:00,,40.7,27,0.117,0.133
1986-06-14T13:00,,39.4,29,0.117,0.133
1986-06-14T14:00,,37.9,32,0.117,0.133
1986-06-14T15:00,,36.8,35,0.117,0.133
1986-06-14T16:00,,36.1,37,0.117,0.133
1986-06-14T17:00,,35.3,39,0.117,0.133
1986-06-14T18:00,,34.6,40,0.117,0.133
1986-06-14T19:00,,33.4,45,0.117,0.133
1986-06-14T20:00,,32.6,47,0.117,0.133
1986-06-14T21:00,,32.1,49,0.117,0.133
1986-06-14T22:00,,31.8,51,0.117,0.133
1986-06-14T23:00,,31.4,52,0.117,0.133
1986-06-15T00:00,,31.4,52,0.117,0.133
1986-06-15T01:00,,32.1,50,0.117,0.133
1986-06-15T02:00,,33.9,45,0.117,0.133
1986-06-15T03:00,,36.1,40,0.117,0.133
1986-06-15T04:00,,38.1,35,0.117,0.133
1986-06-15T05:00,,39.8,31,0.117,0.133
1986-06-15T06:00,,40.9,28,0.117,0.133
1986-06-15T07:00,,41.7,25,0.117,0.133
1986-06-15T08:00,,42.4,24,0.117,0.133
1986-06-15T09:00,,42.8,22,0.117,0.133
1986-06-15T10:00,,42.7,22,0.117,0.133
1986-06-15T11:00,,42.2,21,0.117,0.133
1986-06-15T12:00,,41.4,21,0.117,0.133
1986-06-15T13:00,,40.3,24,0.117,0.133
1986-06-15T14:00,,38.9,26,0.117,0.133
1986-06-15T15:00,,37.3,29,0.117,0.133
1986-06-15T16:00,,36.0,32,0.117,0.133
1986-06-15T17:00,,34.9,35,0.117,0.133
1986-06-15T18:00,,33.9,37,0.117,0.133
1986-06-15T19:00,,32.9,40,0.117,0.133
1986-06-15T20:00,,32.2,43,0.117,0.133
1986-06-15T21:00,,31.8,44,0.117,0.133
1986-06-15T22:00,,31.2,46,0.117,0.133
1986-06-15T23:00,,30.8,48,0.117,0.133
