time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,30.1,38,0.121,0.133
1986-06-13T01:00,,30.1,45,0.121,0.133
1986-06-13T02:00,,34.2,30,0.121,0.133
1986-06-13T03:00,,37.3,25,0.121,0.133
1986-06-13T04:00,,39.3,24,0.121,0.133
1986-06-13T05:00,,40.5,23,0.121,0.133
1986-06-13T06:00,,41.4,22,0.121,0.133
1986-06-13T07:00,,42.2,19,0.121,0.133
1986-06-13T08:00,,42.8,18,0.121,0.133
1986-06-13T09:00,,43.0,18,0.121,0.133
1986-06-13T10:00,,42.8,17,0.121,0.133
1986-06-13T11:00,,42.4,18,0.121,0.133
1986-06-13T12:00,,41.5,19,0.121,0.133
1986-06-13T13:00,,40.0,21,0.121,0.133
1986-06-13T14:00,,38.4,23,0.121,0.133
1986-06-13T15:00,,36.7,28,0.121,0.133
1986-06-13T16:00,,36.5,27,0.121,0.133
1986-06-13T17:00,,35.6,29,0.121,0.133
1986-06-13T18:00,,32.8,35,0.121,0.133
1986-06-13T19:00,,32.2,43,0.121,0.133
1986-06-13T20:00,,31.7,45,0.121,0.133
1986-06-13T21:00,,31.3,47,0.121,0.133
1986-06-13T22:00,,30.8,49,0.121,0.133
1986-06-13T23:00,,30.5,49,0.121,0.133
1986-06-14T00:00,,29.9,49,0.121,0.133
1986-06-14T01:00,,30.6,47,0.121,0.133
1986-06-14T02:00,,33.6,37,0.121,0.133
1986-06-14T03:00,,36.3,32,0.121,0.133
1986-06-14T04:00,,39.0,27,0.121,0.133
1986-06-14T05:00,,41.0,23,0.121,0.133
1986-06-14T06:00,,41.9,22,0.121,0.133
1986-06-14T07:00,,41.4,23,0.121,0.133
1986-06-14T08:00,,41.4,24,0.121,0.133
1986-06-14T09:00,,41.8,24,0.121,0.133
1986-06-14T10:00,,41.3,25,0.132,0.133
1986-06-14T11:00,,39.1,30,0.133,0.133
1986-06-14T12:00,,38.3,32,0.133,0.133
1986-06-14T13:00,,37.4,35,0.133,0.133
1986-06-14T14:00,,36.3,38,0.133,0.133
1986-06-14T15:00,,35.4,41,0.133,0.133
1986-06-14T16:00,,34.3,45,0.133,0.133
1986-06-14T17:00,,33.3,47,0.132,0.133
1986-06-14T18:00,,32.6,50,0.132,0.133
1986-06-14T19:00,,31.6,52,0.132,0.133
1986-06-14T20:00,,30.8,55,0.132,0.133
1986-06-14T21:00,,30.3,58,0.132,0.133
1986-06-14T22:00,,30.0,59,0.132,0.133
1986-06-14T23:00,,29.7,61,0.132,0.133
1986-06-15T00:00,,29.3,63,0.132,0.133
1986-06-15T01:00,,30.4,60,0.132,0.133
1986-06-15T02:00,,32.9,49,0.132,0.133
1986-06-15T03:00,,34.6,44,0.132,0.133
1986-06-15T04:00,,36.3,39,0.132,0.133
1986-06-15T05:00,,37.9,35,0.131,0.133
1986-06-15T06:00,,38.8,34,0.131,0.133
1986-06-15T07:00,,39.2,31,0.131,0.133
1986-06-15T08:00,,40.1,30,0.131,0.133
1986-06-15T09:00,,40.4,29,0.13,0.133
1986-06-15T10:00,,40.7,28,0.13,0.133
1986-06-15T11:00,,40.3,27,0.13,0.133
1986-06-15T12:00,,39.5,28,0.13,0.133
1986-06-15T13:00,,38.2,32,0.13,0.133
1986-06-15T14:00,,36.5,37,0.129,0.133
1986-06-15T15:00,,35.4,41,0.129,0.133
1986-06-15T16:00,,34.6,44,0.129,0.133
1986-06-15T17:00,,33.8,48,0.129,0.133
1986-06-15T18:00,,33.1,50,0.129,0.133
1986-06-15T19:00,,32.5,48,0.129,0.133
1986-06-15T20:00,,31.9,50,0.129,0.133
1986-06-15T21:00,,31.5,51,0.129,0.133
1986-06-15T22:00,,31.0,53,0.129,0.133
1986-06-15T23:00,,30.5,56,0.129,0.133
