time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.8,65,0.121,0.133
1986-06-13T01:00,,30.8,62,0.121,0.133
1986-06-13T02:00,,32.6,56,0.121,0.133
1986-06-13T03:00,,34.5,50,0.121,0.133
1986-06-13T04:00,,36.4,43,0.121,0.133
1986-06-13T05:00,,38.4,37,0.121,0.133
1986-06-13T06:00,,39.6,35,0.121,0.133
1986-06-13T07:00,,40.1,32,0.121,0.133
1986-06-13T08:00,,40.6,30,0.121,0.133
1986-06-13T09:00,,40.8,29,0.121,0.133
1986-06-13T10:00,,40.9,28,0.121,0.133
1986-06-13T11:00,,40.2,29,0.122,0.133
1986-06-13T12:00,,38.2,33,0.123,0.133
1986-06-13T13:00,,37.3,35,0.123,0.133
1986-06-13T14:00,,36.2,39,0.123,0.133
1986-06-13T15:00,,35.5,41,0.123,0.133
1986-06-13T16:00,,34.7,44,0.123,0.133
1986-06-13T17:00,,34.0,46,0.123,0.133
1986-06-13T18:00,,33.2,50,0.123,0.133
1986-06-13T19:00,,31.7,55,0.123,0.133
1986-06-13T20:00,,31.1,58,0.123,0.133
1986-06-13T21:00,,30.6,61,0.123,0.133
1986-06-13T22:00,,30.2,63,0.123,0.133
1986-06-13T23:00,,29.8,66,0.123,0.133
1986-06-14T00:00,,29.4,67,0.123,0.133
1986-06-14T01:00,,30.4,64,0.123,0.133
1986-06-14T02:00,,32.5,55,0.123,0.133
1986-06-14T03:00,,34.5,47,0.123,0.133
1986-06-14T04:00,,36.5,40,0.123,0.133
1986-06-14T05:00,,38.0,36,0.123,0.133
1986-06-14T06:00,,39.3,33,0.123,0.133
1986-06-14T07:00,,38.6,37,0.124,0.133
1986-06-14T08:00,,39.1,36,0.124,0.133
1986-06-14T09:00,,38.6,37,0.124,0.133
1986-06-14T10:00,,37.6,40,0.128,0.133
1986-06-14T11:00,,38.0,39,0.128,0.133
1986-06-14T12:00,,37.6,39,0.128,0.133
1986-06-14T13:00,,35.8,44,0.138,0.133
1986-06-14T14:00,,34.9,49,0.138,0.133
1986-06-14T15:00,,34.4,51,0.138,0.133
1986-06-14T16:00,,33.9,53,0.138,0.133
1986-06-14T17:00,,33.3,54,0.138,0.133
1986-06-14T18:00,,32.7,56,0.138,0.133
1986-06-14T19:00,,31.6,58,0.138,0.133
1986-06-14T20:00,,31.1,59,0.138,0.133
1986-06-14T21:00,,30.6,60,0.138,0.133
1986-06-14T22:00,,30.4,60,0.138,0.133
1986-06-14T23:00,,30.0,61,0.138,0.133
1986-06-15T00:00,,29.6,62,0.138,0.133
1986-06-15T01:00,,30.4,60,0.137,0.133
1986-06-15T02:00,,32.2,54,0.137,0.133
1986-06-15T03:00,,34.2,49,0.137,0.133
1986-06-15T04:00,,35.9,44,0.137,0.133
1986-06-15T05:00,,36.0,44,0.137,0.133
1986-06-15T06:00,,36.0,46,0.139,0.133
1986-06-15T07:00,,37.7,40,0.138,0.133
1986-06-15T08:00,,38.0,39,0.138,0.133
1986-06-15T09:00,,38.1,38,0.137,0.133
1986-06-15T10:00,,37.7,39,0.137,0.133
1986-06-15T11:00,,36.9,41,0.138,0.133
1986-06-15T12:00,,36.2,43,0.138,0.133
1986-06-15T13:00,,35.6,45,0.138,0.133
1986-06-15T14:00,,34.5,49,0.138,0.133
1986-06-15T15:00,,33.6,52,0.138,0.133
1986-06-15T16:00,,32.9,55,0.138,0.133
1986-06-15T17:00,,32.3,57,0.138,0.133
1986-06-15T18:00,,31.9,59,0.138,0.133
1986-06-15T19:00,,31.7,59,0.138,0.133
1986-06-15T20:00,,31.2,60,0.137,0.133
1986-06-15T21:00,,30.6,62,0.137,0.133
1986-06-15T22:00,,30.1,64,0.137,0.133
1986-06-15T23:00,,29.7,66,0.137,0.133
