time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.7,30,0.243,0.277
1986-06-13T01:00,,32.0,33,0.243,0.277
1986-06-13T02:00,,33.4,34,0.243,0.277
1986-06-13T03:00,,35.2,34,0.243,0.277
1986-06-13T04:00,,37.1,31,0.243,0.277
1986-06-13T05:00,,39.0,26,0.243,0.277
1986-06-13T06:00,,40.1,23,0.243,0.277
1986-06-13T07:00,,40.3,22,0.243,0.277
1986-06-13T08:00,,41.1,21,0.243,0.277
1986-06-13T09:00,,41.3,20,0.243,0.277
1986-06-13T10:00,,41.2,20,0.243,0.277
1986-06-13T11:00,,40.6,19,0.243,0.277
1986-06-13T12:00,,39.3,20,0.243,0.277
1986-06-13T13:00,,38.4,21,0.243,0.277
1986-06-13T14:00,,36.9,24,0.243,0.277
1986-06-13T15:00,,35.5,26,0.243,0.277
1986-06-13T16:00,,34.2,29,0.243,0.277
1986-06-13T17:00,,33.1,31,0.243,0.277
1986-06-13T18:00,,32.3,33,0.243,0.277
1986-06-13T19:00,,31.9,36,0.243,0.277
1986-06-13T20:00,,31.8,39,0.243,0.277
1986-06-13T21:00,,31.2,43,0.243,0.277
1986-06-13T22:00,,30.8,45,0.243,0.277
1986-06-13T23:00,,30.6,46,0.243,0.277
1986-06-14T00:00,,30.4,46,0.243,0.277
1986-06-14T01:00,,30.7,46,0.243,0.277
1986-06-14T02:00,,32.6,40,0.243,0.277
1986-06-14T03:00,,34.8,33,0.243,0.277
1986-06-14T04:00,,37.0,28,0.243,0.277
1986-06-14T05:00,,39.0,25,0.243,0.277
1986-06-14T06:00,,40.3,22,0.244,0.277
1986-06-14T07:00,,40.3,23,0.244,0.277
1986-06-14T08:00,,40.6,23,0.244,0.277
1986-06-14T09:00,,39.8,25,0.247,0.277
1986-06-14T10:00,,39.3,26,0.248,0.277
1986-06-14T11:00,,38.9,26,0.248,0.277
1986-06-14T12:00,,38.0,27,0.248,0.277
1986-06-14T13:00,,35.5,33,0.249,0.277
1986-06-14T14:00,,34.9,35,0.249,0.277
1986-06-14T15:00,,34.1,38,0.249,0.277
1986-06-14T16:00,,33.2,41,0.249,0.277
1986-06-14T17:00,,32.3,45,0.249,0.277
1986-06-14T18:00,,31.5,46,0.249,0.277
1986-06-14T19:00,,30.4,54,0.249,0.277
1986-06-14T20:00,,30.1,55,0.249,0.277
1986-06-14T21:00,,29.8,56,0.249,0.277
1986-06-14T22:00,,29.5,57,0.249,0.277
1986-06-14T23:00,,28.8,60,0.25,0.277
1986-06-15T00:00,,27.3,69,0.253,0.277
1986-06-15T01:00,,27.5,69,0.253,0.277
1986-06-15T02:00,,29.1,62,0.253,0.277
1986-06-15T03:00,,31.6,51,0.253,0.277
1986-06-15T04:00,,34.2,42,0.253,0.277
1986-06-15T05:00,,36.2,36,0.252,0.277
1986-06-15T06:00,,37.6,33,0.252,0.277
1986-06-15T07:00,,38.7,29,0.252,0.277
1986-06-15T08:00,,39.5,27,0.251,0.277
1986-06-15T09:00,,40.0,27,0.251,0.277
1986-06-15T10:00,,40.1,26,0.25,0.277
1986-06-15T11:00,,39.6,26,0.25,0.277
1986-06-15T12:00,,38.9,26,0.25,0.277
1986-06-15T13:00,,37.9,28,0.25,0.277
1986-06-15T14:00,,35.2,35,0.262,0.277
1986-06-15T15:00,,34.1,39,0.263,0.277
1986-06-15T16:00,,33.2,42,0.263,0.277
1986-06-15T17:00,,32.0,46,0.263,0.277
1986-06-15T18:00,,31.6,47,0.263,0.277
1986-06-15T19:00,,31.4,44,0.263,0.277
1986-06-15T20:00,,31.0,46,0.263,0.277
1986-06-15T21:00,,30.5,47,0.263,0.277
1986-06-15T22:00,,30.0,48,0.262,0.277
1986-06-15T23:00,,29.6,49,0.262,0.277
