time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.4,52,0.121,0.133
1986-06-13T01:00,,30.5,53,0.121,0.133
1986-06-13T02:00,,33.8,39,0.121,0.133
1986-06-13T03:00,,36.9,29,0.121,0.133
1986-06-13T04:00,,39.2,24,0.121,0.133
1986-06-13T05:00,,40.8,22,0.121,0.133
1986-06-13T06:00,,41.7,21,0.121,0.133
1986-06-13T07:00,,41.7,21,0.121,0.133
1986-06-13T08:00,,42.0,20,0.121,0.133
1986-06-13T09:00,,42.4,20,0.121,0.133
1986-06-13T10:00,,42.3,19,0.121,0.133
1986-06-13T11:00,,41.6,19,0.121,0.133
1986-06-13T12:00,,40.3,21,0.121,0.133
1986-06-13T13:00,,38.8,25,0.121,0.133
1986-06-13T14:00,,37.0,29,0.121,0.133
1986-06-13T15:00,,35.8,33,0.121,0.133
1986-06-13T16:00,,34.8,38,0.121,0.133
1986-06-13T17:00,,33.9,41,0.121,0.133
1986-06-13T18:00,,33.2,44,0.121,0.133
1986-06-13T19:00,,32.0,48,0.121,0.133
1986-06-13T20:00,,31.5,50,0.121,0.133
1986-06-13T21:00,,31.0,52,0.121,0.133
1986-06-13T22:00,,30.6,54,0.121,0.133
1986-06-13T23:00,,30.1,56,0.121,0.133
1986-06-14T00:00,,29.7,57,0.121,0.133
1986-06-14T01:00,,30.7,54,0.121,0.133
1986-06-14T02:00,,33.1,45,0.121,0.133
1986-06-14T03:00,,35.6,37,0.121,0.133
1986-06-14T04:00,,37.8,32,0.121,0.133
1986-06-14T05:00,,40.0,26,0.121,0.133
1986-06-14T06:00,,41.3,24,0.121,0.133
1986-06-14T07:00,,40.4,25,0.121,0.133
1986-06-14T08:00,,41.1,24,0.121,0.133
1986-06-14T09:00,,41.5,24,0.121,0.133
1986-06-14T10:00,,40.8,26,0.127,0.133
1986-06-14T11:00,,37.9,33,0.131,0.133
1986-06-14T12:00,,37.6,34,0.131,0.133
1986-06-14T13:00,,36.3,38,0.131,0.133
1986-06-14T14:00,,35.3,41,0.131,0.133
1986-06-14T15:00,,34.5,44,0.131,0.133
1986-06-14T16:00,,33.9,47,0.131,0.133
1986-06-14T17:00,,32.8,51,0.131,0.133
1986-06-14T18:00,,32.1,54,0.131,0.133
1986-06-14T19:00,,31.4,56,0.131,0.133
1986-06-14T20:00,,31.0,58,0.131,0.133
1986-06-14T21:00,,30.6,60,0.131,0.133
1986-06-14T22:00,,30.2,62,0.131,0.133
1986-06-14T23:00,,29.8,65,0.131,0.133
1986-06-15T00:00,,29.4,67,0.13,0.133
1986-06-15T01:00,,30.3,65,0.13,0.133
1986-06-15T02:00,,32.6,56,0.13,0.133
1986-06-15T03:00,,34.9,47,0.13,0.133
1986-06-15T04:00,,36.4,41,0.13,0.133
1986-06-15T05:00,,37.3,38,0.13,0.133
1986-06-15T06:00,,38.0,37,0.13,0.133
1986-06-15T07:00,,38.4,37,0.13,0.133
1986-06-15T08:00,,38.5,37,0.13,0.133
1986-06-15T09:00,,38.8,36,0.13,0.133
1986-06-15T10:00,,39.0,36,0.129,0.133
1986-06-15T11:00,,38.1,37,0.129,0.133
1986-06-15T12:00,,37.5,38,0.129,0.133
1986-06-15T13:00,,36.4,42,0.129,0.133
1986-06-15T14:00,,35.0,46,0.129,0.133
1986-06-15T15:00,,33.9,49,0.129,0.133
1986-06-15T16:00,,33.2,51,0.129,0.133
1986-06-15T17:00,,32.7,52,0.129,0.133
1986-06-15T18:00,,32.3,54,0.129,0.133
1986-06-15T19:00,,32.2,55,0.129,0.133
1986-06-15T20:00,,31.7,57,0.129,0.133
1986-06-15T21:00,,31.3,58,0.129,0.133
1986-06-15T22:00,,30.9,60,0.129,0.133
1986-06-15T23:00,,30.4,61,0.129,0.133
