time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,28.3,42,0.218,0.274
1986-06-13T01:00,,29.7,44,0.218,0.274
1986-06-13T02:00,,33.3,32,0.218,0.274
1986-06-13T03:00,,36.0,27,0.218,0.274
1986-06-13T04:00,,38.4,24,0.218,0.274
1986-06-13T05:00,,40.3,21,0.218,0.274
1986-06-13T06:00,,41.3,19,0.218,0.274
1986-06-13T07:00,,41.3,20,0.218,0.274
1986-06-13T08:00,,41.6,19,0.218,0.274
1986-06-13T09:00,,41.7,19,0.218,0.274
1986-06-13T10:00,,41.4,19,0.218,0.274
1986-06-13T11:00,,40.8,20,0.218,0.274
1986-06-13T12:00,,39.3,22,0.218,0.274
1986-06-13T13:00,,38.1,25,0.218,0.274
1986-06-13T14:00,,36.7,28,0.218,0.274
1986-06-13T15:00,,35.5,32,0.218,0.274
1986-06-13T16:00,,34.4,36,0.218,0.274
1986-06-13T17:00,,33.5,39,0.218,0.274
1986-06-13T18:00,,32.7,42,0.218,0.274
1986-06-13T19:00,,31.2,51,0.218,0.274
1986-06-13T20:00,,30.7,52,0.218,0.274
1986-06-13T21:00,,30.2,52,0.218,0.274
1986-06-13T22:00,,29.7,53,0.218,0.274
1986-06-13T23:00,,29.3,53,0.218,0.274
1986-06-14T00:00,,28.9,54,0.218,0.274
1986-06-14T01:00,,29.7,53,0.218,0.274
1986-06-14T02:00,,32.2,44,0.218,0.274
1986-06-14T03:00,,34.4,37,0.218,0.274
1986-06-14T04:00,,36.2,33,0.218,0.274
1986-06-14T05:00,,38.2,29,0.218,0.274
1986-06-14T06:00,,39.6,25,0.218,0.274
1986-06-14T07:00,,39.3,25,0.218,0.274
1986-06-14T08:00,,39.7,24,0.218,0.274
1986-06-14T09:00,,40.3,23,0.218,0.274
1986-06-14T10:00,,40.1,23,0.218,0.274
1986-06-14T11:00,,38.9,25,0.218,0.274
1986-06-14T12:00,,38.0,28,0.218,0.274
1986-06-14T13:00,,36.4,33,0.218,0.274
1986-06-14T14:00,,35.0,39,0.218,0.274
1986-06-14T15:00,,34.0,43,0.218,0.274
1986-06-14T16:00,,33.4,46,0.218,0.274
1986-06-14T17:00,,32.8,48,0.218,0.274
1986-06-14T18:00,,32.1,50,0.218,0.274
1986-06-14T19:00,,30.8,52,0.218,0.274
1986-06-14T20:00,,30.3,54,0.218,0.274
1986-06-14T21:00,,29.9,55,0.218,0.274
1986-06-14T22:00,,29.6,56,0.218,0.274
1986-06-14T23:00,,29.2,57,0.218,0.274
1986-06-15T00:00,,28.9,58,0.218,0.274
1986-06-15T01:00,,29.6,58,0.218,0.274
1986-06-15T02:00,,31.7,51,0.218,0.274
1986-06-15T03:00,,33.7,44,0.218,0.274
1986-06-15T04:00,,35.5,38,0.218,0.274
1986-06-15T05:00,,36.5,35,0.218,0.274
1986-06-15T06:00,,37.0,34,0.218,0.274
1986-06-15T07:00,,37.8,33,0.218,0.274
1986-06-15T08:00,,37.8,34,0.218,0.274
1986-06-15T09:00,,38.3,33,0.218,0.274
1986-06-15T10:00,,37.9,35,0.218,0.274
1986-06-15T11:00,,35.5,40,0.222,0.274
1986-06-15T12:00,,34.7,43,0.222,0.274
1986-06-15T13:00,,34.4,45,0.222,0.274
1986-06-15T14:00,,33.6,47,0.222,0.274
1986-06-15T15:00,,32.8,50,0.222,0.274
1986-06-15T16:00,,32.1,53,0.222,0.274
1986-06-15T17:00,,31.6,54,0.222,0.274
1986-06-15T18:00,,31.0,56,0.222,0.274
1986-06-15T19:00,,31.0,54,0.222,0.274
1986-06-15T20:00,,30.6,54,0.222,0.274
1986-06-15T21:00,,30.1,55,0.222,0.274
1986-06-15T22:00,,29.8,56,0.222,0.274
1986-06-15T23:00,,29.4,58,0.222,0.274
