time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.1,56,0.201,0.234
1986-06-13T01:00,,30.5,53,0.201,0.234
1986-06-13T02:00,,33.1,44,0.201,0.234
1986-06-13T03:00,,35.5,35,0.201,0.234
1986-06-13T04:00,,37.9,28,0.201,0.234
1986-06-13T05:00,,40.1,24,0.201,0.234
1986-06-13T06:00,,41.3,22,0.201,0.234
1986-06-13T07:00,,40.9,24,0.201,0.234
1986-06-13T08:00,,40.9,24,0.201,0.234
1986-06-13T09:00,,40.9,25,0.201,0.234
1986-06-13T10:00,,40.8,25,0.201,0.234
1986-06-13T11:00,,40.3,25,0.201,0.234
1986-06-13T12:00,,39.2,27,0.201,0.234
1986-06-13T13:00,,37.6,31,0.201,0.234
1986-06-13T14:00,,36.0,35,0.201,0.234
1986-06-13T15:00,,34.9,39,0.201,0.234
1986-06-13T16:00,,34.0,42,0.201,0.234
1986-06-13T17:00,,33.3,44,0.201,0.234
1986-06-13T18:00,,32.5,47,0.201,0.234
1986-06-13T19:00,,31.2,57,0.201,0.234
1986-06-13T20:00,,30.8,58,0.201,0.234
1986-06-13T21:00,,30.4,58,0.201,0.234
1986-06-13T22:00,,30.0,59,0.201,0.234
1986-06-13T23:00,,29.6,60,0.201,0.234
1986-06-14T00:00,,29.3,60,0.201,0.234
1986-06-14T01:00,,30.2,57,0.201,0.234
1986-06-14T02:00,,32.4,48,0.201,0.234
1986-06-14T03:00,,34.6,40,0.201,0.234
1986-06-14T04:00,,36.6,34,0.201,0.234
1986-06-14T05:00,,38.3,30,0.201,0.234
1986-06-14T06:00,,39.8,26,0.201,0.234
1986-06-14T07:00,,39.4,28,0.201,0.234
1986-06-14T08:00,,39.9,27,0.201,0.234
1986-06-14T09:00,,39.4,28,0.202,0.234
1986-06-14T10:00,,37.8,34,0.211,0.234
1986-06-14T11:00,,36.7,40,0.211,0.234
1986-06-14T12:00,,35.9,43,0.211,0.234
1986-06-14T13:00,,35.4,45,0.211,0.234
1986-06-14T14:00,,34.7,47,0.211,0.234
1986-06-14T15:00,,34.0,49,0.211,0.234
1986-06-14T16:00,,33.5,51,0.211,0.234
1986-06-14T17:00,,32.7,53,0.211,0.234
1986-06-14T18:00,,32.2,55,0.211,0.234
1986-06-14T19:00,,31.1,57,0.211,0.234
1986-06-14T20:00,,30.6,60,0.211,0.234
1986-06-14T21:00,,30.0,63,0.211,0.234
1986-06-14T22:00,,29.7,64,0.211,0.234
1986-06-14T23:00,,29.4,65,0.211,0.234
1986-06-15T00:00,,29.1,67,0.21,0.234
1986-06-15T01:00,,29.9,65,0.21,0.234
1986-06-15T02:00,,32.1,57,0.21,0.234
1986-06-15T03:00,,34.1,49,0.21,0.234
1986-06-15T04:00,,35.8,42,0.21,0.234
1986-06-15T05:00,,36.8,38,0.209,0.234
1986-06-15T06:00,,37.3,38,0.209,0.234
1986-06-15T07:00,,37.8,39,0.209,0.234
1986-06-15T08:00,,37.4,40,0.208,0.234
1986-06-15T09:00,,37.3,40,0.208,0.234
1986-06-15T10:00,,37.3,39,0.208,0.234
1986-06-15T11:00,,35.9,42,0.21,0.234
1986-06-15T12:00,,34.9,46,0.21,0.234
1986-06-15T13:00,,34.3,47,0.21,0.234
1986-06-15T14:00,,33.6,50,0.21,0.234
1986-06-15T15:00,,33.0,52,0.21,0.234
1986-06-15T16:00,,32.3,54,0.21,0.234
1986-06-15T17:00,,31.9,56,0.21,0.234
1986-06-15T18:00,,31.3,58,0.209,0.234
1986-06-15T19:00,,31.0,58,0.209,0.234
1986-06-15T20:00,,30.7,59,0.209,0.234
1986-06-15T21:00,,30.2,61,0.209,0.234
1986-06-15T22:00,,29.9,63,0.209,0.234
1986-06-15T23:00,,29.6,64,0.209,0.234
