time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.3,70,0.124,0.137
1986-06-13T01:00,,30.2,68,0.124,0.137
1986-06-13T02:00,,32.2,60,0.124,0.137
1986-06-13T03:00,,34.4,50,0.124,0.137
1986-06-13T04:00,,36.6,41,0.124,0.137
1986-06-13T05:00,,38.6,35,0.124,0.137
1986-06-13T06:00,,39.9,32,0.124,0.137
1986-06-13T07:00,,39.9,31,0.124,0.137
1986-06-13T08:00,,40.4,30,0.124,0.137
1986-06-13T09:00,,40.5,30,0.124,0.137
1986-06-13T10:00,,40.3,29,0.125,0.137
1986-06-13T11:00,,39.3,31,0.125,0.137
1986-06-13T12:00,,37.0,38,0.138,0.137
1986-06-13T13:00,,35.2,44,0.139,0.137
1986-06-13T14:00,,34.3,48,0.139,0.137
1986-06-13T15:00,,33.6,50,0.139,0.137
1986-06-13T16:00,,32.9,53,0.139,0.137
1986-06-13T17:00,,32.2,56,0.139,0.137
1986-06-13T18:00,,31.6,60,0.139,0.137
1986-06-13T19:00,,30.3,68,0.139,0.137
1986-06-13T20:00,,30.0,69,0.139,0.137
1986-06-13T21:00,,29.6,71,0.139,0.137
1986-06-13T22:00,,29.3,72,0.139,0.137
1986-06-13T23:00,,29.0,74,0.138,0.137
1986-06-14T00:00,,28.8,75,0.138,0.137
1986-06-14T01:00,,29.8,71,0.138,0.137
1986-06-14T02:00,,32.1,58,0.138,0.137
1986-06-14T03:00,,34.2,49,0.138,0.137
1986-06-14T04:00,,36.0,42,0.138,0.137
1986-06-14T05:00,,37.5,37,0.137,0.137
1986-06-14T06:00,,38.6,34,0.137,0.137
1986-06-14T07:00,,38.7,35,0.136,0.137
1986-06-14T08:00,,38.8,35,0.137,0.137
1986-06-14T09:00,,38.3,37,0.138,0.137
1986-06-14T10:00,,36.1,43,0.141,0.137
1986-06-14T11:00,,35.7,45,0.141,0.137
1986-06-14T12:00,,35.5,45,0.141,0.137
1986-06-14T13:00,,35.0,47,0.141,0.137
1986-06-14T14:00,,34.0,50,0.14,0.137
1986-06-14T15:00,,33.3,53,0.14,0.137
1986-06-14T16:00,,32.7,55,0.14,0.137
1986-06-14T17:00,,32.1,58,0.14,0.137
1986-06-14T18:00,,31.6,60,0.14,0.137
1986-06-14T19:00,,31.1,62,0.14,0.137
1986-06-14T20:00,,30.6,65,0.14,0.137
1986-06-14T21:00,,30.1,67,0.14,0.137
1986-06-14T22:00,,29.7,68,0.14,0.137
1986-06-14T23:00,,29.3,70,0.14,0.137
1986-06-15T00:00,,29.0,71,0.14,0.137
1986-06-15T01:00,,30.0,69,0.14,0.137
1986-06-15T02:00,,32.0,59,0.14,0.137
1986-06-15T03:00,,33.8,51,0.139,0.137
1986-06-15T04:00,,35.6,44,0.139,0.137
1986-06-15T05:00,,36.3,42,0.139,0.137
1986-06-15T06:00,,36.9,41,0.139,0.137
1986-06-15T07:00,,37.5,41,0.138,0.137
1986-06-15T08:00,,36.9,42,0.138,0.137
1986-06-15T09:00,,37.4,41,0.138,0.137
1986-06-15T10:00,,37.2,41,0.137,0.137
1986-06-15T11:00,,35.8,44,0.139,0.137
1986-06-15T12:00,,34.8,48,0.139,0.137
1986-06-15T13:00,,34.2,50,0.139,0.137
1986-06-15T14:00,,33.6,52,0.139,0.137
1986-06-15T15:00,,33.0,55,0.138,0.137
1986-06-15T16:00,,32.4,58,0.138,0.137
1986-06-15T17:00,,31.9,60,0.138,0.137
1986-06-15T18:00,,31.3,62,0.138,0.137
1986-06-15T19:00,,30.4,66,0.138,0.137
1986-06-15T20:00,,29.9,69,0.138,0.137
1986-06-15T21:00,,29.5,71,0.138,0.137
1986-06-15T22:00,,29.3,72,0.138,0.137
1986-06-15T23:00,,29.2,72,0.138,0.137
