time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,31.7,33,0.12,0.133
1986-06-13T01:00,,32.2,35,0.12,0.133
1986-06-13T02:00,,34.5,34,0.12,0.133
1986-06-13T03:00,,36.8,33,0.12,0.133
1986-06-13T04:00,,38.8,30,0.12,0.133
1986-06-13T05:00,,40.6,26,0.12,0.133
1986-06-13T06:00,,41.7,22,0.12,0.133
1986-06-13T07:00,,42.0,22,0.12,0.133
1986-06-13T08:00,,42.7,20,0.12,0.133
1986-06-13T09:00,,43.1,19,0.12,0.133
1986-06-13T10:00,,43.0,19,0.12,0.133
1986-06-13T11:00,,42.4,19,0.12,0.133
1986-06-13T12:00,,41.0,21,0.12,0.133
1986-06-13T13:00,,39.8,23,0.12,0.133
1986-06-13T14:00,,38.5,25,0.12,0.133
1986-06-13T15:00,,37.5,27,0.12,0.133
1986-06-13T16:00,,37.0,27,0.12,0.133
1986-06-13T17:00,,36.5,28,0.12,0.133
1986-06-13T18:00,,35.8,29,0.12,0.133
1986-06-13T19:00,,32.5,36,0.12,0.133
1986-06-13T20:00,,31.9,37,0.12,0.133
1986-06-13T21:00,,31.3,38,0.12,0.133
1986-06-13T22:00,,31.0,39,0.12,0.133
1986-06-13T23:00,,30.9,39,0.12,0.133
1986-06-14T00:00,,30.7,39,0.12,0.133
1986-06-14T01:00,,31.6,38,0.12,0.133
1986-06-14T02:00,,34.6,33,0.12,0.133
1986-06-14T03:00,,37.6,28,0.12,0.133
1986-06-14T04:00,,39.6,25,0.12,0.133
1986-06-14T05:00,,40.8,24,0.12,0.133
1986-06-14T06:00,,41.9,22,0.12,0.133
1986-06-14T07:00,,41.0,25,0.12,0.133
1986-06-14T08:00,,41.2,26,0.12,0.133
1986-06-14T09:00,,41.4,26,0.12,0.133
1986-06-14T10:00,,41.3,26,0.121,0.133
1986-06-14T11:00,,40.8,27,0.121,0.133
1986-06-14T12:00,,40.1,28,0.121,0.133
1986-06-14T13:00,,39.1,30,0.121,0.133
1986-06-14T14:00,,37.7,32,0.121,0.133
1986-06-14T15:00,,36.6,35,0.121,0.133
1986-06-14T16:00,,35.5,40,0.121,0.133
1986-06-14T17:00,,35.3,39,0.121,0.133
1986-06-14T18:00,,34.4,41,0.121,0.133
1986-06-14T19:00,,32.6,48,0.121,0.133
1986-06-14T20:00,,31.9,50,0.121,0.133
1986-06-14T21:00,,31.5,51,0.121,0.133
1986-06-14T22:00,,31.2,52,0.121,0.133
1986-06-14T23:00,,30.9,52,0.121,0.133
1986-06-15T00:00,,30.8,52,0.121,0.133
1986-06-15T01:00,,31.3,51,0.121,0.133
1986-06-15T02:00,,33.1,47,0.121,0.133
1986-06-15T03:00,,35.4,41,0.121,0.133
1986-06-15T04:00,,37.6,35,0.121,0.133
1986-06-15T05:00,,39.2,31,0.121,0.133
1986-06-15T06:00,,40.2,29,0.121,0.133
1986-06-15T07:00,,41.0,26,0.121,0.133
1986-06-15T08:00,,41.8,24,0.121,0.133
1986-06-15T09:00,,42.2,23,0.121,0.133
1986-06-15T10:00,,42.3,22,0.121,0.133
1986-06-15T11:00,,41.9,23,0.121,0.133
1986-06-15T12:00,,40.8,23,0.121,0.133
1986-06-15T13:00,,39.7,25,0.121,0.133
1986-06-15T14:00,,38.4,27,0.121,0.133
1986-06-15T15:00,,36.9,30,0.121,0.133
1986-06-15T16:00,,35.6,33,0.121,0.133
1986-06-15T17:00,,34.5,35,0.121,0.133
1986-06-15T18:00,,33.6,38,0.121,0.133
1986-06-15T19:00,,32.8,40,0.121,0.133
1986-06-15T20:00,,32.1,42,0.121,0.133
1986-06-15T21:00,,31.6,44,0.121,0.133
1986-06-15T22:00,,30.9,46,0.121,0.133
1986-06-15T23:00,,30.3,48,0.121,0.133
