time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1986-06-13T00:00,,29.2,37,0.235,0.277
1986-06-13T01:00,,30.2,37,0.235,0.277
1986-06-13T02:00,,32.5,35,0.235,0.277
1986-06-13T03:00,,35.0,31,0.235,0.277
1986-06-13T04:00,,37.8,25,0.235,0.277
1986-06-13T05:00,,39.9,21,0.235,0.277
1986-06-13T06:00,,40.8,19,0.235,0.277
1986-06-13T07:00,,41.1,19,0.235,0.277
1986-06-13T08:00,,41.6,18,0.235,0.277
1986-06-13T09:00,,41.8,18,0.235,0.277
1986-06-13T10:00,,41.5,17,0.235,0.277
1986-06-13T11:00,,41.1,18,0.235,0.277
1986-06-13T12:00,,40.0,19,0.235,0.277
1986-06-13T13:00,,38.6,21,0.235,0.277
1986-06-13T14:00,,36.9,24,0.235,0.277
1986-06-13T15:00,,35.3,28,0.235,0.277
1986-06-13T16:00,,33.7,32,0.235,0.277
1986-06-13T17:00,,32.8,34,0.235,0.277
1986-06-13T18:00,,32.1,36,0.235,0.277
1986-06-13T19:00,,31.0,46,0.235,0.277
1986-06-13T20:00,,30.6,46,0.235,0.277
1986-06-13T21:00,,30.2,47,0.235,0.277
1986-06-13T22:00,,29.8,47,0.235,0.277
1986-06-13T23:00,,29.5,47,0.235,0.277
1986-06-14T00:00,,29.3,46,0.235,0.277
1986-06-14T01:00,,29.9,45,0.235,0.277
1986-06-14T02:00,,32.0,41,0.235,0.277
1986-06-14T03:00,,33.7,39,0.235,0.277
1986-06-14T04:00,,36.0,34,0.235,0.277
1986-06-14T05:00,,38.2,29,0.235,0.277
1986-06-14T06:00,,39.7,25,0.235,0.277
1986-06-14T07:00,,39.7,24,0.235,0.277
1986-06-14T08:00,,40.2,23,0.235,0.277
1986-06-14T09:00,,40.4,22,0.235,0.277
1986-06-14T10:00,,40.1,23,0.235,0.277
1986-06-14T11:00,,39.0,24,0.235,0.277
1986-06-14T12:00,,38.0,26,0.236,0.277
1986-06-14T13:00,,36.8,29,0.236,0.277
1986-06-14T14:00,,35.4,32,0.236,0.277
1986-06-14T15:00,,34.4,35,0.236,0.277
1986-06-14T16:00,,33.6,38,0.236,0.277
1986-06-14T17:00,,32.7,42,0.236,0.277
1986-06-14T18:00,,32.0,45,0.236,0.277
1986-06-14T19:00,,30.9,48,0.236,0.277
1986-06-14T20:00,,30.2,50,0.236,0.277
1986-06-14T21:00,,29.5,54,0.236,0.277
1986-06-14T22:00,,29.6,53,0.236,0.277
1986-06-14T23:00,,29.2,55,0.236,0.277
1986-06-15T00:00,,29.0,55,0.236,0.277
1986-06-15T01:00,,29.2,56,0.236,0.277
1986-06-15T02:00,,31.3,49,0.236,0.277
1986-06-15T03:00,,33.2,43,0.236,0.277
1986-06-15T04:00,,34.5,41,0.236,0.277
1986-06-15T05:00,,36.0,37,0.236,0.277
1986-06-15T06:00,,37.0,35,0.236,0.277
1986-06-15T07:00,,37.8,33,0.236,0.277
1986-06-15T08:00,,38.2,32,0.236,0.277
1986-06-15T09:00,,38.5,32,0.236,0.277
1986-06-15T10:00,,38.2,33,0.236,0.277
1986-06-15T11:00,,37.8,33,0.236,0.277
1986-06-15T12:00,,35.7,38,0.237,0.277
1986-06-15T13:00,,34.8,41,0.237,0.277
1986-06-15T14:00,,34.0,43,0.237,0.277
1986-06-15T15:00,,33.2,45,0.237,0.277
1986-06-15T16:00,,32.4,48,0.237,0.277
1986-06-15T17:00,,31.8,50,0.237,0.277
1986-06-15T18:00,,31.2,51,0.237,0.277
1986-06-15T19:00,,31.1,50,0.237,0.277
1986-06-15T20:00,,30.7,51,0.237,0.277
1986-06-15T21:00,,30.3,52,0.237,0.277
1986-06-15T22:00,,29.9,52,0.237,0.277
1986-06-15T23:00,,29.6,53,0.237,0.277
