time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.3,84,0.19,0.154
1985-06-21T01:00,,21.3,84,0.19,0.154
1985-06-21T02:00,,22.1,79,0.189,0.154
1985-06-21T03:00,,23.6,70,0.189,0.154
1985-06-21T04:00,,25.7,58,0.188,0.154
1985-06-21T05:00,,28.3,47,0.187,0.154
1985-06-21T06:00,,30.0,41,0.186,0.154
1985-06-21T07:00,,31.8,33,0.184,0.153
1985-06-21T08:00,,33.0,29,0.182,0.153
1985-06-21T09:00,,33.4,27,0.18,0.153
1985-06-21T10:00,,32.1,30,0.18,0.153
1985-06-21T11:00,,30.3,37,0.179,0.153
1985-06-21T12:00,,29.1,43,0.179,0.153
1985-06-21T13:00,,27.8,50,0.178,0.153
1985-06-21T14:00,,26.2,57,0.178,0.153
1985-06-21T15:00,,24.8,64,0.178,0.153
1985-06-21T16:00,,23.8,70,0.178,0.153
1985-06-21T17:00,,23.0,75,0.178,0.153
1985-06-21T18:00,,22.3,79,0.177,0.153
1985-06-21T19:00,,22.1,81,0.177,0.153
1985-06-21T20:00,,21.7,83,0.177,0.153
1985-06-21T21:00,,21.5,84,0.177,0.153
1985-06-21T22:00,,21.4,84,0.177,0.153
1985-06-21T23:00,,21.5,83,0.177,0.153
1985-06-22T00:00,,21.6,83,0.177,0.153
1985-06-22T01:00,,21.7,81,0.177,0.153
1985-06-22T02:00,,22.3,78,0.177,0.153
1985-06-22T03:00,,23.9,68,0.176,0.153
1985-06-22T04:00,,25.8,58,0.176,0.153
1985-06-22T05:00,,27.3,52,0.176,0.153
1985-06-22T06:00,,29.1,46,0.175,0.152
1985-06-22T07:00,,31.4,39,0.173,0.152
1985-06-22T08:00,,32.6,36,0.172,0.152
1985-06-22T09:00,,33.2,34,0.17,0.152
1985-06-22T10:00,,33.0,34,0.169,0.152
1985-06-22T11:00,,31.7,36,0.168,0.152
1985-06-22T12:00,,29.2,45,0.169,0.152
1985-06-22T13:00,,27.5,53,0.169,0.152
1985-06-22T14:00,,26.2,60,0.169,0.152
1985-06-22T15:00,,24.7,67,0.169,0.152
1985-06-22T16:00,,23.5,73,0.168,0.152
1985-06-22T17:00,,22.7,76,0.168,0.152
1985-06-22T18:00,,22.3,79,0.168,0.152
1985-06-22T19:00,,22.4,78,0.168,0.152
1985-06-22T20:00,,22.2,79,0.168,0.152
1985-06-22T21:00,,21.9,81,0.168,0.152
1985-06-22T22:00,,21.7,82,0.168,0.152
1985-06-22T23:00,,21.6,82,0.168,0.152
1985-06-23T00:00,,21.5,83,0.168,0.152
1985-06-23T01:00,,21.5,82,0.168,0.152
1985-06-23T02:00,,22.5,76,0.168,0.152
1985-06-23T03:00,,24.3,66,0.167,0.152
1985-06-23T04:00,,26.7,55,0.167,0.151
1985-06-23T05:00,,28.9,47,0.166,0.151
1985-06-23T06:00,,30.6,42,0.165,0.151
1985-06-23T07:00,,32.3,34,0.164,0.151
1985-06-23T08:00,,33.6,31,0.162,0.151
1985-06-23T09:00,,34.3,29,0.161,0.151
1985-06-23T10:00,,34.7,28,0.16,0.15
1985-06-23T11:00,,34.2,28,0.159,0.15
1985-06-23T12:00,,32.3,32,0.158,0.15
1985-06-23T13:00,,30.1,39,0.158,0.15
1985-06-23T14:00,,28.4,48,0.158,0.15
1985-06-23T15:00,,26.7,58,0.158,0.15
1985-06-23T16:00,,25.1,68,0.158,0.15
1985-06-23T17:00,,24.0,73,0.158,0.15
1985-06-23T18:00,,23.4,75,0.158,0.15
1985-06-23T19:00,,23.4,75,0.157,0.15
1985-06-23T20:00,,23.1,76,0.157,0.15
1985-06-23T21:00,,22.7,78,0.157,0.15
1985-06-23T22:00,,22.5,79,0.157,0.15
1985-06-23T23:00,,22.3,80,0.157,0.15
