time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.1,85,0.163,0.19
1985-06-21T01:00,,23.1,84,0.163,0.19
1985-06-21T02:00,,24.3,77,0.163,0.19
1985-06-21T03:00,,26.1,66,0.163,0.19
1985-06-21T04:00,,27.8,57,0.163,0.19
1985-06-21T05:00,,30.1,47,0.162,0.19
1985-06-21T06:00,,32.1,40,0.162,0.19
1985-06-21T07:00,,33.6,35,0.161,0.19
1985-06-21T08:00,,34.8,31,0.16,0.19
1985-06-21T09:00,,35.5,28,0.159,0.19
1985-06-21T10:00,,35.3,28,0.159,0.19
1985-06-21T11:00,,34.8,28,0.158,0.19
1985-06-21T12:00,,32.9,33,0.158,0.19
1985-06-21T13:00,,30.9,43,0.158,0.19
1985-06-21T14:00,,29.1,53,0.157,0.19
1985-06-21T15:00,,27.7,61,0.157,0.19
1985-06-21T16:00,,26.6,67,0.157,0.19
1985-06-21T17:00,,25.7,71,0.157,0.19
1985-06-21T18:00,,24.9,76,0.157,0.19
1985-06-21T19:00,,24.5,78,0.157,0.19
1985-06-21T20:00,,23.9,82,0.157,0.19
1985-06-21T21:00,,23.6,84,0.157,0.19
1985-06-21T22:00,,23.3,85,0.157,0.19
1985-06-21T23:00,,23.1,86,0.157,0.19
1985-06-22T00:00,,23.0,86,0.157,0.19
1985-06-22T01:00,,23.1,86,0.157,0.19
1985-06-22T02:00,,24.2,79,0.157,0.19
1985-06-22T03:00,,26.0,68,0.157,0.19
1985-06-22T04:00,,28.3,57,0.157,0.19
1985-06-22T05:00,,29.9,51,0.156,0.19
1985-06-22T06:00,,31.6,45,0.156,0.19
1985-06-22T07:00,,33.2,40,0.155,0.19
1985-06-22T08:00,,34.3,37,0.155,0.19
1985-06-22T09:00,,34.7,36,0.154,0.19
1985-06-22T10:00,,34.6,36,0.154,0.19
1985-06-22T11:00,,34.6,35,0.154,0.19
1985-06-22T12:00,,33.2,36,0.155,0.19
1985-06-22T13:00,,31.3,44,0.155,0.19
1985-06-22T14:00,,29.7,52,0.154,0.19
1985-06-22T15:00,,28.3,60,0.154,0.19
1985-06-22T16:00,,27.0,66,0.154,0.19
1985-06-22T17:00,,25.8,71,0.154,0.19
1985-06-22T18:00,,24.9,76,0.154,0.19
1985-06-22T19:00,,24.7,77,0.154,0.19
1985-06-22T20:00,,24.3,80,0.154,0.19
1985-06-22T21:00,,23.9,82,0.154,0.19
1985-06-22T22:00,,23.6,84,0.154,0.19
1985-06-22T23:00,,23.4,85,0.154,0.19
1985-06-23T00:00,,23.1,86,0.154,0.19
1985-06-23T01:00,,23.2,86,0.154,0.19
1985-06-23T02:00,,24.5,78,0.154,0.19
1985-06-23T03:00,,26.5,67,0.154,0.19
1985-06-23T04:00,,29.0,55,0.154,0.19
1985-06-23T05:00,,31.0,47,0.153,0.19
1985-06-23T06:00,,32.7,41,0.153,0.19
1985-06-23T07:00,,34.6,35,0.153,0.19
1985-06-23T08:00,,35.8,31,0.152,0.19
1985-06-23T09:00,,36.4,29,0.152,0.19
1985-06-23T10:00,,36.6,28,0.151,0.19
1985-06-23T11:00,,36.4,28,0.151,0.19
1985-06-23T12:00,,35.1,31,0.151,0.19
1985-06-23T13:00,,33.4,35,0.151,0.19
1985-06-23T14:00,,31.6,41,0.151,0.19
1985-06-23T15:00,,30.2,48,0.151,0.19
1985-06-23T16:00,,28.7,58,0.151,0.19
1985-06-23T17:00,,27.2,67,0.151,0.19
1985-06-23T18:00,,26.1,73,0.151,0.19
1985-06-23T19:00,,25.7,75,0.151,0.19
1985-06-23T20:00,,25.1,78,0.151,0.19
1985-06-23T21:00,,24.7,79,0.151,0.19
1985-06-23T22:00,,24.3,81,0.151,0.19
1985-06-23T23:00,,24.0,82,0.151,0.19
