time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.5,80,0.271,0.259
1985-06-21T01:00,,23.5,80,0.271,0.259
1985-06-21T02:00,,24.4,75,0.271,0.259
1985-06-21T03:00,,26.1,65,0.27,0.259
1985-06-21T04:00,,27.8,56,0.27,0.259
1985-06-21T05:00,,30.0,48,0.269,0.259
1985-06-21T06:00,,32.1,40,0.268,0.259
1985-06-21T07:00,,34.0,31,0.266,0.259
1985-06-21T08:00,,35.2,28,0.265,0.259
1985-06-21T09:00,,36.0,26,0.263,0.258
1985-06-21T10:00,,36.2,25,0.262,0.258
1985-06-21T11:00,,36.1,25,0.261,0.258
1985-06-21T12:00,,35.2,26,0.26,0.258
1985-06-21T13:00,,33.7,29,0.26,0.258
1985-06-21T14:00,,31.5,37,0.26,0.258
1985-06-21T15:00,,30.0,46,0.259,0.258
1985-06-21T16:00,,28.8,52,0.259,0.258
1985-06-21T17:00,,27.7,58,0.259,0.258
1985-06-21T18:00,,26.7,63,0.259,0.258
1985-06-21T19:00,,26.2,67,0.259,0.258
1985-06-21T20:00,,25.4,71,0.259,0.258
1985-06-21T21:00,,24.7,75,0.259,0.258
1985-06-21T22:00,,24.2,77,0.259,0.258
1985-06-21T23:00,,23.9,79,0.258,0.258
1985-06-22T00:00,,23.7,79,0.258,0.258
1985-06-22T01:00,,23.8,78,0.258,0.258
1985-06-22T02:00,,24.7,73,0.258,0.258
1985-06-22T03:00,,26.4,64,0.258,0.258
1985-06-22T04:00,,28.6,54,0.257,0.258
1985-06-22T05:00,,30.2,48,0.257,0.258
1985-06-22T06:00,,31.7,44,0.256,0.258
1985-06-22T07:00,,34.1,36,0.255,0.257
1985-06-22T08:00,,35.2,33,0.254,0.257
1985-06-22T09:00,,35.6,31,0.253,0.257
1985-06-22T10:00,,35.6,31,0.252,0.257
1985-06-22T11:00,,35.3,31,0.252,0.257
1985-06-22T12:00,,34.4,32,0.252,0.257
1985-06-22T13:00,,32.9,36,0.252,0.257
1985-06-22T14:00,,31.3,42,0.251,0.257
1985-06-22T15:00,,30.2,47,0.251,0.257
1985-06-22T16:00,,29.2,53,0.251,0.257
1985-06-22T17:00,,28.0,59,0.251,0.257
1985-06-22T18:00,,26.9,64,0.251,0.257
1985-06-22T19:00,,26.7,66,0.251,0.257
1985-06-22T20:00,,26.2,68,0.251,0.257
1985-06-22T21:00,,25.7,70,0.251,0.257
1985-06-22T22:00,,25.2,72,0.25,0.257
1985-06-22T23:00,,24.8,74,0.25,0.257
1985-06-23T00:00,,24.5,76,0.25,0.257
1985-06-23T01:00,,24.4,76,0.25,0.257
1985-06-23T02:00,,25.2,72,0.25,0.257
1985-06-23T03:00,,26.8,64,0.25,0.257
1985-06-23T04:00,,29.0,55,0.25,0.257
1985-06-23T05:00,,31.2,46,0.249,0.257
1985-06-23T06:00,,33.1,40,0.248,0.256
1985-06-23T07:00,,34.7,34,0.248,0.256
1985-06-23T08:00,,35.9,31,0.247,0.256
1985-06-23T09:00,,36.6,28,0.246,0.256
1985-06-23T10:00,,36.9,27,0.245,0.256
1985-06-23T11:00,,36.9,27,0.245,0.256
1985-06-23T12:00,,36.2,27,0.245,0.256
1985-06-23T13:00,,35.3,28,0.244,0.256
1985-06-23T14:00,,34.1,30,0.244,0.256
1985-06-23T15:00,,32.9,34,0.244,0.256
1985-06-23T16:00,,31.1,41,0.244,0.256
1985-06-23T17:00,,30.0,49,0.244,0.256
1985-06-23T18:00,,28.5,59,0.244,0.255
1985-06-23T19:00,,27.9,62,0.244,0.255
1985-06-23T20:00,,27.0,66,0.243,0.255
1985-06-23T21:00,,26.4,68,0.243,0.255
1985-06-23T22:00,,25.9,70,0.243,0.255
1985-06-23T23:00,,25.6,71,0.243,0.255
