time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.9,96,0.495,0.486
1985-06-21T01:00,,21.0,96,0.495,0.486
1985-06-21T02:00,,21.4,94,0.497,0.487
1985-06-21T03:00,,22.3,90,0.498,0.487
1985-06-21T04:00,,22.6,86,0.502,0.487
1985-06-21T05:00,,22.8,86,0.499,0.488
1985-06-21T06:00,,23.7,82,0.497,0.488
1985-06-21T07:00,,25.2,78,0.495,0.487
1985-06-21T08:00,,25.7,79,0.494,0.487
1985-06-21T09:00,,24.3,81,0.498,0.487
1985-06-21T10:00,,24.4,80,0.498,0.487
1985-06-21T11:00,,23.7,84,0.497,0.487
1985-06-21T12:00,,23.2,87,0.496,0.487
1985-06-21T13:00,,22.3,91,0.495,0.487
1985-06-21T14:00,,21.7,93,0.494,0.487
1985-06-21T15:00,,21.6,93,0.494,0.487
1985-06-21T16:00,,21.5,94,0.495,0.487
1985-06-21T17:00,,21.3,95,0.495,0.487
1985-06-21T18:00,,21.2,96,0.495,0.487
1985-06-21T19:00,,21.3,95,0.495,0.487
1985-06-21T20:00,,21.0,96,0.494,0.487
1985-06-21T21:00,,21.0,96,0.493,0.487
1985-06-21T22:00,,20.9,96,0.493,0.487
1985-06-21T23:00,,20.9,96,0.492,0.487
1985-06-22T00:00,,20.9,96,0.494,0.487
1985-06-22T01:00,,20.9,95,0.495,0.487
1985-06-22T02:00,,21.2,93,0.495,0.487
1985-06-22T03:00,,21.5,91,0.495,0.487
1985-06-22T04:00,,22.0,88,0.494,0.487
1985-06-22T05:00,,23.1,83,0.493,0.487
1985-06-22T06:00,,23.8,82,0.491,0.486
1985-06-22T07:00,,25.2,77,0.49,0.486
1985-06-22T08:00,,24.9,78,0.491,0.485
1985-06-22T09:00,,24.2,83,0.498,0.485
1985-06-22T10:00,,23.6,83,0.503,0.486
1985-06-22T11:00,,23.1,86,0.501,0.487
1985-06-22T12:00,,22.7,88,0.5,0.487
1985-06-22T13:00,,21.8,91,0.499,0.487
1985-06-22T14:00,,21.3,94,0.498,0.488
1985-06-22T15:00,,21.3,95,0.498,0.488
1985-06-22T16:00,,21.4,95,0.499,0.488
1985-06-22T17:00,,21.5,95,0.5,0.488
1985-06-22T18:00,,21.2,96,0.499,0.489
1985-06-22T19:00,,21.2,97,0.497,0.489
1985-06-22T20:00,,21.2,96,0.496,0.489
1985-06-22T21:00,,21.1,96,0.494,0.489
1985-06-22T22:00,,21.0,97,0.493,0.489
1985-06-22T23:00,,20.9,97,0.493,0.488
1985-06-23T00:00,,20.8,98,0.493,0.488
1985-06-23T01:00,,20.8,97,0.493,0.488
1985-06-23T02:00,,21.0,97,0.492,0.488
1985-06-23T03:00,,21.6,93,0.492,0.488
1985-06-23T04:00,,23.0,85,0.495,0.488
1985-06-23T05:00,,23.7,82,0.494,0.488
1985-06-23T06:00,,24.7,79,0.492,0.487
1985-06-23T07:00,,25.2,76,0.491,0.487
1985-06-23T08:00,,25.0,81,0.491,0.486
1985-06-23T09:00,,24.7,83,0.491,0.486
1985-06-23T10:00,,24.2,83,0.5,0.486
1985-06-23T11:00,,23.2,84,0.502,0.486
1985-06-23T12:00,,22.7,88,0.502,0.487
1985-06-23T13:00,,22.0,92,0.501,0.488
1985-06-23T14:00,,21.6,94,0.499,0.488
1985-06-23T15:00,,21.6,94,0.497,0.488
1985-06-23T16:00,,21.5,95,0.496,0.488
1985-06-23T17:00,,21.3,95,0.495,0.488
1985-06-23T18:00,,21.3,96,0.494,0.488
1985-06-23T19:00,,21.5,96,0.493,0.488
1985-06-23T20:00,,21.3,97,0.493,0.488
1985-06-23T21:00,,21.3,97,0.493,0.488
1985-06-23T22:00,,21.4,96,0.497,0.488
1985-06-23T23:00,,21.4,96,0.498,0.488
