time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,25.4,88,0.315,0.28
1985-06-21T01:00,,25.2,91,0.315,0.28
1985-06-21T02:00,,25.3,92,0.314,0.28
1985-06-21T03:00,,25.7,91,0.315,0.281
1985-06-21T04:00,,26.1,89,0.314,0.281
1985-06-21T05:00,,26.6,88,0.313,0.281
1985-06-21T06:00,,27.5,84,0.311,0.281
1985-06-21T07:00,,27.8,84,0.31,0.28
1985-06-21T08:00,,28.0,84,0.309,0.28
1985-06-21T09:00,,28.0,83,0.307,0.28
1985-06-21T10:00,,28.1,83,0.305,0.28
1985-06-21T11:00,,27.3,84,0.305,0.279
1985-06-21T12:00,,27.3,84,0.304,0.279
1985-06-21T13:00,,26.9,87,0.305,0.279
1985-06-21T14:00,,26.1,91,0.306,0.279
1985-06-21T15:00,,25.8,90,0.308,0.279
1985-06-21T16:00,,25.9,91,0.308,0.28
1985-06-21T17:00,,25.7,92,0.308,0.28
1985-06-21T18:00,,26.0,89,0.309,0.28
1985-06-21T19:00,,25.4,89,0.313,0.28
1985-06-21T20:00,,24.9,92,0.315,0.28
1985-06-21T21:00,,24.8,93,0.316,0.281
1985-06-21T22:00,,25.1,93,0.317,0.281
1985-06-21T23:00,,25.0,94,0.319,0.282
1985-06-22T00:00,,25.0,93,0.321,0.282
1985-06-22T01:00,,24.9,93,0.322,0.283
1985-06-22T02:00,,25.1,92,0.32,0.283
1985-06-22T03:00,,25.6,90,0.32,0.284
1985-06-22T04:00,,26.2,87,0.318,0.284
1985-06-22T05:00,,27.1,83,0.315,0.284
1985-06-22T06:00,,27.5,82,0.313,0.284
1985-06-22T07:00,,28.7,77,0.309,0.283
1985-06-22T08:00,,28.5,78,0.309,0.282
1985-06-22T09:00,,27.7,83,0.311,0.282
1985-06-22T10:00,,27.7,84,0.311,0.282
1985-06-22T11:00,,27.4,86,0.313,0.282
1985-06-22T12:00,,26.4,90,0.322,0.283
1985-06-22T13:00,,26.1,90,0.322,0.283
1985-06-22T14:00,,25.8,91,0.322,0.284
1985-06-22T15:00,,25.6,92,0.322,0.284
1985-06-22T16:00,,25.7,92,0.321,0.285
1985-06-22T17:00,,25.8,91,0.32,0.285
1985-06-22T18:00,,25.7,92,0.32,0.285
1985-06-22T19:00,,25.6,92,0.322,0.286
1985-06-22T20:00,,25.7,91,0.321,0.286
1985-06-22T21:00,,25.3,93,0.323,0.287
1985-06-22T22:00,,25.3,92,0.324,0.287
1985-06-22T23:00,,25.3,92,0.322,0.288
1985-06-23T00:00,,25.1,94,0.323,0.288
1985-06-23T01:00,,25.1,94,0.323,0.288
1985-06-23T02:00,,25.4,93,0.323,0.289
1985-06-23T03:00,,26.1,90,0.321,0.289
1985-06-23T04:00,,26.8,88,0.321,0.289
1985-06-23T05:00,,27.3,86,0.319,0.289
1985-06-23T06:00,,27.9,82,0.317,0.289
1985-06-23T07:00,,28.9,77,0.314,0.289
1985-06-23T08:00,,28.9,79,0.312,0.288
1985-06-23T09:00,,28.9,78,0.31,0.288
1985-06-23T10:00,,28.1,82,0.311,0.287
1985-06-23T11:00,,27.8,84,0.311,0.287
1985-06-23T12:00,,27.3,86,0.312,0.287
1985-06-23T13:00,,27.2,86,0.311,0.287
1985-06-23T14:00,,26.8,88,0.31,0.287
1985-06-23T15:00,,26.6,89,0.31,0.287
1985-06-23T16:00,,26.4,90,0.31,0.287
1985-06-23T17:00,,26.3,91,0.311,0.287
1985-06-23T18:00,,26.1,91,0.313,0.287
1985-06-23T19:00,,26.6,87,0.313,0.287
1985-06-23T20:00,,26.5,89,0.313,0.287
1985-06-23T21:00,,26.1,91,0.315,0.288
1985-06-23T22:00,,26.1,91,0.316,0.288
1985-06-23T23:00,,26.0,92,0.316,0.288
