time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.0,90,0.26,0.272
1985-06-21T01:00,,21.8,91,0.26,0.272
1985-06-21T02:00,,22.9,84,0.26,0.272
1985-06-21T03:00,,24.4,74,0.26,0.272
1985-06-21T04:00,,25.8,66,0.26,0.272
1985-06-21T05:00,,28.0,57,0.26,0.272
1985-06-21T06:00,,29.0,53,0.26,0.272
1985-06-21T07:00,,31.1,43,0.259,0.272
1985-06-21T08:00,,31.7,41,0.259,0.272
1985-06-21T09:00,,31.6,41,0.258,0.272
1985-06-21T10:00,,30.4,46,0.263,0.272
1985-06-21T11:00,,28.8,55,0.266,0.272
1985-06-21T12:00,,27.4,62,0.267,0.272
1985-06-21T13:00,,26.3,68,0.267,0.272
1985-06-21T14:00,,25.1,74,0.266,0.272
1985-06-21T15:00,,24.2,79,0.266,0.272
1985-06-21T16:00,,23.5,84,0.266,0.272
1985-06-21T17:00,,23.0,87,0.266,0.272
1985-06-21T18:00,,22.6,89,0.266,0.272
1985-06-21T19:00,,22.6,88,0.266,0.272
1985-06-21T20:00,,22.6,88,0.266,0.272
1985-06-21T21:00,,22.3,90,0.266,0.272
1985-06-21T22:00,,22.1,91,0.266,0.272
1985-06-21T23:00,,22.1,90,0.266,0.272
1985-06-22T00:00,,21.8,92,0.266,0.272
1985-06-22T01:00,,22.0,90,0.266,0.272
1985-06-22T02:00,,22.9,84,0.266,0.272
1985-06-22T03:00,,24.6,73,0.266,0.272
1985-06-22T04:00,,26.3,64,0.266,0.272
1985-06-22T05:00,,27.6,58,0.266,0.272
1985-06-22T06:00,,28.6,55,0.267,0.272
1985-06-22T07:00,,30.3,49,0.267,0.272
1985-06-22T08:00,,31.4,46,0.266,0.272
1985-06-22T09:00,,30.8,49,0.267,0.272
1985-06-22T10:00,,29.9,54,0.27,0.272
1985-06-22T11:00,,29.2,57,0.272,0.272
1985-06-22T12:00,,27.3,65,0.276,0.272
1985-06-22T13:00,,26.4,68,0.276,0.272
1985-06-22T14:00,,25.2,74,0.276,0.272
1985-06-22T15:00,,24.0,80,0.276,0.272
1985-06-22T16:00,,23.1,86,0.276,0.272
1985-06-22T17:00,,22.8,87,0.276,0.272
1985-06-22T18:00,,22.7,87,0.276,0.272
1985-06-22T19:00,,22.4,90,0.276,0.272
1985-06-22T20:00,,22.3,90,0.275,0.272
1985-06-22T21:00,,22.1,91,0.275,0.272
1985-06-22T22:00,,22.0,91,0.275,0.272
1985-06-22T23:00,,22.0,91,0.275,0.272
1985-06-23T00:00,,22.1,90,0.275,0.272
1985-06-23T01:00,,22.1,90,0.275,0.272
1985-06-23T02:00,,23.2,83,0.275,0.272
1985-06-23T03:00,,24.9,73,0.275,0.272
1985-06-23T04:00,,26.6,64,0.275,0.272
1985-06-23T05:00,,28.3,57,0.275,0.272
1985-06-23T06:00,,29.7,52,0.274,0.272
1985-06-23T07:00,,32.1,41,0.273,0.272
1985-06-23T08:00,,32.9,39,0.272,0.272
1985-06-23T09:00,,33.1,39,0.271,0.272
1985-06-23T10:00,,31.9,42,0.273,0.272
1985-06-23T11:00,,31.3,44,0.273,0.272
1985-06-23T12:00,,30.1,49,0.273,0.272
1985-06-23T13:00,,28.5,57,0.273,0.272
1985-06-23T14:00,,26.6,68,0.273,0.272
1985-06-23T15:00,,25.2,77,0.273,0.272
1985-06-23T16:00,,24.2,82,0.272,0.272
1985-06-23T17:00,,23.6,86,0.272,0.272
1985-06-23T18:00,,23.1,88,0.272,0.272
1985-06-23T19:00,,23.2,87,0.272,0.272
1985-06-23T20:00,,23.0,87,0.272,0.272
1985-06-23T21:00,,22.7,88,0.272,0.272
1985-06-23T22:00,,22.6,89,0.272,0.272
1985-06-23T23:00,,22.5,89,0.272,0.272
