time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,24.2,98,0.346,0.279
1985-06-21T01:00,,24.1,98,0.345,0.279
1985-06-21T02:00,,24.5,95,0.345,0.279
1985-06-21T03:00,,25.0,93,0.346,0.28
1985-06-21T04:00,,26.1,91,0.346,0.28
1985-06-21T05:00,,27.1,88,0.345,0.28
1985-06-21T06:00,,28.6,82,0.343,0.28
1985-06-21T07:00,,29.2,78,0.341,0.28
1985-06-21T08:00,,29.7,76,0.34,0.28
1985-06-21T09:00,,30.4,72,0.338,0.28
1985-06-21T10:00,,28.7,74,0.339,0.28
1985-06-21T11:00,,29.1,71,0.34,0.28
1985-06-21T12:00,,28.2,76,0.34,0.281
1985-06-21T13:00,,27.4,78,0.34,0.281
1985-06-21T14:00,,26.4,84,0.34,0.281
1985-06-21T15:00,,25.7,89,0.34,0.281
1985-06-21T16:00,,25.6,89,0.339,0.281
1985-06-21T17:00,,25.4,91,0.339,0.282
1985-06-21T18:00,,25.2,92,0.339,0.282
1985-06-21T19:00,,24.8,94,0.339,0.282
1985-06-21T20:00,,24.5,95,0.338,0.282
1985-06-21T21:00,,24.4,96,0.338,0.283
1985-06-21T22:00,,24.2,97,0.337,0.283
1985-06-21T23:00,,24.2,96,0.337,0.283
1985-06-22T00:00,,24.2,96,0.337,0.283
1985-06-22T01:00,,24.2,95,0.339,0.283
1985-06-22T02:00,,24.3,95,0.341,0.284
1985-06-22T03:00,,24.8,92,0.342,0.284
1985-06-22T04:00,,25.8,86,0.343,0.284
1985-06-22T05:00,,27.0,80,0.342,0.284
1985-06-22T06:00,,28.7,77,0.339,0.284
1985-06-22T07:00,,30.1,71,0.337,0.284
1985-06-22T08:00,,30.6,71,0.335,0.284
1985-06-22T09:00,,27.8,80,0.339,0.284
1985-06-22T10:00,,28.0,80,0.342,0.284
1985-06-22T11:00,,28.6,76,0.342,0.284
1985-06-22T12:00,,27.6,80,0.342,0.285
1985-06-22T13:00,,26.3,83,0.344,0.285
1985-06-22T14:00,,25.8,86,0.344,0.285
1985-06-22T15:00,,25.4,89,0.343,0.285
1985-06-22T16:00,,25.5,88,0.343,0.285
1985-06-22T17:00,,25.2,90,0.343,0.286
1985-06-22T18:00,,25.1,91,0.343,0.286
1985-06-22T19:00,,24.9,94,0.343,0.286
1985-06-22T20:00,,24.9,94,0.342,0.286
1985-06-22T21:00,,24.7,96,0.342,0.287
1985-06-22T22:00,,24.4,98,0.343,0.287
1985-06-22T23:00,,24.4,97,0.342,0.287
1985-06-23T00:00,,24.3,98,0.342,0.287
1985-06-23T01:00,,24.3,98,0.341,0.287
1985-06-23T02:00,,24.6,96,0.341,0.288
1985-06-23T03:00,,25.4,91,0.341,0.288
1985-06-23T04:00,,26.4,85,0.341,0.288
1985-06-23T05:00,,27.6,78,0.342,0.288
1985-06-23T06:00,,28.7,76,0.341,0.288
1985-06-23T07:00,,30.2,65,0.339,0.288
1985-06-23T08:00,,30.4,66,0.34,0.288
1985-06-23T09:00,,29.6,71,0.344,0.288
1985-06-23T10:00,,29.4,73,0.355,0.289
1985-06-23T11:00,,28.9,74,0.366,0.289
1985-06-23T12:00,,27.8,80,0.38,0.289
1985-06-23T13:00,,27.4,82,0.378,0.29
1985-06-23T14:00,,26.7,86,0.377,0.291
1985-06-23T15:00,,26.2,90,0.375,0.292
1985-06-23T16:00,,25.7,92,0.374,0.292
1985-06-23T17:00,,25.5,93,0.372,0.293
1985-06-23T18:00,,25.4,94,0.371,0.294
1985-06-23T19:00,,26.0,92,0.369,0.294
1985-06-23T20:00,,25.8,92,0.368,0.295
1985-06-23T21:00,,25.7,93,0.367,0.295
1985-06-23T22:00,,25.5,93,0.366,0.296
1985-06-23T23:00,,25.3,94,0.365,0.296
