time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.6,95,0.277,0.221
1985-06-21T01:00,,21.9,93,0.277,0.221
1985-06-21T02:00,,22.4,89,0.277,0.221
1985-06-21T03:00,,24.1,77,0.276,0.221
1985-06-21T04:00,,25.8,68,0.276,0.221
1985-06-21T05:00,,27.5,59,0.274,0.221
1985-06-21T06:00,,28.2,57,0.273,0.221
1985-06-21T07:00,,29.5,50,0.272,0.221
1985-06-21T08:00,,27.9,59,0.28,0.221
1985-06-21T09:00,,27.2,66,0.287,0.221
1985-06-21T10:00,,27.2,66,0.289,0.221
1985-06-21T11:00,,27.2,63,0.289,0.221
1985-06-21T12:00,,26.3,67,0.288,0.221
1985-06-21T13:00,,25.2,73,0.288,0.221
1985-06-21T14:00,,23.9,81,0.287,0.221
1985-06-21T15:00,,23.0,87,0.287,0.221
1985-06-21T16:00,,22.8,89,0.287,0.221
1985-06-21T17:00,,22.5,91,0.287,0.221
1985-06-21T18:00,,22.3,93,0.287,0.221
1985-06-21T19:00,,22.1,93,0.287,0.221
1985-06-21T20:00,,22.0,93,0.287,0.221
1985-06-21T21:00,,21.9,94,0.287,0.221
1985-06-21T22:00,,21.8,95,0.286,0.221
1985-06-21T23:00,,21.9,94,0.286,0.222
1985-06-22T00:00,,21.8,95,0.287,0.222
1985-06-22T01:00,,21.8,95,0.287,0.222
1985-06-22T02:00,,22.1,93,0.287,0.222
1985-06-22T03:00,,22.9,86,0.287,0.222
1985-06-22T04:00,,23.9,79,0.286,0.222
1985-06-22T05:00,,25.8,69,0.285,0.222
1985-06-22T06:00,,27.7,61,0.284,0.222
1985-06-22T07:00,,29.6,54,0.282,0.222
1985-06-22T08:00,,29.6,55,0.281,0.221
1985-06-22T09:00,,27.8,63,0.287,0.221
1985-06-22T10:00,,27.8,62,0.289,0.221
1985-06-22T11:00,,26.9,66,0.289,0.221
1985-06-22T12:00,,25.1,75,0.289,0.222
1985-06-22T13:00,,24.4,79,0.288,0.222
1985-06-22T14:00,,23.4,84,0.288,0.222
1985-06-22T15:00,,22.8,87,0.288,0.222
1985-06-22T16:00,,22.6,88,0.288,0.222
1985-06-22T17:00,,22.3,90,0.288,0.222
1985-06-22T18:00,,22.3,90,0.288,0.222
1985-06-22T19:00,,22.2,92,0.288,0.222
1985-06-22T20:00,,22.1,93,0.287,0.222
1985-06-22T21:00,,21.9,93,0.287,0.222
1985-06-22T22:00,,21.8,94,0.287,0.222
1985-06-22T23:00,,21.7,94,0.287,0.222
1985-06-23T00:00,,21.8,94,0.287,0.222
1985-06-23T01:00,,21.8,94,0.287,0.222
1985-06-23T02:00,,22.7,87,0.287,0.222
1985-06-23T03:00,,24.4,76,0.286,0.222
1985-06-23T04:00,,25.6,70,0.286,0.222
1985-06-23T05:00,,26.4,68,0.287,0.222
1985-06-23T06:00,,27.3,64,0.286,0.222
1985-06-23T07:00,,29.7,52,0.284,0.222
1985-06-23T08:00,,30.6,50,0.282,0.222
1985-06-23T09:00,,30.2,52,0.281,0.222
1985-06-23T10:00,,28.3,61,0.286,0.222
1985-06-23T11:00,,27.5,65,0.29,0.222
1985-06-23T12:00,,26.0,73,0.29,0.222
1985-06-23T13:00,,25.1,77,0.289,0.222
1985-06-23T14:00,,24.0,83,0.289,0.222
1985-06-23T15:00,,23.2,87,0.289,0.222
1985-06-23T16:00,,22.9,90,0.289,0.222
1985-06-23T17:00,,22.6,91,0.289,0.222
1985-06-23T18:00,,22.5,92,0.288,0.222
1985-06-23T19:00,,22.8,91,0.288,0.222
1985-06-23T20:00,,22.7,91,0.288,0.222
1985-06-23T21:00,,22.7,92,0.288,0.222
1985-06-23T22:00,,22.7,91,0.288,0.222
1985-06-23T23:00,,22.7,91,0.288,0.222
