time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.3,97,0.5,0.488
1985-06-21T01:00,,22.3,96,0.5,0.488
1985-06-21T02:00,,22.5,95,0.499,0.488
1985-06-21T03:00,,23.2,92,0.499,0.488
1985-06-21T04:00,,24.1,91,0.497,0.488
1985-06-21T05:00,,25.2,89,0.495,0.487
1985-06-21T06:00,,26.1,83,0.493,0.487
1985-06-21T07:00,,26.3,83,0.491,0.486
1985-06-21T08:00,,26.9,81,0.489,0.485
1985-06-21T09:00,,26.3,82,0.487,0.484
1985-06-21T10:00,,26.3,83,0.486,0.483
1985-06-21T11:00,,24.7,86,0.493,0.483
1985-06-21T12:00,,24.7,85,0.493,0.482
1985-06-21T13:00,,24.1,87,0.493,0.482
1985-06-21T14:00,,23.5,88,0.495,0.482
1985-06-21T15:00,,23.2,90,0.498,0.482
1985-06-21T16:00,,22.9,94,0.499,0.483
1985-06-21T17:00,,23.0,92,0.5,0.483
1985-06-21T18:00,,23.0,92,0.5,0.483
1985-06-21T19:00,,22.3,95,0.5,0.484
1985-06-21T20:00,,22.4,95,0.501,0.484
1985-06-21T21:00,,22.4,93,0.5,0.484
1985-06-21T22:00,,22.3,95,0.499,0.484
1985-06-21T23:00,,22.2,95,0.499,0.485
1985-06-22T00:00,,22.2,93,0.499,0.485
1985-06-22T01:00,,22.3,93,0.499,0.485
1985-06-22T02:00,,22.6,92,0.498,0.485
1985-06-22T03:00,,23.0,90,0.499,0.485
1985-06-22T04:00,,23.4,89,0.499,0.485
1985-06-22T05:00,,24.6,82,0.497,0.485
1985-06-22T06:00,,25.5,81,0.495,0.485
1985-06-22T07:00,,26.8,77,0.493,0.484
1985-06-22T08:00,,27.3,75,0.491,0.484
1985-06-22T09:00,,25.4,82,0.498,0.483
1985-06-22T10:00,,24.2,86,0.508,0.484
1985-06-22T11:00,,24.4,89,0.506,0.485
1985-06-22T12:00,,24.3,86,0.509,0.486
1985-06-22T13:00,,23.5,89,0.507,0.487
1985-06-22T14:00,,22.9,94,0.507,0.488
1985-06-22T15:00,,22.8,94,0.505,0.488
1985-06-22T16:00,,22.8,94,0.502,0.489
1985-06-22T17:00,,22.8,95,0.5,0.489
1985-06-22T18:00,,22.7,96,0.499,0.489
1985-06-22T19:00,,22.9,96,0.498,0.489
1985-06-22T20:00,,22.8,94,0.497,0.488
1985-06-22T21:00,,22.7,95,0.498,0.488
1985-06-22T22:00,,22.5,96,0.498,0.488
1985-06-22T23:00,,22.6,96,0.496,0.488
1985-06-23T00:00,,22.4,96,0.496,0.488
1985-06-23T01:00,,22.4,96,0.495,0.487
1985-06-23T02:00,,22.8,94,0.495,0.487
1985-06-23T03:00,,23.7,89,0.495,0.487
1985-06-23T04:00,,24.6,84,0.494,0.487
1985-06-23T05:00,,25.4,83,0.493,0.486
1985-06-23T06:00,,26.2,79,0.491,0.485
1985-06-23T07:00,,26.7,76,0.491,0.485
1985-06-23T08:00,,27.0,79,0.489,0.484
1985-06-23T09:00,,26.8,82,0.488,0.483
1985-06-23T10:00,,26.6,81,0.489,0.483
1985-06-23T11:00,,24.9,83,0.502,0.482
1985-06-23T12:00,,24.5,86,0.503,0.483
1985-06-23T13:00,,24.2,88,0.505,0.484
1985-06-23T14:00,,24.0,89,0.501,0.484
1985-06-23T15:00,,23.6,92,0.499,0.485
1985-06-23T16:00,,23.4,93,0.497,0.485
1985-06-23T17:00,,23.3,94,0.496,0.485
1985-06-23T18:00,,23.3,94,0.494,0.485
1985-06-23T19:00,,23.6,93,0.494,0.485
1985-06-23T20:00,,23.4,93,0.495,0.484
1985-06-23T21:00,,23.1,94,0.496,0.484
1985-06-23T22:00,,23.1,94,0.496,0.484
1985-06-23T23:00,,23.1,95,0.496,0.484
