time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.1,98,0.51,0.506
1985-06-21T01:00,,22.2,98,0.509,0.506
1985-06-21T02:00,,22.6,95,0.511,0.506
1985-06-21T03:00,,23.0,91,0.512,0.507
1985-06-21T04:00,,23.7,91,0.51,0.507
1985-06-21T05:00,,25.1,87,0.507,0.507
1985-06-21T06:00,,26.2,79,0.505,0.506
1985-06-21T07:00,,26.7,84,0.503,0.506
1985-06-21T08:00,,27.3,83,0.501,0.505
1985-06-21T09:00,,25.3,82,0.504,0.504
1985-06-21T10:00,,25.5,85,0.504,0.504
1985-06-21T11:00,,25.2,87,0.503,0.504
1985-06-21T12:00,,24.0,88,0.507,0.504
1985-06-21T13:00,,23.5,92,0.506,0.504
1985-06-21T14:00,,23.0,93,0.507,0.504
1985-06-21T15:00,,22.8,94,0.508,0.504
1985-06-21T16:00,,22.6,95,0.509,0.504
1985-06-21T17:00,,22.5,96,0.509,0.505
1985-06-21T18:00,,22.4,96,0.51,0.505
1985-06-21T19:00,,22.4,95,0.511,0.506
1985-06-21T20:00,,22.3,96,0.509,0.506
1985-06-21T21:00,,22.2,97,0.509,0.506
1985-06-21T22:00,,22.4,95,0.512,0.506
1985-06-21T23:00,,22.1,96,0.514,0.507
1985-06-22T00:00,,22.0,97,0.515,0.508
1985-06-22T01:00,,22.1,96,0.514,0.509
1985-06-22T02:00,,22.5,95,0.513,0.51
1985-06-22T03:00,,23.1,91,0.514,0.51
1985-06-22T04:00,,23.6,87,0.512,0.511
1985-06-22T05:00,,25.0,81,0.51,0.51
1985-06-22T06:00,,25.9,80,0.508,0.51
1985-06-22T07:00,,26.8,77,0.505,0.509
1985-06-22T08:00,,26.6,79,0.505,0.508
1985-06-22T09:00,,25.0,82,0.518,0.508
1985-06-22T10:00,,24.9,88,0.492,0.513
1985-06-22T11:00,,24.6,83,0.475,0.503
1985-06-22T12:00,,23.9,89,0.485,0.503
1985-06-22T13:00,,23.5,90,0.447,0.508
1985-06-22T14:00,,23.1,91,0.415,0.489
1985-06-22T15:00,,22.9,94,0.422,0.488
1985-06-22T16:00,,22.4,97,0.429,0.486
1985-06-22T17:00,,22.5,95,0.436,0.485
1985-06-22T18:00,,22.4,96,0.44,0.484
1985-06-22T19:00,,22.5,96,0.442,0.483
1985-06-22T20:00,,22.4,97,0.445,0.482
1985-06-22T21:00,,22.2,98,0.447,0.482
1985-06-22T22:00,,22.3,98,0.449,0.481
1985-06-22T23:00,,22.1,97,0.451,0.48
1985-06-23T00:00,,22.0,98,0.455,0.48
1985-06-23T01:00,,22.2,98,0.459,0.479
1985-06-23T02:00,,22.7,96,0.462,0.479
1985-06-23T03:00,,23.9,89,0.463,0.478
1985-06-23T04:00,,25.4,83,0.464,0.478
1985-06-23T05:00,,26.2,80,0.464,0.477
1985-06-23T06:00,,26.5,78,0.494,0.477
1985-06-23T07:00,,26.7,79,0.489,0.478
1985-06-23T08:00,,26.7,81,0.488,0.478
1985-06-23T09:00,,25.9,82,0.49,0.478
1985-06-23T10:00,,25.9,85,0.491,0.478
1985-06-23T11:00,,25.1,88,0.492,0.478
1985-06-23T12:00,,24.9,85,0.51,0.479
1985-06-23T13:00,,23.7,91,0.482,0.49
1985-06-23T14:00,,23.1,95,0.482,0.489
1985-06-23T15:00,,22.8,96,0.483,0.489
1985-06-23T16:00,,22.9,96,0.483,0.489
1985-06-23T17:00,,22.8,96,0.482,0.489
1985-06-23T18:00,,22.9,96,0.482,0.488
1985-06-23T19:00,,22.9,96,0.484,0.488
1985-06-23T20:00,,23.0,96,0.485,0.488
1985-06-23T21:00,,22.8,96,0.489,0.488
1985-06-23T22:00,,22.7,97,0.497,0.488
1985-06-23T23:00,,22.7,96,0.501,0.489
