time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,21.4,92,0.382,0.369
1985-06-21T01:00,,21.5,92,0.382,0.369
1985-06-21T02:00,,22.4,85,0.382,0.369
1985-06-21T03:00,,23.9,76,0.382,0.368
1985-06-21T04:00,,25.5,68,0.38,0.368
1985-06-21T05:00,,26.9,62,0.378,0.368
1985-06-21T06:00,,27.8,58,0.377,0.367
1985-06-21T07:00,,29.1,51,0.375,0.366
1985-06-21T08:00,,29.2,52,0.373,0.365
1985-06-21T09:00,,29.1,53,0.372,0.365
1985-06-21T10:00,,28.5,56,0.373,0.364
1985-06-21T11:00,,27.8,60,0.373,0.364
1985-06-21T12:00,,26.4,66,0.372,0.364
1985-06-21T13:00,,25.3,71,0.371,0.364
1985-06-21T14:00,,24.2,76,0.371,0.364
1985-06-21T15:00,,23.1,82,0.371,0.364
1985-06-21T16:00,,22.7,85,0.371,0.364
1985-06-21T17:00,,22.3,88,0.371,0.364
1985-06-21T18:00,,22.2,89,0.371,0.363
1985-06-21T19:00,,22.0,90,0.371,0.363
1985-06-21T20:00,,21.8,91,0.371,0.363
1985-06-21T21:00,,21.5,93,0.371,0.363
1985-06-21T22:00,,21.5,93,0.371,0.363
1985-06-21T23:00,,21.4,93,0.371,0.363
1985-06-22T00:00,,21.5,92,0.371,0.363
1985-06-22T01:00,,21.7,92,0.371,0.363
1985-06-22T02:00,,22.5,87,0.372,0.363
1985-06-22T03:00,,23.5,81,0.372,0.363
1985-06-22T04:00,,24.8,73,0.371,0.363
1985-06-22T05:00,,26.2,65,0.369,0.363
1985-06-22T06:00,,27.4,61,0.368,0.362
1985-06-22T07:00,,28.5,57,0.366,0.361
1985-06-22T08:00,,29.2,56,0.364,0.361
1985-06-22T09:00,,28.8,58,0.363,0.36
1985-06-22T10:00,,27.0,64,0.366,0.36
1985-06-22T11:00,,26.3,67,0.366,0.359
1985-06-22T12:00,,25.7,70,0.366,0.359
1985-06-22T13:00,,24.8,74,0.365,0.359
1985-06-22T14:00,,23.7,79,0.365,0.359
1985-06-22T15:00,,23.1,83,0.365,0.359
1985-06-22T16:00,,22.7,86,0.365,0.359
1985-06-22T17:00,,22.3,88,0.365,0.359
1985-06-22T18:00,,22.1,90,0.365,0.359
1985-06-22T19:00,,21.9,91,0.365,0.359
1985-06-22T20:00,,21.9,91,0.365,0.359
1985-06-22T21:00,,21.9,91,0.365,0.359
1985-06-22T22:00,,21.7,92,0.365,0.359
1985-06-22T23:00,,21.7,92,0.365,0.359
1985-06-23T00:00,,21.6,92,0.365,0.359
1985-06-23T01:00,,21.5,93,0.365,0.359
1985-06-23T02:00,,22.5,86,0.365,0.359
1985-06-23T03:00,,24.1,76,0.364,0.359
1985-06-23T04:00,,25.3,70,0.363,0.358
1985-06-23T05:00,,26.8,64,0.362,0.358
1985-06-23T06:00,,27.0,63,0.362,0.358
1985-06-23T07:00,,28.8,54,0.36,0.357
1985-06-23T08:00,,29.8,51,0.358,0.356
1985-06-23T09:00,,29.8,52,0.357,0.356
1985-06-23T10:00,,29.0,55,0.356,0.355
1985-06-23T11:00,,27.3,63,0.356,0.355
1985-06-23T12:00,,25.7,73,0.356,0.355
1985-06-23T13:00,,24.7,77,0.356,0.355
1985-06-23T14:00,,23.8,81,0.356,0.355
1985-06-23T15:00,,23.1,84,0.356,0.355
1985-06-23T16:00,,22.6,87,0.356,0.355
1985-06-23T17:00,,22.4,89,0.356,0.355
1985-06-23T18:00,,22.3,89,0.356,0.355
1985-06-23T19:00,,22.5,91,0.356,0.354
1985-06-23T20:00,,22.4,91,0.356,0.354
1985-06-23T21:00,,22.3,91,0.356,0.354
1985-06-23T22:00,,22.2,91,0.356,0.354
1985-06-23T23:00,,22.2,91,0.356,0.354
