time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,20.6,89,0.225,0.186
1985-06-21T01:00,,20.8,88,0.225,0.186
1985-06-21T02:00,,21.4,84,0.225,0.186
1985-06-21T03:00,,22.7,76,0.224,0.186
1985-06-21T04:00,,24.5,67,0.223,0.185
1985-06-21T05:00,,26.0,59,0.221,0.185
1985-06-21T06:00,,27.1,55,0.219,0.185
1985-06-21T07:00,,28.1,50,0.217,0.185
1985-06-21T08:00,,28.6,49,0.215,0.184
1985-06-21T09:00,,27.6,53,0.214,0.184
1985-06-21T10:00,,27.3,56,0.215,0.184
1985-06-21T11:00,,26.3,60,0.214,0.184
1985-06-21T12:00,,25.2,64,0.214,0.184
1985-06-21T13:00,,24.0,70,0.213,0.184
1985-06-21T14:00,,22.7,78,0.213,0.184
1985-06-21T15:00,,21.8,83,0.213,0.184
1985-06-21T16:00,,21.4,86,0.212,0.184
1985-06-21T17:00,,21.1,89,0.212,0.184
1985-06-21T18:00,,20.8,91,0.212,0.184
1985-06-21T19:00,,20.9,89,0.212,0.184
1985-06-21T20:00,,20.7,90,0.212,0.184
1985-06-21T21:00,,20.5,91,0.212,0.184
1985-06-21T22:00,,20.5,91,0.212,0.184
1985-06-21T23:00,,20.3,92,0.212,0.184
1985-06-22T00:00,,20.5,91,0.212,0.184
1985-06-22T01:00,,20.5,91,0.212,0.184
1985-06-22T02:00,,21.1,87,0.212,0.184
1985-06-22T03:00,,22.4,78,0.211,0.184
1985-06-22T04:00,,23.7,71,0.211,0.184
1985-06-22T05:00,,25.2,63,0.209,0.184
1985-06-22T06:00,,26.8,58,0.208,0.183
1985-06-22T07:00,,28.3,53,0.206,0.183
1985-06-22T08:00,,28.6,52,0.205,0.183
1985-06-22T09:00,,27.6,56,0.206,0.183
1985-06-22T10:00,,26.0,63,0.213,0.183
1985-06-22T11:00,,25.3,66,0.215,0.183
1985-06-22T12:00,,24.3,70,0.215,0.183
1985-06-22T13:00,,23.4,74,0.214,0.183
1985-06-22T14:00,,22.2,80,0.214,0.183
1985-06-22T15:00,,21.7,83,0.214,0.183
1985-06-22T16:00,,21.5,85,0.214,0.183
1985-06-22T17:00,,21.2,87,0.214,0.183
1985-06-22T18:00,,20.9,89,0.214,0.183
1985-06-22T19:00,,20.9,90,0.213,0.183
1985-06-22T20:00,,20.8,90,0.213,0.183
1985-06-22T21:00,,20.7,91,0.213,0.183
1985-06-22T22:00,,20.4,92,0.213,0.183
1985-06-22T23:00,,20.4,92,0.213,0.183
1985-06-23T00:00,,20.3,93,0.213,0.183
1985-06-23T01:00,,20.3,93,0.213,0.183
1985-06-23T02:00,,21.3,85,0.212,0.183
1985-06-23T03:00,,23.1,74,0.212,0.183
1985-06-23T04:00,,24.5,68,0.211,0.183
1985-06-23T05:00,,26.2,60,0.21,0.182
1985-06-23T06:00,,26.3,60,0.209,0.182
1985-06-23T07:00,,28.3,51,0.207,0.182
1985-06-23T08:00,,29.0,49,0.205,0.182
1985-06-23T09:00,,28.7,50,0.204,0.181
1985-06-23T10:00,,27.6,56,0.204,0.181
1985-06-23T11:00,,25.8,64,0.206,0.181
1985-06-23T12:00,,24.5,71,0.206,0.181
1985-06-23T13:00,,23.5,75,0.205,0.181
1985-06-23T14:00,,22.7,80,0.205,0.181
1985-06-23T15:00,,22.1,83,0.205,0.181
1985-06-23T16:00,,21.7,85,0.205,0.181
1985-06-23T17:00,,21.4,87,0.205,0.181
1985-06-23T18:00,,21.2,88,0.205,0.181
1985-06-23T19:00,,21.1,91,0.205,0.181
1985-06-23T20:00,,21.1,90,0.204,0.181
1985-06-23T21:00,,21.0,90,0.204,0.181
1985-06-23T22:00,,20.9,90,0.204,0.181
1985-06-23T23:00,,21.1,89,0.204,0.181
