time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.8,96,0.425,0.425
1985-06-21T01:00,,23.1,95,0.425,0.425
1985-06-21T02:00,,23.2,96,0.428,0.425
1985-06-21T03:00,,23.2,91,0.43,0.426
1985-06-21T04:00,,23.8,92,0.424,0.428
1985-06-21T05:00,,25.1,84,0.424,0.427
1985-06-21T06:00,,25.2,85,0.425,0.426
1985-06-21T07:00,,26.6,81,0.422,0.425
1985-06-21T08:00,,26.4,83,0.42,0.424
1985-06-21T09:00,,25.8,85,0.421,0.423
1985-06-21T10:00,,25.7,86,0.421,0.423
1985-06-21T11:00,,24.7,85,0.425,0.423
1985-06-21T12:00,,24.2,86,0.429,0.423
1985-06-21T13:00,,23.4,92,0.427,0.425
1985-06-21T14:00,,23.1,94,0.427,0.426
1985-06-21T15:00,,23.1,94,0.426,0.426
1985-06-21T16:00,,23.0,95,0.426,0.425
1985-06-21T17:00,,23.0,94,0.428,0.425
1985-06-21T18:00,,22.8,95,0.428,0.426
1985-06-21T19:00,,22.8,94,0.427,0.426
1985-06-21T20:00,,22.9,93,0.426,0.426
1985-06-21T21:00,,22.8,94,0.427,0.426
1985-06-21T22:00,,22.5,94,0.428,0.426
1985-06-21T23:00,,22.7,94,0.427,0.426
1985-06-22T00:00,,22.5,96,0.429,0.426
1985-06-22T01:00,,22.7,94,0.43,0.427
1985-06-22T02:00,,22.8,92,0.428,0.429
1985-06-22T03:00,,23.2,90,0.426,0.428
1985-06-22T04:00,,23.9,88,0.425,0.427
1985-06-22T05:00,,24.5,88,0.425,0.426
1985-06-22T06:00,,25.3,84,0.428,0.426
1985-06-22T07:00,,25.6,81,0.428,0.427
1985-06-22T08:00,,25.6,85,0.428,0.427
1985-06-22T09:00,,25.1,84,0.429,0.427
1985-06-22T10:00,,25.1,89,0.428,0.428
1985-06-22T11:00,,24.8,85,0.429,0.429
1985-06-22T12:00,,24.1,88,0.43,0.429
1985-06-22T13:00,,23.5,93,0.428,0.429
1985-06-22T14:00,,23.1,96,0.427,0.429
1985-06-22T15:00,,23.1,95,0.43,0.429
1985-06-22T16:00,,22.9,96,0.427,0.429
1985-06-22T17:00,,23.0,95,0.426,0.428
1985-06-22T18:00,,22.9,95,0.428,0.428
1985-06-22T19:00,,23.1,95,0.427,0.428
1985-06-22T20:00,,23.0,96,0.425,0.427
1985-06-22T21:00,,22.8,96,0.425,0.427
1985-06-22T22:00,,22.8,94,0.427,0.426
1985-06-22T23:00,,23.1,93,0.427,0.426
1985-06-23T00:00,,22.7,95,0.43,0.428
1985-06-23T01:00,,22.7,96,0.428,0.43
1985-06-23T02:00,,23.2,95,0.425,0.428
1985-06-23T03:00,,23.8,94,0.425,0.427
1985-06-23T04:00,,24.4,91,0.43,0.429
1985-06-23T05:00,,25.1,86,0.428,0.429
1985-06-23T06:00,,25.3,86,0.43,0.43
1985-06-23T07:00,,26.3,86,0.422,0.427
1985-06-23T08:00,,25.7,82,0.43,0.428
1985-06-23T09:00,,25.3,88,0.426,0.429
1985-06-23T10:00,,25.7,83,0.428,0.428
1985-06-23T11:00,,24.0,92,0.43,0.43
1985-06-23T12:00,,23.9,96,0.425,0.428
1985-06-23T13:00,,23.5,91,0.43,0.429
1985-06-23T14:00,,23.3,94,0.429,0.43
1985-06-23T15:00,,23.1,94,0.424,0.428
1985-06-23T16:00,,23.1,94,0.426,0.428
1985-06-23T17:00,,23.0,95,0.425,0.427
1985-06-23T18:00,,23.2,94,0.426,0.427
1985-06-23T19:00,,23.3,92,0.428,0.427
1985-06-23T20:00,,23.0,94,0.43,0.428
1985-06-23T21:00,,23.1,94,0.427,0.429
1985-06-23T22:00,,23.1,93,0.428,0.428
1985-06-23T23:00,,23.1,94,0.43,0.429
