time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.2,82,0.332,0.303
1985-06-21T01:00,,23.5,80,0.332,0.303
1985-06-21T02:00,,24.3,75,0.332,0.303
1985-06-21T03:00,,25.8,67,0.331,0.302
1985-06-21T04:00,,27.9,57,0.33,0.302
1985-06-21T05:00,,29.8,49,0.329,0.302
1985-06-21T06:00,,31.6,43,0.327,0.302
1985-06-21T07:00,,33.0,37,0.324,0.301
1985-06-21T08:00,,34.1,33,0.322,0.301
1985-06-21T09:00,,35.0,30,0.32,0.301
1985-06-21T10:00,,35.0,30,0.318,0.3
1985-06-21T11:00,,33.0,35,0.317,0.3
1985-06-21T12:00,,31.5,39,0.316,0.3
1985-06-21T13:00,,30.6,43,0.316,0.3
1985-06-21T14:00,,29.3,50,0.315,0.3
1985-06-21T15:00,,27.9,57,0.315,0.3
1985-06-21T16:00,,26.6,64,0.315,0.3
1985-06-21T17:00,,25.5,69,0.315,0.3
1985-06-21T18:00,,24.9,73,0.315,0.3
1985-06-21T19:00,,24.6,74,0.315,0.3
1985-06-21T20:00,,24.3,76,0.314,0.3
1985-06-21T21:00,,23.9,77,0.314,0.3
1985-06-21T22:00,,23.7,79,0.314,0.3
1985-06-21T23:00,,23.5,80,0.314,0.3
1985-06-22T00:00,,23.4,80,0.314,0.3
1985-06-22T01:00,,23.5,80,0.314,0.3
1985-06-22T02:00,,24.4,75,0.314,0.3
1985-06-22T03:00,,26.0,65,0.313,0.3
1985-06-22T04:00,,27.7,57,0.313,0.3
1985-06-22T05:00,,29.7,49,0.311,0.3
1985-06-22T06:00,,31.3,45,0.31,0.299
1985-06-22T07:00,,33.4,38,0.308,0.299
1985-06-22T08:00,,34.2,35,0.306,0.299
1985-06-22T09:00,,34.2,35,0.305,0.298
1985-06-22T10:00,,33.9,36,0.304,0.298
1985-06-22T11:00,,33.1,38,0.303,0.298
1985-06-22T12:00,,30.7,47,0.303,0.298
1985-06-22T13:00,,29.5,51,0.303,0.298
1985-06-22T14:00,,28.5,55,0.302,0.298
1985-06-22T15:00,,27.5,60,0.302,0.298
1985-06-22T16:00,,26.6,65,0.302,0.298
1985-06-22T17:00,,25.8,68,0.302,0.298
1985-06-22T18:00,,25.2,71,0.302,0.298
1985-06-22T19:00,,25.0,73,0.302,0.298
1985-06-22T20:00,,24.6,75,0.302,0.298
1985-06-22T21:00,,24.3,76,0.302,0.298
1985-06-22T22:00,,24.2,77,0.301,0.298
1985-06-22T23:00,,24.2,77,0.301,0.298
1985-06-23T00:00,,24.1,77,0.301,0.298
1985-06-23T01:00,,24.1,77,0.301,0.298
1985-06-23T02:00,,24.8,74,0.301,0.298
1985-06-23T03:00,,26.3,66,0.301,0.298
1985-06-23T04:00,,27.7,58,0.3,0.298
1985-06-23T05:00,,30.3,48,0.299,0.297
1985-06-23T06:00,,31.9,43,0.298,0.297
1985-06-23T07:00,,33.9,37,0.297,0.297
1985-06-23T08:00,,34.4,35,0.295,0.297
1985-06-23T09:00,,35.3,33,0.294,0.296
1985-06-23T10:00,,35.8,31,0.293,0.296
1985-06-23T11:00,,35.8,30,0.292,0.296
1985-06-23T12:00,,34.7,32,0.291,0.296
1985-06-23T13:00,,32.1,40,0.291,0.295
1985-06-23T14:00,,29.5,53,0.291,0.295
1985-06-23T15:00,,28.2,60,0.291,0.295
1985-06-23T16:00,,27.2,64,0.291,0.295
1985-06-23T17:00,,26.6,66,0.291,0.295
1985-06-23T18:00,,26.0,68,0.291,0.295
1985-06-23T19:00,,25.9,69,0.29,0.295
1985-06-23T20:00,,25.5,71,0.29,0.295
1985-06-23T21:00,,25.3,72,0.29,0.295
1985-06-23T22:00,,25.1,74,0.29,0.295
1985-06-23T23:00,,25.0,74,0.29,0.295
