time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,23.3,98,0.393,0.341
1985-06-21T01:00,,23.3,98,0.392,0.341
1985-06-21T02:00,,23.6,96,0.39,0.342
1985-06-21T03:00,,24.0,94,0.388,0.342
1985-06-21T04:00,,24.7,89,0.388,0.343
1985-06-21T05:00,,25.5,84,0.387,0.343
1985-06-21T06:00,,27.0,80,0.385,0.343
1985-06-21T07:00,,28.2,75,0.382,0.343
1985-06-21T08:00,,28.4,77,0.38,0.343
1985-06-21T09:00,,29.0,74,0.376,0.342
1985-06-21T10:00,,28.0,75,0.376,0.342
1985-06-21T11:00,,27.2,75,0.376,0.342
1985-06-21T12:00,,26.7,79,0.375,0.342
1985-06-21T13:00,,26.5,79,0.374,0.342
1985-06-21T14:00,,25.5,85,0.374,0.342
1985-06-21T15:00,,24.7,90,0.375,0.342
1985-06-21T16:00,,24.4,94,0.376,0.342
1985-06-21T17:00,,24.1,96,0.377,0.342
1985-06-21T18:00,,24.0,96,0.378,0.342
1985-06-21T19:00,,24.0,95,0.379,0.342
1985-06-21T20:00,,23.7,95,0.38,0.343
1985-06-21T21:00,,23.6,96,0.382,0.343
1985-06-21T22:00,,23.4,97,0.385,0.343
1985-06-21T23:00,,23.4,98,0.386,0.344
1985-06-22T00:00,,23.5,96,0.387,0.344
1985-06-22T01:00,,23.4,96,0.388,0.345
1985-06-22T02:00,,23.5,97,0.389,0.345
1985-06-22T03:00,,24.2,95,0.389,0.345
1985-06-22T04:00,,25.0,91,0.388,0.346
1985-06-22T05:00,,26.3,85,0.386,0.346
1985-06-22T06:00,,27.8,77,0.383,0.346
1985-06-22T07:00,,28.9,70,0.379,0.345
1985-06-22T08:00,,29.7,70,0.375,0.344
1985-06-22T09:00,,28.2,77,0.375,0.344
1985-06-22T10:00,,27.8,78,0.375,0.343
1985-06-22T11:00,,27.5,80,0.375,0.343
1985-06-22T12:00,,26.0,83,0.379,0.343
1985-06-22T13:00,,25.0,87,0.381,0.344
1985-06-22T14:00,,24.5,91,0.381,0.344
1985-06-22T15:00,,24.2,95,0.381,0.344
1985-06-22T16:00,,24.0,96,0.381,0.344
1985-06-22T17:00,,24.0,96,0.382,0.344
1985-06-22T18:00,,24.0,96,0.381,0.345
1985-06-22T19:00,,24.2,95,0.381,0.345
1985-06-22T20:00,,24.1,95,0.38,0.345
1985-06-22T21:00,,24.0,96,0.379,0.345
1985-06-22T22:00,,23.8,97,0.379,0.345
1985-06-22T23:00,,23.8,97,0.379,0.346
1985-06-23T00:00,,23.8,96,0.378,0.346
1985-06-23T01:00,,23.8,96,0.377,0.346
1985-06-23T02:00,,24.1,93,0.376,0.346
1985-06-23T03:00,,24.7,88,0.376,0.346
1985-06-23T04:00,,25.4,86,0.376,0.346
1985-06-23T05:00,,26.4,81,0.376,0.346
1985-06-23T06:00,,27.9,74,0.374,0.345
1985-06-23T07:00,,29.5,66,0.371,0.345
1985-06-23T08:00,,30.1,64,0.368,0.344
1985-06-23T09:00,,29.8,66,0.367,0.343
1985-06-23T10:00,,28.8,70,0.37,0.343
1985-06-23T11:00,,27.9,75,0.373,0.342
1985-06-23T12:00,,27.1,80,0.374,0.342
1985-06-23T13:00,,26.2,83,0.374,0.343
1985-06-23T14:00,,25.6,87,0.374,0.343
1985-06-23T15:00,,25.4,89,0.374,0.343
1985-06-23T16:00,,25.1,91,0.373,0.343
1985-06-23T17:00,,24.9,92,0.372,0.343
1985-06-23T18:00,,24.7,92,0.372,0.343
1985-06-23T19:00,,25.1,93,0.372,0.343
1985-06-23T20:00,,24.8,94,0.373,0.343
1985-06-23T21:00,,24.6,95,0.373,0.343
1985-06-23T22:00,,24.5,96,0.372,0.343
1985-06-23T23:00,,24.5,96,0.372,0.343
