time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,23.8,92,0.423,0.427
1985-10-16T01:00,,23.7,92,0.439,0.426
1985-10-16T02:00,,23.7,91,0.42,0.436
1985-10-16T03:00,,23.8,90,0.422,0.429
1985-10-16T04:00,,23.9,90,0.435,0.428
1985-10-16T05:00,,24.0,91,0.434,0.433
1985-10-16T06:00,,24.1,91,0.421,0.43
1985-10-16T07:00,,24.1,92,0.437,0.429
1985-10-16T08:00,,24.2,92,0.433,0.432
1985-10-16T09:00,,24.3,92,0.416,0.434
1985-10-16T10:00,,24.4,92,0.412,0.424
1985-10-16T11:00,,24.5,91,0.425,0.423
1985-10-16T12:00,,24.6,91,0.423,0.427
1985-10-16T13:00,,24.6,90,0.428,0.426
1985-10-16T14:00,,24.7,90,0.432,0.426
1985-10-16T15:00,,24.7,89,0.429,0.426
1985-10-16T16:00,,24.5,90,0.427,0.425
1985-10-16T17:00,,24.4,91,0.427,0.425
1985-10-16T18:00,,24.3,91,0.425,0.424
1985-10-16T19:00,,23.8,91,0.425,0.423
1985-10-16T20:00,,23.7,91,0.424,0.423
1985-10-16T21:00,,23.7,90,0.422,0.422
1985-10-16T22:00,,23.7,88,0.42,0.421
1985-10-16T23:00,,23.6,86,0.418,0.42
1985-10-17T00:00,,23.5,84,0.416,0.42
1985-10-17T01:00,,23.5,82,0.414,0.419
1985-10-17T02:00,,23.8,79,0.412,0.418
1985-10-17T03:00,,24.4,77,0.41,0.417
1985-10-17T04:00,,25.5,73,0.408,0.416
1985-10-17T05:00,,26.5,71,0.405,0.414
1985-10-17T06:00,,27.5,69,0.402,0.413
1985-10-17T07:00,,27.5,69,0.4,0.411
1985-10-17T08:00,,27.9,68,0.398,0.41
1985-10-17T09:00,,27.7,69,0.396,0.409
1985-10-17T10:00,,27.4,72,0.395,0.408
1985-10-17T11:00,,26.8,74,0.394,0.407
1985-10-17T12:00,,26.0,76,0.393,0.407
1985-10-17T13:00,,25.5,78,0.393,0.406
1985-10-17T14:00,,25.1,79,0.393,0.405
1985-10-17T15:00,,24.6,80,0.392,0.405
1985-10-17T16:00,,24.2,81,0.392,0.404
1985-10-17T17:00,,23.8,81,0.391,0.404
1985-10-17T18:00,,23.0,84,0.391,0.403
1985-10-17T19:00,,23.5,90,0.391,0.403
1985-10-17T20:00,,22.1,95,0.39,0.402
1985-10-17T21:00,,21.3,95,0.39,0.402
1985-10-17T22:00,,20.9,94,0.39,0.401
1985-10-17T23:00,,20.5,93,0.389,0.401
1985-10-18T00:00,,20.1,92,0.389,0.401
1985-10-18T01:00,,20.0,93,0.389,0.4
1985-10-18T02:00,,22.2,84,0.388,0.4
1985-10-18T03:00,,24.4,73,0.387,0.399
1985-10-18T04:00,,26.1,64,0.385,0.398
1985-10-18T05:00,,27.5,56,0.382,0.396
1985-10-18T06:00,,28.4,50,0.379,0.395
1985-10-18T07:00,,28.8,46,0.376,0.393
1985-10-18T08:00,,29.1,44,0.373,0.392
1985-10-18T09:00,,29.0,44,0.37,0.39
1985-10-18T10:00,,28.6,47,0.369,0.389
1985-10-18T11:00,,27.3,61,0.368,0.388
1985-10-18T12:00,,26.3,59,0.368,0.388
1985-10-18T13:00,,25.4,60,0.368,0.387
1985-10-18T14:00,,23.3,70,0.368,0.387
1985-10-18T15:00,,21.8,78,0.368,0.387
1985-10-18T16:00,,20.8,83,0.369,0.386
1985-10-18T17:00,,19.9,87,0.369,0.386
1985-10-18T18:00,,19.3,88,0.369,0.386
1985-10-18T19:00,,19.6,87,0.369,0.385
1985-10-18T20:00,,19.3,87,0.369,0.385
1985-10-18T21:00,,18.9,88,0.369,0.385
1985-10-18T22:00,,18.5,90,0.369,0.385
1985-10-18T23:00,,18.0,92,0.369,0.384
