time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.9,95,0.43,0.43
1985-10-16T01:00,,25.0,95,0.429,0.429
1985-10-16T02:00,,25.1,96,0.429,0.429
1985-10-16T03:00,,25.4,96,0.429,0.43
1985-10-16T04:00,,25.7,94,0.427,0.429
1985-10-16T05:00,,26.0,95,0.43,0.43
1985-10-16T06:00,,26.2,93,0.427,0.429
1985-10-16T07:00,,25.7,93,0.427,0.428
1985-10-16T08:00,,25.5,91,0.427,0.428
1985-10-16T09:00,,25.6,89,0.426,0.428
1985-10-16T10:00,,25.5,89,0.426,0.427
1985-10-16T11:00,,25.5,88,0.425,0.427
1985-10-16T12:00,,25.4,88,0.425,0.427
1985-10-16T13:00,,25.4,87,0.426,0.426
1985-10-16T14:00,,25.3,88,0.427,0.426
1985-10-16T15:00,,25.2,89,0.43,0.427
1985-10-16T16:00,,25.2,90,0.43,0.43
1985-10-16T17:00,,25.2,90,0.429,0.43
1985-10-16T18:00,,25.3,90,0.43,0.43
1985-10-16T19:00,,25.1,89,0.424,0.428
1985-10-16T20:00,,25.1,88,0.427,0.428
1985-10-16T21:00,,25.0,88,0.429,0.428
1985-10-16T22:00,,24.9,88,0.429,0.428
1985-10-16T23:00,,24.9,87,0.427,0.428
1985-10-17T00:00,,24.9,87,0.425,0.428
1985-10-17T01:00,,25.0,86,0.424,0.427
1985-10-17T02:00,,25.3,85,0.423,0.426
1985-10-17T03:00,,25.9,83,0.421,0.425
1985-10-17T04:00,,26.2,81,0.421,0.424
1985-10-17T05:00,,26.7,78,0.419,0.423
1985-10-17T06:00,,26.7,77,0.418,0.423
1985-10-17T07:00,,27.3,75,0.416,0.421
1985-10-17T08:00,,26.9,77,0.414,0.42
1985-10-17T09:00,,26.9,77,0.413,0.419
1985-10-17T10:00,,26.8,78,0.412,0.419
1985-10-17T11:00,,26.6,78,0.412,0.418
1985-10-17T12:00,,26.3,79,0.411,0.417
1985-10-17T13:00,,26.2,79,0.411,0.417
1985-10-17T14:00,,26.0,80,0.411,0.417
1985-10-17T15:00,,25.8,81,0.41,0.416
1985-10-17T16:00,,25.6,82,0.41,0.416
1985-10-17T17:00,,25.4,83,0.409,0.415
1985-10-17T18:00,,25.1,84,0.409,0.415
1985-10-17T19:00,,25.0,88,0.409,0.414
1985-10-17T20:00,,24.8,88,0.409,0.414
1985-10-17T21:00,,24.6,88,0.408,0.414
1985-10-17T22:00,,24.3,88,0.409,0.413
1985-10-17T23:00,,24.0,89,0.409,0.413
1985-10-18T00:00,,23.8,89,0.409,0.413
1985-10-18T01:00,,24.0,90,0.408,0.413
1985-10-18T02:00,,25.2,87,0.407,0.412
1985-10-18T03:00,,27.0,79,0.406,0.412
1985-10-18T04:00,,28.3,70,0.404,0.411
1985-10-18T05:00,,29.1,59,0.402,0.409
1985-10-18T06:00,,29.6,53,0.399,0.408
1985-10-18T07:00,,29.6,54,0.396,0.406
1985-10-18T08:00,,29.6,53,0.394,0.405
1985-10-18T09:00,,29.5,52,0.392,0.403
1985-10-18T10:00,,29.2,53,0.391,0.402
1985-10-18T11:00,,28.4,65,0.39,0.402
1985-10-18T12:00,,27.3,67,0.391,0.401
1985-10-18T13:00,,25.9,72,0.391,0.401
1985-10-18T14:00,,24.8,77,0.391,0.401
1985-10-18T15:00,,23.8,82,0.391,0.401
1985-10-18T16:00,,22.8,88,0.392,0.4
1985-10-18T17:00,,21.9,91,0.392,0.4
1985-10-18T18:00,,21.6,91,0.392,0.4
1985-10-18T19:00,,21.0,92,0.392,0.4
1985-10-18T20:00,,20.7,91,0.392,0.4
1985-10-18T21:00,,20.5,91,0.392,0.4
1985-10-18T22:00,,20.4,90,0.392,0.399
1985-10-18T23:00,,20.1,90,0.392,0.399
