time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.7,94,0.43,0.43
1985-10-16T01:00,,24.7,94,0.429,0.429
1985-10-16T02:00,,24.9,95,0.429,0.429
1985-10-16T03:00,,25.1,95,0.428,0.429
1985-10-16T04:00,,25.3,95,0.429,0.429
1985-10-16T05:00,,25.7,94,0.428,0.43
1985-10-16T06:00,,25.7,94,0.427,0.429
1985-10-16T07:00,,25.3,89,0.425,0.428
1985-10-16T08:00,,25.3,88,0.423,0.427
1985-10-16T09:00,,25.6,87,0.423,0.426
1985-10-16T10:00,,25.6,87,0.422,0.425
1985-10-16T11:00,,25.7,86,0.421,0.425
1985-10-16T12:00,,25.7,85,0.42,0.424
1985-10-16T13:00,,25.7,85,0.42,0.423
1985-10-16T14:00,,25.6,86,0.42,0.423
1985-10-16T15:00,,25.5,87,0.422,0.423
1985-10-16T16:00,,25.4,89,0.424,0.423
1985-10-16T17:00,,25.5,89,0.424,0.423
1985-10-16T18:00,,25.6,89,0.424,0.423
1985-10-16T19:00,,25.4,87,0.422,0.423
1985-10-16T20:00,,25.4,86,0.421,0.422
1985-10-16T21:00,,25.3,85,0.421,0.422
1985-10-16T22:00,,25.2,84,0.421,0.422
1985-10-16T23:00,,25.1,85,0.42,0.422
1985-10-17T00:00,,25.0,84,0.419,0.421
1985-10-17T01:00,,25.0,84,0.418,0.421
1985-10-17T02:00,,25.4,83,0.417,0.421
1985-10-17T03:00,,26.3,80,0.416,0.42
1985-10-17T04:00,,27.2,74,0.414,0.419
1985-10-17T05:00,,28.0,71,0.412,0.418
1985-10-17T06:00,,28.5,69,0.409,0.416
1985-10-17T07:00,,28.7,69,0.407,0.415
1985-10-17T08:00,,28.6,70,0.406,0.414
1985-10-17T09:00,,28.5,70,0.404,0.413
1985-10-17T10:00,,28.3,71,0.403,0.412
1985-10-17T11:00,,27.7,75,0.403,0.411
1985-10-17T12:00,,26.9,77,0.403,0.411
1985-10-17T13:00,,26.3,79,0.403,0.41
1985-10-17T14:00,,25.8,81,0.403,0.41
1985-10-17T15:00,,25.5,82,0.403,0.41
1985-10-17T16:00,,25.3,82,0.402,0.409
1985-10-17T17:00,,25.1,82,0.402,0.409
1985-10-17T18:00,,24.8,83,0.402,0.409
1985-10-17T19:00,,24.8,87,0.402,0.408
1985-10-17T20:00,,24.6,87,0.402,0.408
1985-10-17T21:00,,24.3,88,0.403,0.408
1985-10-17T22:00,,24.1,89,0.404,0.408
1985-10-17T23:00,,23.6,90,0.404,0.408
1985-10-18T00:00,,23.5,90,0.404,0.408
1985-10-18T01:00,,23.8,91,0.403,0.407
1985-10-18T02:00,,25.3,87,0.403,0.407
1985-10-18T03:00,,27.0,79,0.402,0.407
1985-10-18T04:00,,28.4,70,0.4,0.406
1985-10-18T05:00,,29.5,60,0.397,0.405
1985-10-18T06:00,,30.2,54,0.394,0.403
1985-10-18T07:00,,30.4,56,0.392,0.402
1985-10-18T08:00,,30.4,55,0.389,0.4
1985-10-18T09:00,,30.2,56,0.388,0.399
1985-10-18T10:00,,29.8,57,0.386,0.398
1985-10-18T11:00,,28.8,66,0.386,0.398
1985-10-18T12:00,,27.2,75,0.386,0.398
1985-10-18T13:00,,25.8,84,0.387,0.397
1985-10-18T14:00,,24.6,91,0.387,0.397
1985-10-18T15:00,,23.8,94,0.387,0.397
1985-10-18T16:00,,23.4,94,0.388,0.397
1985-10-18T17:00,,23.3,95,0.388,0.397
1985-10-18T18:00,,22.7,96,0.388,0.397
1985-10-18T19:00,,22.1,96,0.388,0.396
1985-10-18T20:00,,21.4,97,0.388,0.396
1985-10-18T21:00,,21.2,96,0.388,0.396
1985-10-18T22:00,,21.1,95,0.388,0.396
1985-10-18T23:00,,20.9,95,0.388,0.396
