time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.7,91,0.43,0.43
1985-10-16T01:00,,24.6,91,0.429,0.43
1985-10-16T02:00,,24.6,91,0.43,0.43
1985-10-16T03:00,,24.6,91,0.428,0.429
1985-10-16T04:00,,24.7,90,0.43,0.43
1985-10-16T05:00,,24.8,89,0.427,0.43
1985-10-16T06:00,,24.9,89,0.427,0.429
1985-10-16T07:00,,25.1,89,0.429,0.429
1985-10-16T08:00,,25.3,90,0.426,0.429
1985-10-16T09:00,,25.3,90,0.427,0.429
1985-10-16T10:00,,25.3,90,0.428,0.428
1985-10-16T11:00,,25.3,90,0.428,0.428
1985-10-16T12:00,,25.2,90,0.428,0.428
1985-10-16T13:00,,25.2,90,0.427,0.428
1985-10-16T14:00,,25.2,90,0.425,0.427
1985-10-16T15:00,,25.2,90,0.424,0.426
1985-10-16T16:00,,25.2,90,0.423,0.425
1985-10-16T17:00,,25.3,89,0.422,0.425
1985-10-16T18:00,,25.3,88,0.421,0.424
1985-10-16T19:00,,25.1,86,0.42,0.423
1985-10-16T20:00,,25.0,86,0.419,0.423
1985-10-16T21:00,,25.0,85,0.418,0.422
1985-10-16T22:00,,24.9,84,0.418,0.422
1985-10-16T23:00,,24.8,84,0.417,0.421
1985-10-17T00:00,,24.6,83,0.416,0.42
1985-10-17T01:00,,24.7,83,0.416,0.42
1985-10-17T02:00,,25.3,80,0.415,0.419
1985-10-17T03:00,,26.4,76,0.414,0.419
1985-10-17T04:00,,27.4,70,0.412,0.418
1985-10-17T05:00,,28.5,66,0.41,0.417
1985-10-17T06:00,,28.9,65,0.407,0.415
1985-10-17T07:00,,29.3,65,0.405,0.414
1985-10-17T08:00,,29.5,65,0.403,0.413
1985-10-17T09:00,,29.3,66,0.402,0.412
1985-10-17T10:00,,29.1,68,0.401,0.411
1985-10-17T11:00,,28.4,73,0.4,0.41
1985-10-17T12:00,,27.2,78,0.4,0.41
1985-10-17T13:00,,25.9,84,0.4,0.409
1985-10-17T14:00,,25.0,87,0.401,0.409
1985-10-17T15:00,,24.5,88,0.401,0.409
1985-10-17T16:00,,24.0,89,0.401,0.408
1985-10-17T17:00,,23.9,89,0.401,0.408
1985-10-17T18:00,,23.7,89,0.401,0.408
1985-10-17T19:00,,23.5,90,0.401,0.408
1985-10-17T20:00,,23.1,90,0.401,0.407
1985-10-17T21:00,,22.8,92,0.401,0.407
1985-10-17T22:00,,22.2,93,0.401,0.407
1985-10-17T23:00,,21.9,92,0.4,0.407
1985-10-18T00:00,,21.8,90,0.4,0.407
1985-10-18T01:00,,22.0,88,0.4,0.406
1985-10-18T02:00,,24.5,78,0.4,0.406
1985-10-18T03:00,,26.1,69,0.398,0.406
1985-10-18T04:00,,27.3,63,0.396,0.405
1985-10-18T05:00,,28.7,55,0.393,0.403
1985-10-18T06:00,,29.6,48,0.39,0.402
1985-10-18T07:00,,30.0,45,0.387,0.4
1985-10-18T08:00,,30.2,43,0.384,0.399
1985-10-18T09:00,,30.1,43,0.381,0.398
1985-10-18T10:00,,29.6,49,0.38,0.397
1985-10-18T11:00,,28.3,61,0.38,0.396
1985-10-18T12:00,,26.4,63,0.38,0.396
1985-10-18T13:00,,24.4,69,0.38,0.395
1985-10-18T14:00,,23.0,73,0.381,0.395
1985-10-18T15:00,,21.9,77,0.381,0.395
1985-10-18T16:00,,21.1,79,0.382,0.395
1985-10-18T17:00,,20.5,81,0.382,0.395
1985-10-18T18:00,,20.1,81,0.383,0.395
1985-10-18T19:00,,19.7,83,0.383,0.394
1985-10-18T20:00,,19.3,84,0.383,0.394
1985-10-18T21:00,,18.9,85,0.384,0.394
1985-10-18T22:00,,18.6,86,0.384,0.394
1985-10-18T23:00,,18.2,88,0.384,0.394
