time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.3,91,0.439,0.438
1985-10-16T01:00,,24.2,92,0.439,0.437
1985-10-16T02:00,,24.2,92,0.436,0.437
1985-10-16T03:00,,24.3,91,0.429,0.434
1985-10-16T04:00,,24.3,91,0.438,0.436
1985-10-16T05:00,,24.3,91,0.437,0.438
1985-10-16T06:00,,24.3,91,0.433,0.436
1985-10-16T07:00,,24.5,92,0.429,0.436
1985-10-16T08:00,,24.6,92,0.423,0.432
1985-10-16T09:00,,24.7,91,0.423,0.431
1985-10-16T10:00,,24.8,91,0.425,0.43
1985-10-16T11:00,,24.8,91,0.43,0.43
1985-10-16T12:00,,24.9,90,0.436,0.43
1985-10-16T13:00,,24.9,90,0.434,0.434
1985-10-16T14:00,,25.0,90,0.411,0.435
1985-10-16T15:00,,25.1,90,0.406,0.429
1985-10-16T16:00,,25.0,90,0.41,0.428
1985-10-16T17:00,,24.9,91,0.413,0.427
1985-10-16T18:00,,24.8,91,0.413,0.426
1985-10-16T19:00,,24.5,89,0.412,0.425
1985-10-16T20:00,,24.5,88,0.411,0.425
1985-10-16T21:00,,24.5,87,0.411,0.424
1985-10-16T22:00,,24.5,86,0.41,0.423
1985-10-16T23:00,,24.4,85,0.41,0.423
1985-10-17T00:00,,24.2,84,0.409,0.422
1985-10-17T01:00,,24.3,82,0.409,0.421
1985-10-17T02:00,,24.5,80,0.407,0.421
1985-10-17T03:00,,25.7,76,0.406,0.42
1985-10-17T04:00,,26.4,72,0.404,0.419
1985-10-17T05:00,,27.6,68,0.402,0.417
1985-10-17T06:00,,28.0,68,0.4,0.416
1985-10-17T07:00,,28.1,68,0.398,0.415
1985-10-17T08:00,,28.5,67,0.396,0.414
1985-10-17T09:00,,28.1,70,0.394,0.412
1985-10-17T10:00,,27.9,72,0.393,0.411
1985-10-17T11:00,,27.3,75,0.393,0.411
1985-10-17T12:00,,26.4,77,0.393,0.41
1985-10-17T13:00,,25.5,81,0.392,0.409
1985-10-17T14:00,,24.9,83,0.392,0.408
1985-10-17T15:00,,24.5,84,0.392,0.408
1985-10-17T16:00,,24.0,85,0.392,0.407
1985-10-17T17:00,,23.7,86,0.391,0.407
1985-10-17T18:00,,23.2,88,0.391,0.406
1985-10-17T19:00,,23.8,89,0.391,0.405
1985-10-17T20:00,,23.0,92,0.391,0.405
1985-10-17T21:00,,22.7,94,0.391,0.404
1985-10-17T22:00,,22.4,93,0.39,0.404
1985-10-17T23:00,,22.3,92,0.39,0.403
1985-10-18T00:00,,22.1,90,0.39,0.403
1985-10-18T01:00,,22.1,88,0.389,0.402
1985-10-18T02:00,,23.9,81,0.389,0.401
1985-10-18T03:00,,25.7,71,0.387,0.401
1985-10-18T04:00,,26.8,65,0.386,0.4
1985-10-18T05:00,,28.4,55,0.383,0.398
1985-10-18T06:00,,29.2,49,0.38,0.396
1985-10-18T07:00,,29.8,45,0.376,0.395
1985-10-18T08:00,,30.0,43,0.373,0.393
1985-10-18T09:00,,29.9,43,0.371,0.392
1985-10-18T10:00,,29.3,48,0.369,0.391
1985-10-18T11:00,,27.9,57,0.368,0.39
1985-10-18T12:00,,25.9,60,0.368,0.389
1985-10-18T13:00,,24.1,65,0.368,0.389
1985-10-18T14:00,,22.8,69,0.368,0.388
1985-10-18T15:00,,21.7,73,0.368,0.388
1985-10-18T16:00,,20.8,76,0.368,0.387
1985-10-18T17:00,,20.1,79,0.369,0.387
1985-10-18T18:00,,19.5,81,0.369,0.386
1985-10-18T19:00,,19.6,81,0.369,0.386
1985-10-18T20:00,,19.2,82,0.369,0.385
1985-10-18T21:00,,18.8,84,0.369,0.385
1985-10-18T22:00,,18.3,86,0.369,0.385
1985-10-18T23:00,,17.7,88,0.369,0.384
