time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.5,92,0.43,0.428
1985-10-16T01:00,,24.6,92,0.428,0.429
1985-10-16T02:00,,24.7,91,0.425,0.428
1985-10-16T03:00,,24.8,91,0.429,0.427
1985-10-16T04:00,,24.9,91,0.43,0.426
1985-10-16T05:00,,24.8,90,0.43,0.429
1985-10-16T06:00,,24.9,90,0.427,0.43
1985-10-16T07:00,,25.5,88,0.424,0.428
1985-10-16T08:00,,26.5,86,0.425,0.426
1985-10-16T09:00,,27.2,81,0.429,0.426
1985-10-16T10:00,,26.7,82,0.428,0.428
1985-10-16T11:00,,26.3,84,0.43,0.428
1985-10-16T12:00,,26.1,85,0.427,0.429
1985-10-16T13:00,,26.0,86,0.426,0.428
1985-10-16T14:00,,25.9,88,0.425,0.426
1985-10-16T15:00,,26.1,89,0.425,0.426
1985-10-16T16:00,,26.3,88,0.424,0.425
1985-10-16T17:00,,26.7,87,0.422,0.425
1985-10-16T18:00,,26.9,87,0.421,0.424
1985-10-16T19:00,,27.0,81,0.419,0.423
1985-10-16T20:00,,27.0,80,0.418,0.423
1985-10-16T21:00,,27.0,78,0.417,0.422
1985-10-16T22:00,,26.9,77,0.417,0.421
1985-10-16T23:00,,26.7,77,0.416,0.421
1985-10-17T00:00,,26.4,78,0.415,0.42
1985-10-17T01:00,,26.4,80,0.414,0.419
1985-10-17T02:00,,27.1,80,0.413,0.419
1985-10-17T03:00,,28.3,73,0.412,0.418
1985-10-17T04:00,,29.3,66,0.41,0.416
1985-10-17T05:00,,29.9,64,0.407,0.415
1985-10-17T06:00,,30.3,64,0.404,0.413
1985-10-17T07:00,,30.5,64,0.402,0.412
1985-10-17T08:00,,30.5,64,0.4,0.41
1985-10-17T09:00,,30.4,65,0.398,0.409
1985-10-17T10:00,,30.1,66,0.397,0.408
1985-10-17T11:00,,29.2,71,0.396,0.408
1985-10-17T12:00,,28.1,76,0.396,0.407
1985-10-17T13:00,,26.8,84,0.397,0.407
1985-10-17T14:00,,25.9,89,0.397,0.406
1985-10-17T15:00,,25.5,89,0.397,0.406
1985-10-17T16:00,,25.4,89,0.397,0.406
1985-10-17T17:00,,24.6,93,0.398,0.406
1985-10-17T18:00,,24.2,95,0.398,0.406
1985-10-17T19:00,,24.4,92,0.398,0.405
1985-10-17T20:00,,24.3,92,0.398,0.405
1985-10-17T21:00,,24.1,92,0.398,0.405
1985-10-17T22:00,,23.8,93,0.398,0.405
1985-10-17T23:00,,23.5,95,0.398,0.405
1985-10-18T00:00,,23.3,95,0.398,0.404
1985-10-18T01:00,,23.6,93,0.398,0.404
1985-10-18T02:00,,25.7,83,0.397,0.404
1985-10-18T03:00,,27.0,73,0.396,0.403
1985-10-18T04:00,,28.1,66,0.394,0.402
1985-10-18T05:00,,29.1,60,0.391,0.401
1985-10-18T06:00,,29.8,54,0.389,0.4
1985-10-18T07:00,,30.4,54,0.386,0.399
1985-10-18T08:00,,30.6,52,0.384,0.397
1985-10-18T09:00,,30.6,51,0.382,0.396
1985-10-18T10:00,,30.3,52,0.38,0.395
1985-10-18T11:00,,29.2,61,0.38,0.395
1985-10-18T12:00,,27.6,65,0.38,0.394
1985-10-18T13:00,,25.9,73,0.381,0.394
1985-10-18T14:00,,24.7,79,0.381,0.394
1985-10-18T15:00,,24.2,79,0.382,0.394
1985-10-18T16:00,,23.6,82,0.382,0.394
1985-10-18T17:00,,22.3,88,0.382,0.394
1985-10-18T18:00,,21.3,91,0.383,0.393
1985-10-18T19:00,,21.7,93,0.383,0.393
1985-10-18T20:00,,21.1,94,0.383,0.393
1985-10-18T21:00,,20.8,93,0.383,0.393
1985-10-18T22:00,,20.5,92,0.384,0.393
1985-10-18T23:00,,20.3,92,0.384,0.393
