time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.7,90,0.43,0.43
1985-10-16T01:00,,24.7,91,0.43,0.43
1985-10-16T02:00,,24.7,91,0.43,0.43
1985-10-16T03:00,,24.7,91,0.43,0.43
1985-10-16T04:00,,24.7,91,0.43,0.43
1985-10-16T05:00,,24.6,91,0.429,0.429
1985-10-16T06:00,,24.6,92,0.429,0.429
1985-10-16T07:00,,24.5,92,0.429,0.429
1985-10-16T08:00,,24.6,92,0.425,0.429
1985-10-16T09:00,,24.8,90,0.423,0.427
1985-10-16T10:00,,25.0,89,0.423,0.427
1985-10-16T11:00,,25.2,88,0.423,0.426
1985-10-16T12:00,,25.2,88,0.423,0.425
1985-10-16T13:00,,25.3,87,0.424,0.425
1985-10-16T14:00,,25.0,89,0.426,0.425
1985-10-16T15:00,,25.0,91,0.428,0.425
1985-10-16T16:00,,25.0,91,0.428,0.426
1985-10-16T17:00,,25.0,91,0.428,0.427
1985-10-16T18:00,,24.9,91,0.427,0.427
1985-10-16T19:00,,24.7,89,0.425,0.426
1985-10-16T20:00,,24.7,88,0.423,0.426
1985-10-16T21:00,,24.8,87,0.422,0.425
1985-10-16T22:00,,24.7,86,0.421,0.425
1985-10-16T23:00,,24.7,85,0.421,0.424
1985-10-17T00:00,,24.6,84,0.42,0.424
1985-10-17T01:00,,24.7,83,0.419,0.423
1985-10-17T02:00,,24.9,81,0.418,0.423
1985-10-17T03:00,,25.8,79,0.417,0.422
1985-10-17T04:00,,26.7,73,0.415,0.421
1985-10-17T05:00,,27.6,70,0.413,0.42
1985-10-17T06:00,,28.1,68,0.411,0.418
1985-10-17T07:00,,28.1,69,0.409,0.417
1985-10-17T08:00,,28.3,68,0.408,0.416
1985-10-17T09:00,,28.2,70,0.407,0.415
1985-10-17T10:00,,28.1,71,0.406,0.414
1985-10-17T11:00,,27.4,74,0.405,0.413
1985-10-17T12:00,,26.5,77,0.405,0.413
1985-10-17T13:00,,25.9,79,0.405,0.412
1985-10-17T14:00,,25.3,82,0.405,0.412
1985-10-17T15:00,,24.9,84,0.405,0.412
1985-10-17T16:00,,24.5,84,0.405,0.411
1985-10-17T17:00,,24.3,85,0.405,0.411
1985-10-17T18:00,,24.0,86,0.404,0.411
1985-10-17T19:00,,23.7,92,0.405,0.41
1985-10-17T20:00,,23.6,93,0.405,0.41
1985-10-17T21:00,,23.5,93,0.405,0.41
1985-10-17T22:00,,23.3,93,0.405,0.41
1985-10-17T23:00,,22.8,94,0.405,0.41
1985-10-18T00:00,,22.7,94,0.404,0.409
1985-10-18T01:00,,23.0,93,0.404,0.409
1985-10-18T02:00,,24.9,85,0.404,0.409
1985-10-18T03:00,,26.5,77,0.403,0.408
1985-10-18T04:00,,27.7,67,0.401,0.407
1985-10-18T05:00,,29.0,57,0.398,0.406
1985-10-18T06:00,,29.8,50,0.395,0.405
1985-10-18T07:00,,30.4,46,0.392,0.403
1985-10-18T08:00,,30.7,44,0.389,0.402
1985-10-18T09:00,,30.6,43,0.387,0.401
1985-10-18T10:00,,30.2,47,0.386,0.4
1985-10-18T11:00,,28.7,63,0.386,0.399
1985-10-18T12:00,,26.6,66,0.386,0.399
1985-10-18T13:00,,24.8,72,0.386,0.399
1985-10-18T14:00,,24.6,68,0.387,0.398
1985-10-18T15:00,,24.9,65,0.387,0.398
1985-10-18T16:00,,24.4,68,0.387,0.398
1985-10-18T17:00,,23.7,72,0.388,0.398
1985-10-18T18:00,,22.2,79,0.388,0.398
1985-10-18T19:00,,21.6,84,0.388,0.397
1985-10-18T20:00,,20.6,88,0.388,0.397
1985-10-18T21:00,,19.9,90,0.389,0.397
1985-10-18T22:00,,19.2,91,0.389,0.397
1985-10-18T23:00,,18.8,92,0.389,0.397
