time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.6,93,0.425,0.428
1985-10-16T01:00,,24.6,92,0.429,0.426
1985-10-16T02:00,,24.7,92,0.43,0.428
1985-10-16T03:00,,24.7,92,0.428,0.43
1985-10-16T04:00,,24.8,92,0.425,0.428
1985-10-16T05:00,,24.9,92,0.429,0.426
1985-10-16T06:00,,24.8,92,0.43,0.428
1985-10-16T07:00,,25.2,89,0.425,0.429
1985-10-16T08:00,,25.7,88,0.427,0.428
1985-10-16T09:00,,26.2,86,0.428,0.428
1985-10-16T10:00,,26.0,86,0.427,0.429
1985-10-16T11:00,,25.6,87,0.426,0.428
1985-10-16T12:00,,25.4,89,0.426,0.427
1985-10-16T13:00,,25.3,89,0.43,0.427
1985-10-16T14:00,,25.5,88,0.428,0.429
1985-10-16T15:00,,25.5,90,0.427,0.429
1985-10-16T16:00,,25.8,89,0.426,0.428
1985-10-16T17:00,,26.2,88,0.424,0.427
1985-10-16T18:00,,26.4,86,0.423,0.426
1985-10-16T19:00,,26.4,82,0.422,0.426
1985-10-16T20:00,,26.4,81,0.421,0.425
1985-10-16T21:00,,26.3,79,0.42,0.424
1985-10-16T22:00,,26.2,79,0.42,0.423
1985-10-16T23:00,,26.0,79,0.42,0.423
1985-10-17T00:00,,25.8,80,0.419,0.422
1985-10-17T01:00,,25.7,82,0.418,0.422
1985-10-17T02:00,,26.3,82,0.417,0.421
1985-10-17T03:00,,27.6,76,0.415,0.42
1985-10-17T04:00,,28.9,68,0.413,0.419
1985-10-17T05:00,,29.6,66,0.41,0.417
1985-10-17T06:00,,30.1,65,0.408,0.416
1985-10-17T07:00,,30.4,65,0.405,0.414
1985-10-17T08:00,,30.3,65,0.403,0.413
1985-10-17T09:00,,30.1,66,0.402,0.412
1985-10-17T10:00,,29.8,67,0.401,0.411
1985-10-17T11:00,,28.9,72,0.4,0.41
1985-10-17T12:00,,27.8,76,0.4,0.409
1985-10-17T13:00,,26.8,80,0.4,0.409
1985-10-17T14:00,,25.8,85,0.4,0.409
1985-10-17T15:00,,25.1,89,0.4,0.408
1985-10-17T16:00,,24.8,89,0.4,0.408
1985-10-17T17:00,,24.5,90,0.401,0.408
1985-10-17T18:00,,24.3,90,0.401,0.408
1985-10-17T19:00,,24.7,88,0.401,0.407
1985-10-17T20:00,,24.6,88,0.401,0.407
1985-10-17T21:00,,24.4,89,0.401,0.407
1985-10-17T22:00,,24.1,91,0.401,0.407
1985-10-17T23:00,,23.6,94,0.4,0.407
1985-10-18T00:00,,23.2,95,0.4,0.406
1985-10-18T01:00,,23.7,94,0.4,0.406
1985-10-18T02:00,,25.7,85,0.4,0.406
1985-10-18T03:00,,27.1,76,0.399,0.405
1985-10-18T04:00,,28.3,68,0.397,0.404
1985-10-18T05:00,,29.4,61,0.394,0.403
1985-10-18T06:00,,30.1,55,0.392,0.402
1985-10-18T07:00,,30.5,56,0.389,0.401
1985-10-18T08:00,,30.7,54,0.387,0.399
1985-10-18T09:00,,30.6,53,0.385,0.398
1985-10-18T10:00,,30.2,54,0.384,0.397
1985-10-18T11:00,,28.9,69,0.384,0.397
1985-10-18T12:00,,27.3,76,0.384,0.397
1985-10-18T13:00,,25.9,81,0.384,0.396
1985-10-18T14:00,,24.8,85,0.385,0.396
1985-10-18T15:00,,24.3,87,0.385,0.396
1985-10-18T16:00,,24.8,84,0.386,0.396
1985-10-18T17:00,,24.6,86,0.386,0.396
1985-10-18T18:00,,22.8,93,0.386,0.396
1985-10-18T19:00,,23.0,94,0.386,0.396
1985-10-18T20:00,,22.2,96,0.387,0.396
1985-10-18T21:00,,21.8,96,0.387,0.395
1985-10-18T22:00,,21.2,97,0.387,0.395
1985-10-18T23:00,,20.9,96,0.387,0.395
