time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,21.6,99,0.43,0.43
1985-10-16T01:00,,21.7,99,0.43,0.429
1985-10-16T02:00,,21.8,99,0.43,0.43
1985-10-16T03:00,,21.9,98,0.43,0.43
1985-10-16T04:00,,22.0,98,0.43,0.43
1985-10-16T05:00,,22.1,98,0.43,0.43
1985-10-16T06:00,,22.2,98,0.43,0.43
1985-10-16T07:00,,22.2,98,0.43,0.43
1985-10-16T08:00,,22.3,97,0.43,0.43
1985-10-16T09:00,,22.4,97,0.43,0.43
1985-10-16T10:00,,22.3,96,0.43,0.43
1985-10-16T11:00,,22.3,96,0.43,0.43
1985-10-16T12:00,,22.2,97,0.43,0.43
1985-10-16T13:00,,22.3,96,0.43,0.43
1985-10-16T14:00,,22.3,96,0.43,0.43
1985-10-16T15:00,,22.4,96,0.43,0.43
1985-10-16T16:00,,22.4,95,0.43,0.43
1985-10-16T17:00,,22.3,95,0.43,0.43
1985-10-16T18:00,,22.1,95,0.43,0.43
1985-10-16T19:00,,21.9,95,0.428,0.429
1985-10-16T20:00,,21.8,95,0.427,0.428
1985-10-16T21:00,,21.8,95,0.425,0.427
1985-10-16T22:00,,21.8,96,0.424,0.427
1985-10-16T23:00,,21.7,96,0.425,0.426
1985-10-17T00:00,,21.6,96,0.428,0.426
1985-10-17T01:00,,21.5,96,0.429,0.427
1985-10-17T02:00,,21.6,95,0.428,0.428
1985-10-17T03:00,,21.7,94,0.427,0.428
1985-10-17T04:00,,22.0,92,0.428,0.428
1985-10-17T05:00,,22.9,89,0.426,0.427
1985-10-17T06:00,,23.9,84,0.424,0.427
1985-10-17T07:00,,24.7,79,0.422,0.426
1985-10-17T08:00,,25.1,77,0.421,0.425
1985-10-17T09:00,,25.2,77,0.42,0.424
1985-10-17T10:00,,25.0,78,0.419,0.423
1985-10-17T11:00,,24.5,80,0.418,0.423
1985-10-17T12:00,,23.8,83,0.417,0.422
1985-10-17T13:00,,23.2,86,0.417,0.422
1985-10-17T14:00,,22.5,90,0.416,0.421
1985-10-17T15:00,,22.0,93,0.416,0.421
1985-10-17T16:00,,21.7,93,0.415,0.42
1985-10-17T17:00,,21.5,93,0.415,0.42
1985-10-17T18:00,,21.1,94,0.414,0.419
1985-10-17T19:00,,20.7,95,0.414,0.419
1985-10-17T20:00,,20.6,95,0.413,0.418
1985-10-17T21:00,,20.3,96,0.413,0.418
1985-10-17T22:00,,19.9,96,0.412,0.418
1985-10-17T23:00,,19.2,97,0.412,0.417
1985-10-18T00:00,,18.5,97,0.412,0.417
1985-10-18T01:00,,18.7,97,0.411,0.416
1985-10-18T02:00,,21.9,85,0.411,0.416
1985-10-18T03:00,,23.7,68,0.41,0.415
1985-10-18T04:00,,25.0,54,0.407,0.414
1985-10-18T05:00,,25.9,49,0.405,0.413
1985-10-18T06:00,,26.5,46,0.402,0.411
1985-10-18T07:00,,26.9,44,0.4,0.41
1985-10-18T08:00,,27.1,44,0.397,0.408
1985-10-18T09:00,,27.0,44,0.395,0.407
1985-10-18T10:00,,26.6,46,0.394,0.406
1985-10-18T11:00,,25.4,57,0.394,0.405
1985-10-18T12:00,,23.2,69,0.394,0.405
1985-10-18T13:00,,21.2,73,0.394,0.404
1985-10-18T14:00,,19.9,77,0.394,0.404
1985-10-18T15:00,,19.3,76,0.395,0.404
1985-10-18T16:00,,18.7,77,0.395,0.403
1985-10-18T17:00,,18.2,77,0.395,0.403
1985-10-18T18:00,,17.7,78,0.395,0.403
1985-10-18T19:00,,17.8,75,0.395,0.403
1985-10-18T20:00,,17.4,76,0.395,0.403
1985-10-18T21:00,,17.1,76,0.395,0.402
1985-10-18T22:00,,16.8,77,0.395,0.402
1985-10-18T23:00,,16.5,77,0.395,0.402
