time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,24.9,89,0.427,0.43
1985-10-16T01:00,,24.8,89,0.425,0.428
1985-10-16T02:00,,24.8,89,0.429,0.427
1985-10-16T03:00,,24.8,89,0.429,0.429
1985-10-16T04:00,,25.0,89,0.427,0.429
1985-10-16T05:00,,25.1,89,0.427,0.428
1985-10-16T06:00,,25.2,89,0.429,0.427
1985-10-16T07:00,,25.6,88,0.429,0.429
1985-10-16T08:00,,26.0,88,0.427,0.429
1985-10-16T09:00,,26.1,88,0.427,0.427
1985-10-16T10:00,,26.0,88,0.429,0.427
1985-10-16T11:00,,25.9,88,0.428,0.427
1985-10-16T12:00,,25.6,89,0.426,0.427
1985-10-16T13:00,,25.6,90,0.426,0.426
1985-10-16T14:00,,25.6,90,0.425,0.425
1985-10-16T15:00,,25.7,89,0.423,0.425
1985-10-16T16:00,,26.0,87,0.422,0.424
1985-10-16T17:00,,26.2,86,0.42,0.423
1985-10-16T18:00,,26.3,86,0.419,0.423
1985-10-16T19:00,,25.9,84,0.418,0.422
1985-10-16T20:00,,25.9,83,0.417,0.422
1985-10-16T21:00,,25.8,82,0.417,0.421
1985-10-16T22:00,,25.7,82,0.416,0.42
1985-10-16T23:00,,25.6,81,0.415,0.42
1985-10-17T00:00,,25.4,81,0.415,0.419
1985-10-17T01:00,,25.4,82,0.414,0.419
1985-10-17T02:00,,26.1,81,0.413,0.418
1985-10-17T03:00,,27.2,75,0.412,0.418
1985-10-17T04:00,,28.2,67,0.411,0.417
1985-10-17T05:00,,29.1,63,0.408,0.415
1985-10-17T06:00,,29.6,62,0.406,0.414
1985-10-17T07:00,,30.0,62,0.404,0.412
1985-10-17T08:00,,30.1,62,0.402,0.411
1985-10-17T09:00,,30.3,62,0.4,0.41
1985-10-17T10:00,,30.2,62,0.399,0.409
1985-10-17T11:00,,29.5,68,0.398,0.408
1985-10-17T12:00,,28.9,70,0.398,0.408
1985-10-17T13:00,,28.1,73,0.399,0.408
1985-10-17T14:00,,27.5,76,0.399,0.407
1985-10-17T15:00,,27.0,78,0.399,0.407
1985-10-17T16:00,,26.4,81,0.399,0.407
1985-10-17T17:00,,26.0,82,0.399,0.407
1985-10-17T18:00,,25.6,84,0.399,0.406
1985-10-17T19:00,,23.8,92,0.399,0.406
1985-10-17T20:00,,23.4,92,0.399,0.406
1985-10-17T21:00,,23.2,93,0.399,0.406
1985-10-17T22:00,,22.5,94,0.399,0.406
1985-10-17T23:00,,22.0,94,0.399,0.405
1985-10-18T00:00,,21.7,94,0.399,0.405
1985-10-18T01:00,,22.0,92,0.399,0.405
1985-10-18T02:00,,25.3,77,0.398,0.405
1985-10-18T03:00,,26.7,67,0.397,0.404
1985-10-18T04:00,,27.8,60,0.395,0.403
1985-10-18T05:00,,29.0,53,0.393,0.402
1985-10-18T06:00,,29.8,47,0.39,0.401
1985-10-18T07:00,,30.2,45,0.387,0.399
1985-10-18T08:00,,30.4,43,0.384,0.398
1985-10-18T09:00,,30.3,43,0.382,0.396
1985-10-18T10:00,,29.8,48,0.381,0.395
1985-10-18T11:00,,28.6,59,0.38,0.395
1985-10-18T12:00,,26.8,63,0.38,0.394
1985-10-18T13:00,,24.9,66,0.381,0.394
1985-10-18T14:00,,23.7,68,0.381,0.394
1985-10-18T15:00,,22.6,71,0.382,0.394
1985-10-18T16:00,,21.8,72,0.382,0.394
1985-10-18T17:00,,21.2,72,0.382,0.394
1985-10-18T18:00,,20.8,72,0.383,0.393
1985-10-18T19:00,,20.3,76,0.383,0.393
1985-10-18T20:00,,20.0,76,0.383,0.393
1985-10-18T21:00,,19.5,77,0.383,0.393
1985-10-18T22:00,,19.0,79,0.383,0.393
1985-10-18T23:00,,18.5,81,0.384,0.393
