time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,21.3,100,0.439,0.436
1985-10-16T01:00,,21.4,100,0.439,0.439
1985-10-16T02:00,,21.5,100,0.439,0.439
1985-10-16T03:00,,21.6,100,0.439,0.439
1985-10-16T04:00,,21.8,100,0.439,0.439
1985-10-16T05:00,,21.8,100,0.439,0.439
1985-10-16T06:00,,22.0,100,0.439,0.438
1985-10-16T07:00,,22.2,100,0.439,0.439
1985-10-16T08:00,,23.9,94,0.439,0.439
1985-10-16T09:00,,22.9,100,0.437,0.438
1985-10-16T10:00,,22.2,100,0.438,0.439
1985-10-16T11:00,,21.8,100,0.426,0.435
1985-10-16T12:00,,21.6,100,0.438,0.437
1985-10-16T13:00,,21.6,100,0.425,0.438
1985-10-16T14:00,,21.6,100,0.417,0.432
1985-10-16T15:00,,21.5,100,0.438,0.421
1985-10-16T16:00,,21.5,100,0.427,0.433
1985-10-16T17:00,,21.4,100,0.438,0.433
1985-10-16T18:00,,21.4,99,0.423,0.438
1985-10-16T19:00,,21.2,100,0.407,0.43
1985-10-16T20:00,,21.1,99,0.415,0.416
1985-10-16T21:00,,21.0,99,0.423,0.414
1985-10-16T22:00,,21.0,99,0.425,0.413
1985-10-16T23:00,,21.0,99,0.427,0.413
1985-10-17T00:00,,21.6,94,0.431,0.413
1985-10-17T01:00,,20.9,99,0.431,0.414
1985-10-17T02:00,,20.9,100,0.436,0.416
1985-10-17T03:00,,21.2,99,0.432,0.42
1985-10-17T04:00,,21.2,99,0.435,0.421
1985-10-17T05:00,,22.6,92,0.428,0.423
1985-10-17T06:00,,23.5,90,0.425,0.422
1985-10-17T07:00,,23.9,88,0.422,0.421
1985-10-17T08:00,,23.8,87,0.42,0.42
1985-10-17T09:00,,24.0,85,0.418,0.419
1985-10-17T10:00,,23.8,86,0.416,0.418
1985-10-17T11:00,,23.6,85,0.414,0.417
1985-10-17T12:00,,23.0,87,0.412,0.416
1985-10-17T13:00,,22.4,89,0.411,0.415
1985-10-17T14:00,,22.1,90,0.41,0.414
1985-10-17T15:00,,21.8,91,0.409,0.413
1985-10-17T16:00,,21.6,92,0.408,0.412
1985-10-17T17:00,,21.5,92,0.406,0.411
1985-10-17T18:00,,21.2,93,0.405,0.41
1985-10-17T19:00,,21.1,93,0.404,0.409
1985-10-17T20:00,,20.8,92,0.403,0.408
1985-10-17T21:00,,20.7,92,0.402,0.408
1985-10-17T22:00,,20.4,92,0.402,0.407
1985-10-17T23:00,,20.2,92,0.401,0.406
1985-10-18T00:00,,19.8,92,0.4,0.405
1985-10-18T01:00,,19.3,91,0.399,0.404
1985-10-18T02:00,,20.9,86,0.398,0.403
1985-10-18T03:00,,22.6,68,0.396,0.402
1985-10-18T04:00,,23.8,56,0.394,0.401
1985-10-18T05:00,,24.7,49,0.392,0.399
1985-10-18T06:00,,25.4,46,0.389,0.398
1985-10-18T07:00,,25.7,47,0.387,0.396
1985-10-18T08:00,,25.8,46,0.385,0.395
1985-10-18T09:00,,25.6,47,0.383,0.393
1985-10-18T10:00,,25.1,51,0.381,0.392
1985-10-18T11:00,,23.9,63,0.38,0.391
1985-10-18T12:00,,22.1,78,0.38,0.391
1985-10-18T13:00,,20.7,78,0.38,0.39
1985-10-18T14:00,,21.1,67,0.38,0.39
1985-10-18T15:00,,20.3,69,0.379,0.389
1985-10-18T16:00,,19.3,72,0.379,0.389
1985-10-18T17:00,,18.1,77,0.379,0.388
1985-10-18T18:00,,17.2,80,0.379,0.388
1985-10-18T19:00,,16.5,81,0.379,0.387
1985-10-18T20:00,,16.2,81,0.378,0.387
1985-10-18T21:00,,16.0,79,0.378,0.386
1985-10-18T22:00,,15.8,79,0.378,0.386
1985-10-18T23:00,,15.5,78,0.378,0.386
