time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-10-16T00:00,,25.5,88,0.381,0.384
1985-10-16T01:00,,25.6,87,0.404,0.389
1985-10-16T02:00,,25.4,89,0.377,0.395
1985-10-16T03:00,,25.7,88,0.369,0.383
1985-10-16T04:00,,25.9,87,0.365,0.378
1985-10-16T05:00,,26.0,87,0.362,0.374
1985-10-16T06:00,,26.2,87,0.355,0.37
1985-10-16T07:00,,27.4,81,0.346,0.364
1985-10-16T08:00,,28.3,77,0.339,0.358
1985-10-16T09:00,,28.4,77,0.334,0.353
1985-10-16T10:00,,28.2,78,0.334,0.348
1985-10-16T11:00,,27.9,79,0.333,0.344
1985-10-16T12:00,,27.3,84,0.335,0.34
1985-10-16T13:00,,27.2,84,0.344,0.338
1985-10-16T14:00,,27.3,84,0.345,0.336
1985-10-16T15:00,,27.5,85,0.339,0.334
1985-10-16T16:00,,27.6,85,0.334,0.332
1985-10-16T17:00,,28.0,85,0.329,0.329
1985-10-16T18:00,,28.1,85,0.324,0.326
1985-10-16T19:00,,28.2,79,0.32,0.324
1985-10-16T20:00,,28.1,78,0.317,0.321
1985-10-16T21:00,,28.0,77,0.314,0.318
1985-10-16T22:00,,27.9,77,0.311,0.316
1985-10-16T23:00,,27.7,77,0.309,0.314
1985-10-17T00:00,,27.5,77,0.307,0.311
1985-10-17T01:00,,27.5,77,0.305,0.309
1985-10-17T02:00,,28.0,75,0.302,0.307
1985-10-17T03:00,,28.5,70,0.3,0.305
1985-10-17T04:00,,29.1,64,0.297,0.302
1985-10-17T05:00,,29.6,62,0.293,0.299
1985-10-17T06:00,,29.8,61,0.29,0.297
1985-10-17T07:00,,30.3,61,0.286,0.294
1985-10-17T08:00,,30.2,62,0.283,0.292
1985-10-17T09:00,,30.3,62,0.281,0.29
1985-10-17T10:00,,29.9,63,0.279,0.288
1985-10-17T11:00,,29.3,68,0.277,0.286
1985-10-17T12:00,,28.3,73,0.276,0.285
1985-10-17T13:00,,27.6,77,0.276,0.284
1985-10-17T14:00,,27.1,80,0.275,0.283
1985-10-17T15:00,,26.7,83,0.275,0.282
1985-10-17T16:00,,26.0,88,0.274,0.281
1985-10-17T17:00,,26.6,85,0.274,0.28
1985-10-17T18:00,,26.1,87,0.274,0.279
1985-10-17T19:00,,25.1,91,0.273,0.278
1985-10-17T20:00,,24.9,90,0.273,0.277
1985-10-17T21:00,,24.7,91,0.272,0.276
1985-10-17T22:00,,24.4,90,0.272,0.276
1985-10-17T23:00,,24.1,90,0.271,0.275
1985-10-18T00:00,,23.8,90,0.271,0.274
1985-10-18T01:00,,24.2,90,0.27,0.274
1985-10-18T02:00,,26.9,78,0.27,0.273
1985-10-18T03:00,,27.7,66,0.268,0.272
1985-10-18T04:00,,28.5,59,0.266,0.271
1985-10-18T05:00,,29.2,55,0.263,0.269
1985-10-18T06:00,,29.8,50,0.26,0.267
1985-10-18T07:00,,30.2,49,0.256,0.266
1985-10-18T08:00,,30.5,47,0.253,0.264
1985-10-18T09:00,,30.5,45,0.251,0.263
1985-10-18T10:00,,30.2,47,0.249,0.262
1985-10-18T11:00,,29.4,54,0.248,0.261
1985-10-18T12:00,,27.8,61,0.248,0.26
1985-10-18T13:00,,26.2,67,0.248,0.26
1985-10-18T14:00,,25.2,70,0.248,0.259
1985-10-18T15:00,,24.4,71,0.248,0.259
1985-10-18T16:00,,23.8,72,0.248,0.259
1985-10-18T17:00,,23.4,73,0.248,0.258
1985-10-18T18:00,,23.0,73,0.248,0.258
1985-10-18T19:00,,22.5,75,0.248,0.258
1985-10-18T20:00,,21.9,78,0.248,0.257
1985-10-18T21:00,,21.5,78,0.248,0.257
1985-10-18T22:00,,21.1,79,0.247,0.257
1985-10-18T23:00,,21.0,79,0.247,0.256
