time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-06-21T00:00,,22.9,95,0.514,0.481
1985-06-21T01:00,,22.9,95,0.509,0.484
1985-06-21T02:00,,23.0,96,0.508,0.486
1985-06-21T03:00,,23.6,97,0.506,0.487
1985-06-21T04:00,,24.4,93,0.51,0.488
1985-06-21T05:00,,24.9,93,0.519,0.489
1985-06-21T06:00,,25.2,88,0.474,0.512
1985-06-21T07:00,,25.5,87,0.415,0.496
1985-06-21T08:00,,24.9,93,0.437,0.461
1985-06-21T09:00,,26.2,91,0.439,0.46
1985-06-21T10:00,,25.4,86,0.442,0.46
1985-06-21T11:00,,25.0,89,0.445,0.459
1985-06-21T12:00,,24.7,86,0.455,0.459
1985-06-21T13:00,,23.9,91,0.46,0.459
1985-06-21T14:00,,23.4,94,0.465,0.459
1985-06-21T15:00,,23.3,94,0.469,0.459
1985-06-21T16:00,,23.1,94,0.477,0.459
1985-06-21T17:00,,23.0,96,0.483,0.459
1985-06-21T18:00,,23.0,96,0.487,0.46
1985-06-21T19:00,,23.2,96,0.49,0.46
1985-06-21T20:00,,23.2,96,0.494,0.461
1985-06-21T21:00,,23.1,96,0.499,0.462
1985-06-21T22:00,,23.1,96,0.505,0.463
1985-06-21T23:00,,23.3,97,0.52,0.466
1985-06-22T00:00,,23.1,97,0.456,0.498
1985-06-22T01:00,,23.2,96,0.468,0.493
1985-06-22T02:00,,23.3,96,0.493,0.486
1985-06-22T03:00,,23.6,97,0.506,0.486
1985-06-22T04:00,,24.1,94,0.51,0.489
1985-06-22T05:00,,24.1,94,0.519,0.493
1985-06-22T06:00,,24.7,93,0.467,0.51
1985-06-22T07:00,,25.1,91,0.427,0.49
1985-06-22T08:00,,25.7,89,0.431,0.455
1985-06-22T09:00,,24.9,90,0.445,0.455
1985-06-22T10:00,,25.1,91,0.447,0.456
1985-06-22T11:00,,24.2,93,0.477,0.456
1985-06-22T12:00,,23.5,95,0.493,0.462
1985-06-22T13:00,,23.5,95,0.503,0.463
1985-06-22T14:00,,23.2,96,0.509,0.466
1985-06-22T15:00,,23.3,95,0.51,0.47
1985-06-22T16:00,,23.1,96,0.519,0.474
1985-06-22T17:00,,23.1,96,0.453,0.5
1985-06-22T18:00,,23.0,96,0.455,0.498
1985-06-22T19:00,,23.1,96,0.462,0.492
1985-06-22T20:00,,23.1,96,0.48,0.486
1985-06-22T21:00,,23.2,96,0.5,0.486
1985-06-22T22:00,,23.1,96,0.512,0.487
1985-06-22T23:00,,22.9,95,0.461,0.508
1985-06-23T00:00,,23.0,97,0.43,0.488
1985-06-23T01:00,,23.0,97,0.456,0.456
1985-06-23T02:00,,23.1,97,0.473,0.46
1985-06-23T03:00,,23.0,96,0.503,0.46
1985-06-23T04:00,,23.2,97,0.518,0.463
1985-06-23T05:00,,23.3,97,0.452,0.492
1985-06-23T06:00,,23.2,96,0.467,0.492
1985-06-23T07:00,,23.5,93,0.517,0.491
1985-06-23T08:00,,23.7,95,0.478,0.517
1985-06-23T09:00,,23.4,97,0.502,0.517
1985-06-23T10:00,,23.6,96,0.507,0.515
1985-06-23T11:00,,23.3,96,0.474,0.516
1985-06-23T12:00,,23.2,97,0.455,0.505
1985-06-23T13:00,,23.1,96,0.513,0.471
1985-06-23T14:00,,23.0,96,0.517,0.485
1985-06-23T15:00,,23.1,96,0.487,0.517
1985-06-23T16:00,,23.1,97,0.513,0.517
1985-06-23T17:00,,23.1,97,0.493,0.518
1985-06-23T18:00,,23.1,96,0.471,0.506
1985-06-23T19:00,,23.0,96,0.513,0.506
1985-06-23T20:00,,23.0,96,0.493,0.518
1985-06-23T21:00,,23.0,96,0.47,0.504
1985-06-23T22:00,,22.7,96,0.509,0.505
1985-06-23T23:00,,22.9,95,0.483,0.512
