time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.3,93,0.398,0.33
1985-07-16T01:00,,25.4,93,0.394,0.331
1985-07-16T02:00,,25.8,91,0.393,0.332
1985-07-16T03:00,,26.5,87,0.39,0.333
1985-07-16T04:00,,27.5,82,0.388,0.334
1985-07-16T05:00,,28.8,77,0.385,0.334
1985-07-16T06:00,,29.3,76,0.382,0.334
1985-07-16T07:00,,30.2,73,0.378,0.333
1985-07-16T08:00,,30.5,71,0.395,0.333
1985-07-16T09:00,,29.4,76,0.405,0.334
1985-07-16T10:00,,28.6,78,0.439,0.337
1985-07-16T11:00,,28.1,82,0.37,0.36
1985-07-16T12:00,,28.5,80,0.37,0.36
1985-07-16T13:00,,28.4,80,0.369,0.359
1985-07-16T14:00,,28.1,81,0.368,0.359
1985-07-16T15:00,,27.7,82,0.367,0.358
1985-07-16T16:00,,27.5,82,0.367,0.358
1985-07-16T17:00,,27.2,83,0.366,0.358
1985-07-16T18:00,,26.8,84,0.366,0.357
1985-07-16T19:00,,26.8,85,0.365,0.357
1985-07-16T20:00,,26.7,84,0.365,0.356
1985-07-16T21:00,,26.6,85,0.366,0.356
1985-07-16T22:00,,26.4,86,0.37,0.356
1985-07-16T23:00,,26.1,87,0.379,0.356
1985-07-17T00:00,,25.6,90,0.398,0.356
1985-07-17T01:00,,25.6,91,0.408,0.356
1985-07-17T02:00,,25.8,91,0.416,0.358
1985-07-17T03:00,,26.6,89,0.417,0.36
1985-07-17T04:00,,27.3,84,0.412,0.362
1985-07-17T05:00,,28.1,82,0.407,0.363
1985-07-17T06:00,,28.9,79,0.403,0.363
1985-07-17T07:00,,27.4,87,0.404,0.363
1985-07-17T08:00,,27.6,88,0.404,0.364
1985-07-17T09:00,,28.4,84,0.402,0.364
1985-07-17T10:00,,29.4,78,0.399,0.364
1985-07-17T11:00,,29.6,76,0.396,0.364
1985-07-17T12:00,,28.0,85,0.421,0.365
1985-07-17T13:00,,26.7,90,0.431,0.37
1985-07-17T14:00,,26.3,92,0.398,0.381
1985-07-17T15:00,,26.1,93,0.397,0.381
1985-07-17T16:00,,26.1,92,0.396,0.38
1985-07-17T17:00,,26.1,92,0.394,0.38
1985-07-17T18:00,,26.1,92,0.393,0.38
1985-07-17T19:00,,26.1,92,0.392,0.379
1985-07-17T20:00,,26.1,92,0.391,0.379
1985-07-17T21:00,,26.0,93,0.391,0.378
1985-07-17T22:00,,25.8,93,0.398,0.378
1985-07-17T23:00,,25.7,93,0.406,0.378
1985-07-18T00:00,,25.5,93,0.414,0.378
1985-07-18T01:00,,25.7,93,0.415,0.38
1985-07-18T02:00,,26.2,91,0.426,0.382
1985-07-18T03:00,,26.9,87,0.402,0.39
1985-07-18T04:00,,27.7,83,0.402,0.39
1985-07-18T05:00,,28.6,78,0.4,0.389
1985-07-18T06:00,,29.4,73,0.398,0.388
1985-07-18T07:00,,27.7,85,0.42,0.387
1985-07-18T08:00,,27.8,85,0.431,0.389
1985-07-18T09:00,,28.0,85,0.415,0.397
1985-07-18T10:00,,28.2,84,0.417,0.397
1985-07-18T11:00,,27.0,89,0.439,0.398
1985-07-18T12:00,,25.5,92,0.426,0.419
1985-07-18T13:00,,25.4,93,0.427,0.416
1985-07-18T14:00,,25.2,94,0.424,0.414
1985-07-18T15:00,,25.1,94,0.422,0.413
1985-07-18T16:00,,25.1,94,0.421,0.411
1985-07-18T17:00,,25.2,93,0.42,0.41
1985-07-18T18:00,,25.2,93,0.42,0.409
1985-07-18T19:00,,25.4,93,0.428,0.408
1985-07-18T20:00,,25.2,93,0.436,0.409
1985-07-18T21:00,,24.7,94,0.429,0.418
1985-07-18T22:00,,24.3,95,0.429,0.424
1985-07-18T23:00,,24.0,95,0.434,0.43
