time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.7,86,0.37,0.354
1985-07-16T01:00,,25.7,86,0.369,0.354
1985-07-16T02:00,,26.0,85,0.368,0.353
1985-07-16T03:00,,26.5,83,0.367,0.353
1985-07-16T04:00,,27.5,79,0.366,0.352
1985-07-16T05:00,,28.2,77,0.365,0.351
1985-07-16T06:00,,29.0,75,0.362,0.35
1985-07-16T07:00,,29.1,74,0.36,0.349
1985-07-16T08:00,,28.5,76,0.364,0.349
1985-07-16T09:00,,28.6,76,0.367,0.348
1985-07-16T10:00,,28.8,77,0.366,0.348
1985-07-16T11:00,,28.3,78,0.375,0.348
1985-07-16T12:00,,27.9,80,0.375,0.348
1985-07-16T13:00,,27.7,80,0.373,0.348
1985-07-16T14:00,,27.4,80,0.372,0.347
1985-07-16T15:00,,27.1,80,0.371,0.347
1985-07-16T16:00,,27.0,80,0.37,0.347
1985-07-16T17:00,,27.0,80,0.369,0.347
1985-07-16T18:00,,26.8,81,0.368,0.347
1985-07-16T19:00,,27.1,77,0.367,0.347
1985-07-16T20:00,,27.0,77,0.366,0.347
1985-07-16T21:00,,26.9,77,0.365,0.347
1985-07-16T22:00,,26.8,78,0.365,0.347
1985-07-16T23:00,,26.4,80,0.366,0.347
1985-07-17T00:00,,26.2,81,0.366,0.346
1985-07-17T01:00,,26.2,82,0.365,0.346
1985-07-17T02:00,,26.6,82,0.365,0.346
1985-07-17T03:00,,27.3,80,0.363,0.346
1985-07-17T04:00,,28.0,78,0.362,0.345
1985-07-17T05:00,,28.9,74,0.359,0.344
1985-07-17T06:00,,29.7,71,0.357,0.343
1985-07-17T07:00,,30.6,70,0.353,0.342
1985-07-17T08:00,,30.4,68,0.352,0.34
1985-07-17T09:00,,30.4,68,0.353,0.34
1985-07-17T10:00,,30.1,69,0.353,0.339
1985-07-17T11:00,,29.6,70,0.353,0.338
1985-07-17T12:00,,28.5,76,0.352,0.338
1985-07-17T13:00,,28.1,78,0.351,0.338
1985-07-17T14:00,,27.6,79,0.35,0.338
1985-07-17T15:00,,27.2,81,0.35,0.337
1985-07-17T16:00,,27.1,81,0.349,0.337
1985-07-17T17:00,,26.9,82,0.349,0.337
1985-07-17T18:00,,26.8,81,0.348,0.337
1985-07-17T19:00,,26.6,83,0.348,0.337
1985-07-17T20:00,,26.5,83,0.348,0.337
1985-07-17T21:00,,26.3,84,0.347,0.336
1985-07-17T22:00,,26.2,84,0.347,0.336
1985-07-17T23:00,,26.1,84,0.346,0.336
1985-07-18T00:00,,26.1,83,0.346,0.336
1985-07-18T01:00,,26.2,83,0.345,0.336
1985-07-18T02:00,,26.9,81,0.345,0.335
1985-07-18T03:00,,27.8,76,0.343,0.335
1985-07-18T04:00,,28.6,74,0.342,0.334
1985-07-18T05:00,,29.3,72,0.34,0.333
1985-07-18T06:00,,30.2,70,0.336,0.331
1985-07-18T07:00,,30.5,69,0.335,0.33
1985-07-18T08:00,,29.5,71,0.341,0.329
1985-07-18T09:00,,28.5,75,0.369,0.329
1985-07-18T10:00,,28.8,74,0.368,0.329
1985-07-18T11:00,,29.2,73,0.366,0.329
1985-07-18T12:00,,29.2,73,0.364,0.329
1985-07-18T13:00,,28.2,77,0.363,0.329
1985-07-18T14:00,,27.3,79,0.362,0.329
1985-07-18T15:00,,26.6,81,0.361,0.329
1985-07-18T16:00,,26.3,82,0.36,0.329
1985-07-18T17:00,,26.2,83,0.359,0.329
1985-07-18T18:00,,26.1,83,0.358,0.329
1985-07-18T19:00,,26.7,80,0.357,0.329
1985-07-18T20:00,,26.5,81,0.356,0.329
1985-07-18T21:00,,26.2,83,0.356,0.329
1985-07-18T22:00,,25.9,84,0.355,0.329
1985-07-18T23:00,,25.5,85,0.355,0.329
