time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.6,92,0.385,0.288
1985-07-16T01:00,,25.6,93,0.384,0.289
1985-07-16T02:00,,26.1,90,0.381,0.291
1985-07-16T03:00,,26.9,85,0.378,0.292
1985-07-16T04:00,,27.6,81,0.374,0.292
1985-07-16T05:00,,29.1,74,0.371,0.292
1985-07-16T06:00,,29.4,73,0.367,0.293
1985-07-16T07:00,,29.3,77,0.364,0.293
1985-07-16T08:00,,30.6,71,0.36,0.292
1985-07-16T09:00,,29.1,76,0.36,0.293
1985-07-16T10:00,,29.2,76,0.38,0.293
1985-07-16T11:00,,29.2,75,0.382,0.294
1985-07-16T12:00,,29.0,76,0.38,0.295
1985-07-16T13:00,,28.7,76,0.377,0.296
1985-07-16T14:00,,28.0,80,0.374,0.297
1985-07-16T15:00,,27.3,82,0.371,0.297
1985-07-16T16:00,,26.9,83,0.368,0.298
1985-07-16T17:00,,26.7,84,0.366,0.298
1985-07-16T18:00,,26.6,84,0.364,0.299
1985-07-16T19:00,,27.0,82,0.364,0.299
1985-07-16T20:00,,26.1,87,0.376,0.3
1985-07-16T21:00,,25.7,90,0.393,0.301
1985-07-16T22:00,,25.5,91,0.406,0.303
1985-07-16T23:00,,25.3,93,0.415,0.305
1985-07-17T00:00,,25.2,93,0.422,0.309
1985-07-17T01:00,,25.2,93,0.42,0.315
1985-07-17T02:00,,25.5,92,0.42,0.319
1985-07-17T03:00,,25.8,91,0.414,0.323
1985-07-17T04:00,,26.5,88,0.406,0.326
1985-07-17T05:00,,27.3,86,0.4,0.327
1985-07-17T06:00,,29.1,80,0.394,0.328
1985-07-17T07:00,,28.4,83,0.39,0.328
1985-07-17T08:00,,29.0,81,0.386,0.329
1985-07-17T09:00,,30.0,74,0.382,0.329
1985-07-17T10:00,,30.1,73,0.38,0.329
1985-07-17T11:00,,28.1,80,0.413,0.329
1985-07-17T12:00,,27.8,83,0.406,0.331
1985-07-17T13:00,,27.8,84,0.4,0.333
1985-07-17T14:00,,27.3,86,0.396,0.334
1985-07-17T15:00,,27.0,88,0.392,0.335
1985-07-17T16:00,,26.9,88,0.389,0.336
1985-07-17T17:00,,26.8,87,0.386,0.337
1985-07-17T18:00,,26.6,86,0.384,0.337
1985-07-17T19:00,,26.7,87,0.382,0.337
1985-07-17T20:00,,26.6,87,0.38,0.338
1985-07-17T21:00,,26.6,87,0.378,0.338
1985-07-17T22:00,,26.5,86,0.376,0.338
1985-07-17T23:00,,26.4,87,0.374,0.338
1985-07-18T00:00,,26.1,87,0.374,0.338
1985-07-18T01:00,,26.2,88,0.378,0.339
1985-07-18T02:00,,26.4,87,0.392,0.339
1985-07-18T03:00,,26.9,85,0.39,0.34
1985-07-18T04:00,,27.4,84,0.387,0.34
1985-07-18T05:00,,29.0,75,0.384,0.34
1985-07-18T06:00,,28.6,77,0.394,0.34
1985-07-18T07:00,,28.4,82,0.394,0.341
1985-07-18T08:00,,28.7,80,0.393,0.341
1985-07-18T09:00,,28.7,80,0.419,0.342
1985-07-18T10:00,,28.0,82,0.439,0.347
1985-07-18T11:00,,27.6,85,0.377,0.369
1985-07-18T12:00,,27.5,85,0.377,0.369
1985-07-18T13:00,,27.6,86,0.376,0.368
1985-07-18T14:00,,27.2,88,0.375,0.368
1985-07-18T15:00,,26.8,89,0.375,0.367
1985-07-18T16:00,,26.6,90,0.374,0.367
1985-07-18T17:00,,26.6,89,0.375,0.366
1985-07-18T18:00,,26.3,90,0.379,0.366
1985-07-18T19:00,,26.2,88,0.387,0.366
1985-07-18T20:00,,25.6,92,0.401,0.366
1985-07-18T21:00,,25.0,94,0.419,0.367
1985-07-18T22:00,,24.7,95,0.434,0.37
1985-07-18T23:00,,24.5,96,0.418,0.382
