time,precipitation,temperature_2m,relative_humidity_2m,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm
1985-07-16T00:00,,25.0,94,0.413,0.384
1985-07-16T01:00,,25.1,94,0.414,0.385
1985-07-16T02:00,,25.5,93,0.416,0.385
1985-07-16T03:00,,26.5,89,0.414,0.385
1985-07-16T04:00,,27.5,85,0.411,0.386
1985-07-16T05:00,,28.9,78,0.408,0.385
1985-07-16T06:00,,28.9,76,0.426,0.385
1985-07-16T07:00,,29.6,78,0.416,0.386
1985-07-16T08:00,,29.4,79,0.427,0.386
1985-07-16T09:00,,28.8,77,0.439,0.39
1985-07-16T10:00,,28.7,79,0.4,0.406
1985-07-16T11:00,,28.7,81,0.402,0.404
1985-07-16T12:00,,28.7,79,0.408,0.403
1985-07-16T13:00,,28.4,82,0.406,0.402
1985-07-16T14:00,,27.9,84,0.405,0.4
1985-07-16T15:00,,27.3,85,0.403,0.399
1985-07-16T16:00,,27.0,86,0.402,0.398
1985-07-16T17:00,,26.7,87,0.401,0.397
1985-07-16T18:00,,26.4,89,0.399,0.396
1985-07-16T19:00,,26.2,90,0.398,0.395
1985-07-16T20:00,,26.2,89,0.397,0.394
1985-07-16T21:00,,26.1,89,0.397,0.393
1985-07-16T22:00,,26.2,89,0.397,0.392
1985-07-16T23:00,,26.0,90,0.397,0.391
1985-07-17T00:00,,25.5,91,0.438,0.391
1985-07-17T01:00,,25.6,93,0.41,0.404
1985-07-17T02:00,,26.0,93,0.414,0.403
1985-07-17T03:00,,27.0,88,0.422,0.403
1985-07-17T04:00,,27.3,84,0.439,0.404
1985-07-17T05:00,,28.0,82,0.399,0.416
1985-07-17T06:00,,29.0,77,0.398,0.413
1985-07-17T07:00,,28.0,85,0.401,0.41
1985-07-17T08:00,,28.2,85,0.403,0.408
1985-07-17T09:00,,28.8,83,0.403,0.407
1985-07-17T10:00,,29.5,77,0.402,0.405
1985-07-17T11:00,,29.4,77,0.4,0.403
1985-07-17T12:00,,29.0,79,0.4,0.401
1985-07-17T13:00,,27.6,85,0.412,0.4
1985-07-17T14:00,,27.3,87,0.41,0.4
1985-07-17T15:00,,26.9,90,0.408,0.399
1985-07-17T16:00,,26.7,91,0.406,0.398
1985-07-17T17:00,,26.4,93,0.405,0.397
1985-07-17T18:00,,26.2,93,0.403,0.396
1985-07-17T19:00,,26.1,93,0.402,0.396
1985-07-17T20:00,,26.0,92,0.401,0.395
1985-07-17T21:00,,26.0,92,0.399,0.394
1985-07-17T22:00,,26.0,91,0.398,0.393
1985-07-17T23:00,,26.0,91,0.397,0.392
1985-07-18T00:00,,25.8,91,0.397,0.392
1985-07-18T01:00,,25.9,91,0.396,0.391
1985-07-18T02:00,,26.7,89,0.395,0.39
1985-07-18T03:00,,27.7,84,0.399,0.389
1985-07-18T04:00,,28.4,80,0.405,0.389
1985-07-18T05:00,,29.0,78,0.403,0.388
1985-07-18T06:00,,29.4,74,0.402,0.387
1985-07-18T07:00,,27.9,84,0.43,0.387
1985-07-18T08:00,,28.0,84,0.439,0.394
1985-07-18T09:00,,27.9,84,0.415,0.413
1985-07-18T10:00,,28.0,81,0.436,0.412
1985-07-18T11:00,,27.7,83,0.426,0.421
1985-07-18T12:00,,25.9,89,0.438,0.425
1985-07-18T13:00,,25.6,92,0.411,0.431
1985-07-18T14:00,,25.4,93,0.412,0.425
1985-07-18T15:00,,25.3,93,0.412,0.421
1985-07-18T16:00,,25.2,93,0.412,0.418
1985-07-18T17:00,,25.2,93,0.413,0.416
1985-07-18T18:00,,25.2,93,0.414,0.414
1985-07-18T19:00,,25.5,93,0.417,0.412
1985-07-18T20:00,,25.5,93,0.419,0.411
1985-07-18T21:00,,25.1,93,0.429,0.41
1985-07-18T22:00,,24.7,94,0.439,0.412
1985-07-18T23:00,,24.1,95,0.421,0.427
